,GGT7 (2686)
ACH-000404,-0.3554665699526653
ACH-000406,-0.02321874655409525
ACH-000407,0.0065121127635662255
ACH-000408,-0.07347014078932229
ACH-000410,-0.027890125257234798
ACH-000411,-0.03716833798639538
ACH-000414,-0.14503714533010564
ACH-000415,-0.025475271219799072
ACH-000416,-0.0022603386735963685
ACH-000420,0.0907062916025219
ACH-000421,-0.17337558078888107
ACH-000424,-0.05013388552153016
ACH-000425,-0.2687703359102809
ACH-000426,-0.15261349437425167
ACH-000427,-0.07831642947232538
ACH-000433,-0.17645213363585874
ACH-000435,0.035354839738719245
ACH-000436,-0.11547434048147305
ACH-000444,-0.1253094655184463
ACH-000445,-0.15373036570492762
ACH-000448,0.0065003275156958395
ACH-000450,0.09819997752979084
ACH-000452,-0.06560552456381127
ACH-000454,-0.08438507555323127
ACH-000458,-0.07893478793507196
ACH-000459,-0.13536836806527086
ACH-000460,-0.07039857270319222
ACH-000461,-0.056601560213575326
ACH-000463,0.06266236716656381
ACH-000464,-0.0286009015268312
ACH-000466,-0.3428177548182149
ACH-000467,0.003284325729978505
ACH-000468,-0.12911071401447002
ACH-000469,-0.09920271516580267
ACH-000470,-0.008440220022401497
ACH-000471,-0.033560447377570364
ACH-000472,-0.0065398293987435725
ACH-000473,-0.16928535457233915
ACH-000475,-0.03173602720936057
ACH-000476,-0.1705064833235107
ACH-000477,0.02400321994607073
ACH-000479,0.013159035025910495
ACH-000480,-0.12114219732433808
ACH-000481,-0.02361193956867296
ACH-000483,0.10100852035014413
ACH-000484,-0.028064330202082242
ACH-000485,-0.023924066906001
ACH-000486,-0.009515150766892128
ACH-000487,-0.04219822962630712
ACH-000488,-0.19081458840477364
ACH-000490,-0.18577472158897745
ACH-000491,-0.06706501574090397
ACH-000495,0.0325188785723467
ACH-000496,-0.3221303924321093
ACH-000499,-0.0355063548480449
ACH-000500,-0.4257787317216745
ACH-000502,-0.09148519582083782
ACH-000503,0.03894860869473549
ACH-000505,0.08677593979758548
ACH-000507,-0.011764020411868213
ACH-000510,-0.1799563418994577
ACH-000511,-0.05956439270086756
ACH-000512,0.012062359087654302
ACH-000516,-0.11827321368813598
ACH-000517,-0.08888369948462692
ACH-000518,0.0528914304959746
ACH-000520,-0.1565840722930177
ACH-000521,-0.16535565968031726
ACH-000522,-0.04040339157138268
ACH-000524,-0.08133969181585855
ACH-000527,-0.12927049572174634
ACH-000528,-0.013247512135306613
ACH-000537,0.019388676937009432
ACH-000541,-0.06760773312954123
ACH-000542,-0.14668215335912532
ACH-000544,-0.0069338402868253214
ACH-000545,-0.03890787413805168
ACH-000547,-0.32148118655820235
ACH-000548,-0.11026425589984737
ACH-000549,-0.3083067266062807
ACH-000550,-0.05173501189407965
ACH-000552,-0.04508064837697455
ACH-000556,-0.041516799070446364
ACH-000557,-0.2827810612563293
ACH-000569,0.16934337555716789
ACH-000570,-0.04433691826453274
ACH-000571,-0.06121399791960758
ACH-000573,-0.06391191438709673
ACH-000576,0.08881945432410121
ACH-000579,-0.08295029642071555
ACH-000580,-0.014322160574754671
ACH-000584,0.05152600952816132
ACH-000585,0.019817812901290685
ACH-000588,-0.06173601666203539
ACH-000589,-0.17986615396641448
ACH-000591,0.02731059314627577
ACH-000593,-0.07107156067289322
ACH-000600,-0.045614131000829165
ACH-000601,-0.066507783119419
ACH-000605,-0.13221649689345724
ACH-000606,-0.12444982995495806
ACH-000608,-0.21344351187747815
ACH-000614,-0.3700161713658002
ACH-000616,-0.07874700062243803
ACH-000618,-0.035938624011642745
ACH-000619,0.05064465216894897
ACH-000620,-0.10993045205327363
ACH-000621,-0.015094658370152338
ACH-000622,-0.07449764237709505
ACH-000623,0.009339149243739093
ACH-000624,-0.04448649256983875
ACH-000627,-0.2394009730553458
ACH-000630,0.15658184866019415
ACH-000631,0.2759751328724276
ACH-000632,0.015020620516658263
ACH-000633,-0.15204237922633845
ACH-000637,0.07988155697367483
ACH-000638,0.0011987108817601854
ACH-000646,0.10736957480885216
ACH-000647,0.004127987422624897
ACH-000648,0.014191815387136243
ACH-000649,-0.049253979206984634
ACH-000651,-0.07229051659776572
ACH-000652,-0.1311801772933394
ACH-000653,-0.15944977113349773
ACH-000657,-0.060067542144005996
ACH-000658,-0.05380499835991348
ACH-000661,-0.1935621734152293
ACH-000662,0.11151552979263166
ACH-000663,-0.07008612349521909
ACH-000665,-0.1707003058987734
ACH-000671,-0.21397361495569725
ACH-000672,-0.12651870790262826
ACH-000673,-0.19391191340299693
ACH-000676,-0.006016264191843962
ACH-000677,-0.11985769733836132
ACH-000681,-0.01988759418983524
ACH-000683,-0.05855638757428201
ACH-000684,-0.26591270140428963
ACH-000688,-0.14787865280726686
ACH-000693,-0.05291778975141854
ACH-000694,-0.01020288418246539
ACH-000695,-0.13619939110454735
ACH-000696,-0.06068197664621878
ACH-000697,0.09268606457775427
ACH-000699,-0.02774523292534189
ACH-000701,-0.02871830301057745
ACH-000706,0.11443277057047442
ACH-000711,0.016185649031961916
ACH-000713,-0.1235457363572288
ACH-000714,0.039481820660218034
ACH-000718,-0.30285475962768177
ACH-000720,-0.1266646628815376
ACH-000721,-0.2528001042315744
ACH-000724,-0.029132670190342682
ACH-000725,0.07721761861128862
ACH-000732,0.020369543962914582
ACH-000734,0.020587286495842898
ACH-000735,-0.1264258552146377
ACH-000736,-0.06915436459403405
ACH-000738,-0.013421706516018449
ACH-000746,-0.0034069833053923105
ACH-000747,-0.08310891183733456
ACH-000748,-0.17465576529577315
ACH-000753,-0.004797138180209925
ACH-000756,0.09080096728440268
ACH-000757,0.061283404479734724
ACH-000758,-0.12217651162033215
ACH-000760,0.013707708914443728
ACH-000762,-0.3366677250445609
ACH-000763,0.08650612826726356
ACH-000764,0.25192614828760385
ACH-000765,0.11019248237809184
ACH-000766,-0.1983107355974752
ACH-000767,-0.02831495891060212
ACH-000768,-0.14209915818390867
ACH-000769,-0.12227121089425985
ACH-000770,-0.15082274654457928
ACH-000771,-0.08111136161037631
ACH-000773,-0.18755109597015204
ACH-000776,-0.26970006039905203
ACH-000777,-0.1733836436227121
ACH-000778,-0.0190742981563734
ACH-000781,-0.0550975130147871
ACH-000782,-0.019402840880206454
ACH-000783,0.11388489820044675
ACH-000784,-0.10753128872093054
ACH-000785,-0.12243688382016216
ACH-000787,-0.2008536517215413
ACH-000788,-0.07643021796212877
ACH-000791,-0.1837915442974974
ACH-000792,0.1417713266447448
ACH-000794,0.12622701159729213
ACH-000796,0.024921196136418897
ACH-000798,-0.09434085953569893
ACH-000799,0.09052357634703956
ACH-000800,0.12459794930880935
ACH-000802,0.10888942971400196
ACH-000804,-0.14046842796264242
ACH-000805,-0.1333870614468092
ACH-000809,0.046130945426670664
ACH-000810,-0.2236906683143834
ACH-000811,-0.035726079871330425
ACH-000817,0.03943696108012918
ACH-000819,-0.08115077435415713
ACH-000820,-0.059173442781493425
ACH-000821,0.17613538752394972
ACH-000822,-0.1983240705477617
ACH-000823,0.010652876860356892
ACH-000824,0.04165165467829637
ACH-000827,-0.1922786129071989
ACH-000829,-0.16704378277982762
ACH-000831,-0.04429686305827235
ACH-000832,-0.08645621209364705
ACH-000833,-0.06891346245080958
ACH-000834,-0.040820577236355016
ACH-000835,0.08059266542724511
ACH-000836,-0.17324188318466185
ACH-000837,-0.20453271135028064
ACH-000838,-0.1785874477747241
ACH-000839,-0.04540809792054745
ACH-000840,-0.1125626074764246
ACH-000841,0.028062610377733853
ACH-000843,-0.1104380320754927
ACH-000846,-0.004321731766337555
ACH-000847,-0.2875607077190233
ACH-000848,-0.022141858936207088
ACH-000849,-0.024575558474735325
ACH-000851,-0.09117249030444316
ACH-000855,-0.04206002446717607
ACH-000856,-0.1385040563108447
ACH-000858,-0.08101306853755101
ACH-000859,-0.03587755261007549
ACH-000861,-0.2346744738874959
ACH-000862,-0.009043314444280543
ACH-000865,0.024480743431377808
ACH-000866,0.002554025707039011
ACH-000867,-0.04469651096266687
ACH-000869,0.014669660190422332
ACH-000872,0.028375964573900736
ACH-000873,-0.11606188086982135
ACH-000876,-0.08246561028301201
ACH-000878,-0.12031913992659032
ACH-000880,-0.08198902286575274
ACH-000881,-0.031532565822245326
ACH-000882,-0.07547820315099166
ACH-000884,-0.013210026062433874
ACH-000885,-0.009658017016961978
ACH-000887,-0.02013499658782318
ACH-000889,0.17451550539985114
ACH-000896,0.032492190888471384
ACH-000898,-0.14009163765505994
ACH-000900,-0.1163851269756701
ACH-000901,-0.14508365252241676
ACH-000905,-0.11518590578749505
ACH-000906,-0.048891772616788745
ACH-000907,-0.08587548883945771
ACH-000910,0.05241083338422146
ACH-000911,-0.19051865944480328
ACH-000912,-0.00687387247270257
ACH-000913,-0.074961608030142
ACH-000915,0.016528253505255018
ACH-000916,0.21138378542379774
ACH-000917,-0.17487665759610546
ACH-000920,0.2780712669273677
ACH-000921,-0.12323237151623866
ACH-000924,-0.026551037523978287
ACH-000926,-0.3949025887243976
ACH-000928,-0.2608914716909714
ACH-000929,-0.2213983859819356
ACH-000932,-0.03271630791365317
ACH-000935,0.004399795885807399
ACH-000936,-0.13229300343188827
ACH-000937,-0.00613054599767885
