,NTAN1 (123803)
ACH-000387,0.05676546722258311
ACH-000389,-0.14148243757703094
ACH-000390,-0.21622081337840648
ACH-000393,-0.2085811083795851
ACH-000395,0.030873834241009764
ACH-000396,-0.2334201631508102
ACH-000397,-0.06474995809622097
ACH-000401,-0.05787096582353096
ACH-000402,-0.12013355785789866
ACH-000403,-0.1277318486244674
ACH-000404,0.0019958475026365537
ACH-000406,-0.0942651848994253
ACH-000407,-0.15547557986150962
ACH-000408,-0.046121016599757536
ACH-000410,-0.03684701534877784
ACH-000411,-0.10243038911269924
ACH-000414,-0.2252490946754597
ACH-000415,-0.2074053722942352
ACH-000416,-0.11386931403012808
ACH-000420,-0.10902571568966868
ACH-000421,-0.21185183930362456
ACH-000424,-0.07975528489362232
ACH-000425,-0.3101623601981027
ACH-000426,-0.0035195229377312366
ACH-000427,0.017088220948493913
ACH-000433,-0.31823393595948274
ACH-000435,0.002052305563108662
ACH-000436,0.0440130578524573
ACH-000444,-0.20033916816945865
ACH-000445,-0.1073513187756235
ACH-000448,-0.1269732299032909
ACH-000450,-0.3263075879065787
ACH-000452,-0.11165399220966883
ACH-000454,-0.030018714692172505
ACH-000458,-0.18649266267835965
ACH-000459,-0.17967359922521375
ACH-000460,-0.09060171777254067
ACH-000461,0.00037600719331914523
ACH-000463,-0.09230605673381477
ACH-000464,-0.02690916352628766
ACH-000466,-0.2384706253241945
ACH-000467,-0.035602799881486784
ACH-000468,-0.05454419020637513
ACH-000469,-0.13986617512346144
ACH-000470,-0.2254592386919418
ACH-000471,-0.2185390043066708
ACH-000472,-0.22048777166951106
ACH-000473,-0.09640094774518497
ACH-000475,-0.06081108442869211
ACH-000476,-0.027811505410291683
ACH-000477,0.07652733068184399
ACH-000479,-0.39313650555647983
ACH-000480,0.01826026915263705
ACH-000481,-0.04982008209535575
ACH-000483,-0.10138830704143442
ACH-000484,-0.05313570520747278
ACH-000485,-0.0947104257098822
ACH-000486,-0.20850959159507454
ACH-000487,-0.05529820641991599
ACH-000488,-0.13334124116781845
ACH-000490,-0.1778991497922392
ACH-000491,-0.0688713639535367
ACH-000495,-0.19264013034838945
ACH-000496,-0.0006224246851161624
ACH-000499,0.11815795875844927
ACH-000500,-0.2471441579545136
ACH-000502,-0.16535167437812606
ACH-000503,-0.17455983241286865
ACH-000505,-0.1463186340075738
ACH-000507,-0.09077226509292408
ACH-000510,-0.1169436417177062
ACH-000511,-0.05416243377294275
ACH-000512,-0.09907339909872946
ACH-000516,-0.20157168251456514
ACH-000517,-0.0915039621170553
ACH-000518,-0.05222966624415315
ACH-000520,-0.135696441834697
ACH-000521,-0.09308007252634044
ACH-000522,-0.17804995486748587
ACH-000524,-0.0476594332945356
ACH-000527,-0.0705592310614435
ACH-000528,-0.02610762338993789
ACH-000537,-0.24972678946609705
ACH-000541,-0.41031797613826093
ACH-000542,-0.11278647875496026
ACH-000544,-0.036749066522444085
ACH-000545,-0.16679482866537246
ACH-000547,-0.3336437157451781
ACH-000548,-0.11535499928504447
ACH-000549,-0.2987644472146185
ACH-000550,-0.08494674518762749
ACH-000552,-0.18357461706481795
ACH-000556,-0.2048283162257268
ACH-000557,-0.09400579018043953
ACH-000569,-0.21846803278979146
ACH-000570,-0.10332516556870967
ACH-000571,-0.13425967149062018
ACH-000573,-0.14994446843959708
ACH-000576,0.17069157718426808
ACH-000579,-0.17561807009178262
ACH-000580,-0.07520795368167946
ACH-000584,-0.2087694382777699
ACH-000585,-0.0022278154522936693
ACH-000588,0.06555419386721431
ACH-000589,-0.07380322597868742
ACH-000591,-0.0999852420530629
ACH-000593,-0.04861212206353102
ACH-000600,-0.0317608041239181
ACH-000601,-0.018823068474906418
ACH-000605,-0.0840532817116251
ACH-000606,-0.19005147595243094
ACH-000608,-0.1487129407403076
ACH-000614,0.02345020385829681
ACH-000616,-0.09584313673723116
ACH-000618,0.08866057949440945
ACH-000619,-0.14081532058141755
ACH-000620,-0.02863509264527035
ACH-000621,-0.1797441268415821
ACH-000622,-0.012802772521054377
ACH-000623,-0.032982006151211336
ACH-000624,-0.13298600681132747
ACH-000627,-0.09168365608414038
ACH-000630,-0.0480935539515507
ACH-000631,-0.21798418415646653
ACH-000632,-0.06127265916295014
ACH-000633,-0.0085109346159181
ACH-000637,-0.03687137511495497
ACH-000638,-0.1613634178266953
ACH-000646,0.017961019358993947
ACH-000647,-0.047477656854759236
ACH-000648,-0.1223901351927518
ACH-000649,-0.15808121058072255
ACH-000651,-0.10970818476274692
ACH-000652,-0.024561015953195386
ACH-000653,-0.17896064563377112
ACH-000657,-0.10592497546300672
ACH-000658,-0.21612444556299884
ACH-000661,-0.2056413327721171
ACH-000662,-0.2578281542448149
ACH-000663,-0.02804823845808237
ACH-000665,-0.0067075317300586655
ACH-000671,-0.07631939611188791
ACH-000672,-0.11471681076428082
ACH-000673,-0.16383417984273538
ACH-000676,-0.11465602912844665
ACH-000677,-0.08582241263438932
ACH-000681,-0.10666974520730944
ACH-000683,-0.07551109640240261
ACH-000684,-0.09563154446616644
ACH-000688,-0.11295705061994467
ACH-000693,-0.08649818337815057
ACH-000694,-0.019852527454892962
ACH-000695,-0.16505299708839652
ACH-000696,-0.02260138801868378
ACH-000697,-0.03848737009497357
ACH-000699,-0.053299529191169405
ACH-000701,-0.1269268462301398
ACH-000706,-0.16436430598273022
ACH-000711,-0.08485911938800829
ACH-000713,-0.050543427802089175
ACH-000714,0.046657647653399435
ACH-000718,-0.15949675310768152
ACH-000720,-0.031127129246260262
ACH-000721,-0.3181124395865674
ACH-000724,0.0410728956397248
ACH-000725,-0.1505770846979521
ACH-000732,-0.08440718977629381
ACH-000734,-0.06539416645216799
ACH-000735,-0.08256521653060113
ACH-000736,0.06712735732712617
