,KMO (8564)
ACH-000004,-0.1121675931647892
ACH-000005,0.2037231394445685
ACH-000007,-0.12094131269114852
ACH-000009,-0.20299035094216344
ACH-000011,-0.10120614090419758
ACH-000012,0.001862582861370605
ACH-000013,-0.00536113083535738
ACH-000014,-0.11830444359551492
ACH-000015,0.03297559213629598
ACH-000017,-0.07734668946358207
ACH-000018,-0.02066598918791007
ACH-000019,-0.04688851895630804
ACH-000021,-0.001804241042437512
ACH-000022,-0.03453370841757012
ACH-000025,0.07371067785134898
ACH-000028,-0.1368553660708784
ACH-000030,-0.002401592830450386
ACH-000035,0.12223710156096787
ACH-000036,-0.06545304911697711
ACH-000037,-0.03469436246133377
ACH-000039,-0.11626837018897734
ACH-000040,-0.05664511445591922
ACH-000041,0.013748678234307962
ACH-000042,-0.11254628524785737
ACH-000045,-0.016137322675696585
ACH-000047,-0.003531546077959343
ACH-000052,-0.02015037713142848
ACH-000053,-0.06642858754832047
ACH-000054,-0.0969187724533948
ACH-000055,-0.2506287191941173
ACH-000060,0.08080965497705299
ACH-000067,-0.2514299350131023
ACH-000070,-0.02870674320620052
ACH-000075,-0.16772447581571193
ACH-000078,-0.15210853972483898
ACH-000082,-0.04204660783353782
ACH-000085,-0.09673632527946477
ACH-000086,-0.1625429760058991
ACH-000087,0.3216738698608024
ACH-000092,0.00937138886840366
ACH-000095,-0.07567424828492843
ACH-000097,0.015876160577784428
ACH-000098,-0.049225393751004716
ACH-000099,-0.09751343054420764
ACH-000108,-0.017098446185867228
ACH-000113,-0.15966532150896734
ACH-000116,-0.0034302776179458627
ACH-000118,0.04142662036703105
ACH-000120,-0.004515469794137196
ACH-000123,-0.04810935943671525
ACH-000127,-0.039531356823523434
ACH-000128,-0.0007095309703750997
ACH-000132,-0.041950044714816295
ACH-000133,-0.039064398322127165
ACH-000137,-0.11502079368326018
ACH-000138,-0.11671242587303365
ACH-000142,-0.022619860760207517
ACH-000143,-0.1486867223134038
ACH-000146,-0.040538740413092716
ACH-000148,-0.11745672681728675
ACH-000150,-0.05565731422627773
ACH-000152,-0.03756366122866376
ACH-000153,-0.12822431076395133
ACH-000159,-0.10585894040271908
ACH-000160,-0.03426853809117777
ACH-000163,0.03333058626018634
ACH-000167,-0.04467212657126856
ACH-000168,0.06456779717378583
ACH-000169,0.03663046780428834
ACH-000178,-0.1084871969295767
ACH-000183,-0.0749194929451548
ACH-000188,0.04085155608522963
ACH-000189,0.062179952401368026
ACH-000190,0.19680030924104425
ACH-000198,0.05346346911747848
ACH-000203,-0.379490729858421
ACH-000204,-0.02168122405501581
ACH-000206,0.0400328055971417
ACH-000207,0.08649104920774439
ACH-000208,0.1897379981843237
ACH-000210,-0.08768268620134095
ACH-000211,-0.06420763716432402
ACH-000215,-0.03290573827993923
ACH-000221,-0.14124375065408268
ACH-000222,0.024514111943611482
ACH-000223,-0.001272384717227447
ACH-000226,-0.3017397345901913
ACH-000227,-0.04267911961950402
ACH-000228,-0.07644613340047939
ACH-000231,-0.11217435880004868
ACH-000232,-0.02318043510457886
ACH-000233,-0.17971117122591812
ACH-000234,-0.03899084328979277
ACH-000235,-0.002385941094745566
ACH-000237,-0.059421340449655274
ACH-000238,-0.1935500038144544
ACH-000242,-0.3042967530337413
ACH-000243,-0.007660430187994647
ACH-000244,-0.040287488174157504
ACH-000246,-0.10696823397273167
ACH-000248,-0.029277928378863182
ACH-000250,-0.0615279272908747
ACH-000251,0.10651811312124863
ACH-000252,-0.04920771310250323
ACH-000253,0.027704425959017537
ACH-000255,-0.111006828772071
ACH-000256,0.16936065379308515
ACH-000257,0.06940337048631749
ACH-000258,-0.354477937575677
ACH-000259,0.07104803199419467
ACH-000260,-0.09110373039777496
ACH-000261,-0.07675153883145164
ACH-000262,-0.3275172495597943
ACH-000263,-0.06638989686450215
ACH-000264,-0.08579274664438734
ACH-000265,0.0016479527447058168
ACH-000266,-0.02958292035083545
ACH-000272,-0.049319888533380936
ACH-000274,-0.17440381386004716
ACH-000277,-0.16735431810311874
ACH-000278,-0.09258142960673943
ACH-000279,-0.010821947092777515
ACH-000280,-0.049557492443322165
ACH-000281,-0.09504312554559692
ACH-000288,-0.035830824007580225
ACH-000291,-0.10986158405035676
ACH-000293,-0.18462115050740666
ACH-000294,-0.08645891711528132
ACH-000295,0.0430819416474922
ACH-000296,0.03679282283989308
ACH-000302,-0.007179806125357014
ACH-000304,-0.08202211131999179
ACH-000307,-0.07690100852962146
ACH-000308,-0.019951957839151928
ACH-000310,-0.0694865427665932
ACH-000311,-0.044066924626260516
ACH-000312,0.07690862977628485
ACH-000315,0.05392151330641253
ACH-000316,-0.018668637814860004
ACH-000317,-0.07076534446285833
ACH-000318,0.05079733499485466
ACH-000319,0.027035469012996582
ACH-000320,-0.11252525785058816
ACH-000322,0.007571043462088677
ACH-000323,-0.15869891164443994
ACH-000324,-0.0887294846523353
ACH-000329,-0.034990094393266516
ACH-000330,0.004423308399886868
ACH-000331,-0.041382447409813054
ACH-000332,-0.011844917117878334
ACH-000334,0.14124342091179715
ACH-000335,-0.16999159326481444
ACH-000336,-0.005441409240167484
ACH-000337,-0.14341110302362434
ACH-000338,-0.6894406300393187
ACH-000339,-0.01592074700417481
ACH-000341,-0.02154133935557871
ACH-000348,-0.04932736218179065
ACH-000350,-0.11695551717974408
ACH-000352,-0.0046683495435505705
ACH-000356,0.07819641441138205
ACH-000361,-0.25738210937260136
ACH-000362,-0.22195424174198167
ACH-000363,-0.14816886593161346
ACH-000364,-0.1508653403809576
ACH-000365,-0.06856235693041295
ACH-000366,-0.08086837303344119
ACH-000368,0.058307371257112224
ACH-000374,0.06423000203164429
ACH-000375,-0.0573947945551725
