,ERVV-2 (100271846)
ACH-000004,-0.008651756915123605
ACH-000005,0.1380288822483738
ACH-000007,-0.009613269362413102
ACH-000009,-0.061933160397438514
ACH-000011,-0.2493454122780785
ACH-000012,-0.15042778967553128
ACH-000013,-0.13437384421096393
ACH-000014,-0.059381297337603826
ACH-000015,-0.07452398243279237
ACH-000017,0.050685337916118386
ACH-000018,-0.18122120098857575
ACH-000019,-0.0967854867604914
ACH-000021,-0.18302748725911666
ACH-000022,-0.09433126252214284
ACH-000025,-0.03017413374850567
ACH-000028,-0.05234580249729751
ACH-000030,-0.21459819190080529
ACH-000035,-0.002565485632481791
ACH-000036,-0.013659776723192574
ACH-000037,-0.16373901663035922
ACH-000039,0.03578382616288586
ACH-000040,-0.014089706336358572
ACH-000041,-0.05867829728518671
ACH-000042,-0.013760848816694085
ACH-000045,-0.09854134915879258
ACH-000047,-0.12783226395001918
ACH-000052,-0.14500761937985054
ACH-000053,-0.0908103281075288
ACH-000054,-0.07782673865426766
ACH-000055,-0.2120142454686512
ACH-000060,-0.08329537464734292
ACH-000067,-0.08725065103119241
ACH-000070,-0.1089017337786724
ACH-000075,-0.08584587682245709
ACH-000078,0.004216900574106314
ACH-000082,-0.04116928578550223
ACH-000085,-0.02491354253387697
ACH-000086,-0.1860852325448407
ACH-000087,-0.07698722230114632
ACH-000092,-0.01077382860383204
ACH-000095,-0.0720075270072928
ACH-000097,-0.09107947826382112
ACH-000098,-0.07204334656118104
ACH-000099,-0.16803375501927856
ACH-000108,-0.2273429951404815
ACH-000113,-0.056529665515257586
ACH-000116,-0.12820517402669362
ACH-000118,-0.10437785966830833
ACH-000120,-0.09055756354173032
ACH-000123,-0.12043842455066055
ACH-000127,-0.13659638157395848
ACH-000128,-0.050220558974145686
ACH-000132,-0.07283096751647099
ACH-000133,-0.1477936606456431
ACH-000137,-0.10605527973977966
ACH-000138,-0.13655464873770987
ACH-000142,-0.23931227772017294
ACH-000143,-0.10719604615040937
