,NDST1 (3340)
ACH-000004,-0.005781768164788806
ACH-000005,0.2326421078017187
ACH-000007,-0.0426357228005454
ACH-000009,-0.3526560549051587
ACH-000011,-0.09255668955363876
ACH-000012,-0.07178257555795486
ACH-000013,-0.056829729785856375
ACH-000014,-0.18512218405273212
ACH-000015,-0.2876264388177674
ACH-000017,-0.013472955299831809
ACH-000018,0.11122697986631053
ACH-000019,0.04829582859762718
ACH-000021,-0.060428624651243414
ACH-000022,0.04652235948683013
ACH-000025,-0.005967214372108415
ACH-000028,-0.1235646497512728
ACH-000030,-0.050794625557675
ACH-000035,-0.07365836493294291
ACH-000036,-0.1975719345734771
ACH-000037,-0.03807038359396809
ACH-000039,-0.15035729671545153
ACH-000040,-0.13554454498664362
ACH-000041,0.08901350727661009
ACH-000042,-0.1215609759411107
ACH-000045,-0.040661535606762333
ACH-000047,-0.1817621643960281
ACH-000052,-0.5281290131583137
ACH-000053,-0.10906956759474404
ACH-000054,-0.1368305213555742
ACH-000055,-0.21245023055998255
ACH-000060,-0.21048630541355132
ACH-000067,-0.2627597632038813
ACH-000070,0.06606700488034771
ACH-000075,-0.4611737931324821
ACH-000078,0.017651758071121758
ACH-000082,-0.030378303955243175
ACH-000085,-0.2768958283987846
ACH-000086,-0.27261357357728194
ACH-000087,-0.3918583149589861
ACH-000092,-0.10128640672115663
ACH-000095,-0.13245473667761246
ACH-000097,-0.1274194093972534
ACH-000098,-0.3915241041814511
ACH-000099,-0.2150983747792499
ACH-000108,-0.0657864041049008
ACH-000113,0.030158065668494508
ACH-000116,0.04889302677705884
ACH-000118,-0.08575398114376777
ACH-000120,-0.2690272163185611
ACH-000123,-0.14226028528864815
ACH-000127,0.037451281514000304
ACH-000128,-0.11320998337810782
ACH-000132,-0.1930867070252718
ACH-000133,-0.13271356707655574
ACH-000137,0.16996821956408545
ACH-000138,0.003605388367499665
ACH-000142,-0.28645254720917546
ACH-000143,-0.16894942452645473
ACH-000146,-0.008295437799106124
ACH-000148,-0.06970462175432296
ACH-000150,-0.18179740928390886
ACH-000152,-0.18333574024953472
ACH-000153,-0.2625472665178332
ACH-000159,0.011146790278162871
ACH-000160,-0.2632764004673208
ACH-000163,-0.324080749109035
ACH-000167,0.1946614606017317
ACH-000168,-0.07801453292938193
ACH-000169,-0.009148364961273069
ACH-000178,-0.08100436876700734
ACH-000183,-0.400515964852026
ACH-000188,-0.2448171534564621
ACH-000189,-0.2941543251529425
ACH-000190,-0.06860605936507479
ACH-000198,0.014723724311741924
ACH-000203,-0.1432823450348378
ACH-000204,-0.2993248903819736
ACH-000206,-0.14341913996937736
ACH-000207,-0.2542096173865244
ACH-000208,-0.052247657745000085
