,ZKSCAN4 (387032)
ACH-000004,-0.13655291929002414
ACH-000005,-0.0919704313009363
ACH-000007,-0.1776147583577086
ACH-000009,-0.09437811386907033
ACH-000011,0.006693203422356006
ACH-000012,-0.024454148177674037
ACH-000013,-0.027507555435176773
ACH-000014,-0.11749594168698364
ACH-000015,-0.016773707871809554
ACH-000017,-0.07279297892074993
ACH-000018,-0.06637177043054512
ACH-000019,-0.1989576202219324
ACH-000021,-0.02476096094104363
ACH-000022,-0.07451383282458751
ACH-000025,-0.13492151920180445
ACH-000028,-0.054935428363188835
ACH-000030,-0.08106169574350561
ACH-000035,-0.09697742139303972
ACH-000036,-0.032692080272417004
ACH-000037,-0.02110129655928196
ACH-000039,-0.16157435136806286
ACH-000040,-0.1276895072191214
ACH-000041,-0.043152760929038345
ACH-000042,0.05369609023256194
ACH-000045,-0.13593571144764038
ACH-000047,-0.045572989190256194
ACH-000052,0.015912172244862445
ACH-000053,-0.01319889960665905
ACH-000054,-0.13304254305349267
ACH-000055,-0.017281836433082468
ACH-000060,-0.05273572335186427
ACH-000067,-0.08784812694069424
ACH-000070,0.12230139453687575
ACH-000075,-0.14589315901945488
ACH-000078,-0.14700385654739065
ACH-000082,-0.05213122841604564
ACH-000085,0.10346908102265616
ACH-000086,-0.01652219192771567
ACH-000087,-0.05608443820727591
ACH-000092,-0.02143654343912376
ACH-000095,-0.1009498644124628
ACH-000097,-0.08462182144595683
ACH-000098,-0.10207496695937003
ACH-000099,-0.0704348772795107
ACH-000108,-0.007221713396261388
ACH-000113,-0.15151159350364796
ACH-000116,0.008678342027064625
ACH-000118,-0.0334771675453053
ACH-000120,-0.009807533631393368
ACH-000123,-0.02463917619892413
ACH-000127,-0.19098286524825825
ACH-000128,-0.07960080921632604
ACH-000132,-0.15495452281061825
ACH-000133,-0.11815927063165553
ACH-000137,-0.1400386215945915
ACH-000138,-0.05110514874888868
ACH-000142,-0.039007539434965384
ACH-000143,0.017995215841667626
ACH-000146,-0.12495288637217862
ACH-000148,-0.0401628234919966
ACH-000150,0.049153340572558366
ACH-000152,-0.12438425757655848
ACH-000153,-0.0929428550748202
ACH-000159,-0.04737753969794385
ACH-000160,-0.06024770897098309
ACH-000163,-0.03503220242883115
ACH-000167,0.0331374266200421
ACH-000168,-0.018873658378575887
ACH-000169,-0.03878629919085499
ACH-000178,-0.09397037342845188
ACH-000183,0.06251677302141119
ACH-000188,-0.03216856393827868
ACH-000189,-0.22213943415064155
ACH-000190,-0.07596859671027066
ACH-000198,-0.16543993292635772
ACH-000203,-0.19048857052400306
ACH-000204,0.03942907468211534
ACH-000206,-0.05294140007254987
ACH-000207,0.0960017100923987
ACH-000208,-0.18379626752255884
ACH-000210,-0.012615421768287048
ACH-000211,-0.05858548396761835
ACH-000215,-0.11190340192290092
ACH-000221,-0.034577518723435285
ACH-000222,-0.11925878699928028
ACH-000223,-0.08425393582656635
ACH-000226,0.04302091545074803
ACH-000227,0.06119996279019499
ACH-000228,-0.1809778521955262
ACH-000231,-0.051327521104464216
ACH-000232,-0.06782184508410988
ACH-000233,-0.03479636431647728
ACH-000234,-0.028583829887831126
ACH-000235,-0.10320589514372784
ACH-000237,-0.06393349659548346
ACH-000238,-0.12480534192257728
ACH-000242,-0.076406426372581
ACH-000243,-0.029443502917557023
ACH-000244,-0.06256905253732707
ACH-000246,-0.005412901399685397
ACH-000248,-0.08069343512997752
ACH-000250,-0.050944191206048185
ACH-000251,-0.1597764895333517
ACH-000252,0.043022361099827336
ACH-000253,-0.15344852607189066
