,PIK3CD (5293)
ACH-000004,-0.15829661903359946
ACH-000005,0.0016908842934299187
ACH-000007,-0.002898112481209993
ACH-000009,-0.042448797840856735
ACH-000011,0.09229089003020112
ACH-000012,-0.18920702713147292
ACH-000013,-0.3742076381243112
ACH-000014,-0.35668693254594663
ACH-000015,-0.13077738486824425
ACH-000017,-0.21640273996595485
ACH-000018,-0.1441287023826615
ACH-000019,-0.16505145546629968
ACH-000021,-0.12546440536808198
ACH-000022,-0.0025023031856125145
ACH-000025,-0.4259141932368313
ACH-000028,-0.0004358626135393736
ACH-000030,-0.05399655444307384
ACH-000035,-0.3337817901577124
ACH-000036,-0.1643687690624083
ACH-000037,-0.2982533191922437
ACH-000039,-0.2465013425693285
ACH-000040,-0.08956531259223707
ACH-000041,-0.33015026098855865
ACH-000042,-0.1556607867025393
ACH-000045,-0.21864717718178606
ACH-000047,-0.024893132055255184
ACH-000052,-0.15609472863995505
ACH-000053,-0.10519876132529037
ACH-000054,-0.1453740649931687
ACH-000055,0.019420322661067684
ACH-000060,-0.12141954596537677
ACH-000067,-0.4390209987587754
ACH-000070,-0.23414639262420275
ACH-000075,-0.3451668276057861
ACH-000078,-0.1347085060237522
ACH-000082,-0.13033230622711348
ACH-000085,-0.0889160535235355
ACH-000086,-0.20838618319306287
ACH-000087,-0.043807845171421285
ACH-000092,-0.18031761396924026
ACH-000095,0.04321221778403381
ACH-000097,-0.10494916866023557
ACH-000098,-0.1349176208303912
ACH-000099,-0.17815721231142026
ACH-000108,-0.1839757850276956
ACH-000113,-0.0762704336730749
ACH-000116,-0.0572482398997857
ACH-000118,-0.123403831444727
ACH-000120,-0.11261328532959078
ACH-000123,-0.12005749491195253
ACH-000127,-0.00926426782425219
ACH-000128,-0.4576717628352262
ACH-000132,-0.1542079443805581
ACH-000133,0.009166692394337315
ACH-000137,-0.02403682538082789
ACH-000138,-0.09356612179414496
ACH-000142,-0.0328018667946883
ACH-000143,-0.1884293558522187
ACH-000146,-0.4484819252338402
ACH-000148,-0.05959841377875472
ACH-000150,-0.3248407531542237
