,HIST2H2AA3 (8337)
ACH-000004,-0.7503812827131585
ACH-000005,-0.7777534534398037
ACH-000007,-0.08654407319156361
ACH-000009,-0.4325908617611596
ACH-000011,-0.3064762682735807
ACH-000012,-0.3666716132993168
ACH-000013,-0.26669644246437696
ACH-000014,-0.4484215349717584
ACH-000015,-0.4302255580578953
ACH-000017,-0.4264731289550146
ACH-000018,-0.2590403638424392
ACH-000019,-0.20369714250164286
ACH-000021,-0.2895804904034913
ACH-000022,-0.2702595625522601
ACH-000025,-0.5533968994207537
ACH-000028,-0.29939540499760703
ACH-000030,-0.3971518065501285
ACH-000035,-0.437989871646066
ACH-000036,-0.3126459305133723
ACH-000037,-0.3925409059514827
ACH-000039,-0.6257460388528939
ACH-000040,-0.2207225517075504
ACH-000041,-0.3761115440487106
ACH-000042,-0.4782574981976724
ACH-000045,-0.6212801848115216
ACH-000047,-0.40311494261190906
ACH-000052,-0.10700831685023833
ACH-000053,-0.5022910889102757
ACH-000054,-0.364633867726284
ACH-000055,-0.2228268719516944
ACH-000060,-0.4862084759988455
ACH-000067,-0.3441087365190719
ACH-000070,-0.5460486636573394
ACH-000075,-0.24014760476875505
ACH-000078,-0.4788182158402712
ACH-000082,-0.4267806834652727
ACH-000085,-0.4245373911130289
ACH-000086,-0.4765933575556235
ACH-000087,-0.4225371563248648
ACH-000092,-0.4454719399575065
ACH-000095,-0.4609327240629369
ACH-000097,-0.39657334648005216
ACH-000098,-0.28912364410813474
ACH-000099,-0.3118293652776715
ACH-000108,-0.310113766377215
ACH-000113,-0.2506134628443533
ACH-000116,-0.3413726253761161
ACH-000118,-0.4750826388862464
ACH-000120,-0.3054271571844172
ACH-000123,-0.3803322247849317
ACH-000127,-0.3109412463030329
ACH-000128,-0.22428529973001127
ACH-000132,-0.0975106627251865
ACH-000133,-0.5106735534178125
ACH-000137,-0.3672230647931115
ACH-000138,-0.41430966067288144
ACH-000142,-0.4159693401999088
ACH-000143,-0.3404938518903847
ACH-000146,-0.5999541410758186
ACH-000148,-0.3609686760266085
ACH-000150,-0.3974085745836598
ACH-000152,-0.2449729189013952
ACH-000153,-0.7862444363780423
ACH-000159,-0.4756643364187877
ACH-000160,-0.3299872828020559
ACH-000163,-0.41493622274137626
ACH-000167,-0.6331901554960363
ACH-000168,-0.5835419556630249
ACH-000169,-0.561355226128115
ACH-000178,-0.3665105273414321
ACH-000183,-0.3272011577765395
ACH-000188,-0.4092595156692661
ACH-000189,-0.658777710214072
ACH-000190,-0.3239895998321808
ACH-000198,-0.5342147702326152
ACH-000203,-0.2886458765570054
ACH-000204,-0.3930119149175183
ACH-000206,-0.7666984664518636
ACH-000207,-0.2225504803411546
ACH-000208,-0.1362281136021765
ACH-000210,-0.6391550162197295
ACH-000211,-0.33566389123637863
ACH-000215,-0.4059195673017948
ACH-000221,-0.5485625901790551
ACH-000222,-0.39060163511344
ACH-000223,-0.3270573490920059
ACH-000226,-0.2396834414582299
ACH-000227,-0.21251731678616773
ACH-000228,-0.42381535889320987
ACH-000231,-0.3161925229720837
ACH-000232,-0.4203258276522296
ACH-000233,-0.4093679729899433
ACH-000234,-0.3646814166037379
ACH-000235,-0.4278825443224342
ACH-000237,-0.44758625301397786
ACH-000238,-0.3224383151963417
ACH-000242,-0.15650325115653693
ACH-000243,-0.5005700677542411
ACH-000244,-0.441149156593443
ACH-000246,-0.4518105895200643
ACH-000248,-0.14392128375182828
ACH-000250,-0.26667921242636344
ACH-000251,-0.4492634912544172
ACH-000252,-0.04367295447132085
ACH-000253,-0.3403988596721412
ACH-000255,-0.44651639160570905
ACH-000256,-0.4224687972945829
ACH-000257,-0.4657701624330351
ACH-000258,-0.4295868885562775
ACH-000259,-0.4600725215878807
ACH-000260,-0.50087422734036
ACH-000261,-0.3599402007771573
ACH-000262,-0.4447003538051523
ACH-000263,-0.8130793889827441
ACH-000264,-0.31305897331546506
ACH-000265,-0.4412813212830027
ACH-000266,-0.3569887216713274
ACH-000272,-0.3742819397708222
ACH-000274,-0.3717438729118005
ACH-000277,-0.2608842486947325
ACH-000278,-0.3966946389358946
ACH-000279,-0.303486575454103
ACH-000280,-0.25129225248646425
ACH-000281,-0.25188450027471804
ACH-000288,-0.4555781685015681
ACH-000291,-0.3112347753896565
ACH-000293,-0.4139229677407744
ACH-000294,-0.5803592831017961
ACH-000295,-0.3682741349263449
ACH-000296,-0.451124072559641
ACH-000302,-0.3059217687030697
ACH-000304,-0.5508250926131446
ACH-000307,-0.5016623970968538
ACH-000308,-0.2307793054183165
ACH-000310,-0.4449886635724791
ACH-000311,-0.6088129360549906
ACH-000312,-0.33256437561135777
ACH-000315,-0.23553453591103374
ACH-000316,-0.5379585059412201
ACH-000317,-0.4111002051619386
ACH-000318,-0.6049400407784693
ACH-000319,-0.3830915942085015
ACH-000320,-0.3478740625618199
ACH-000322,-0.3424470834643185
ACH-000323,-0.096236492516548
ACH-000324,-0.3172747697693648
ACH-000329,-0.3270374658640096
ACH-000330,-0.4358658228178638
ACH-000331,-0.3434712345909769
ACH-000332,-0.435622706694798
ACH-000334,-0.4714862774004677
ACH-000335,-0.20116578177378716
ACH-000336,-0.2649123304123542
ACH-000337,-0.4216310822554942
ACH-000338,-0.3870669427175055
ACH-000339,-0.2848576758831445
ACH-000341,-0.5896443354191829
ACH-000348,-0.4422325257743773
ACH-000350,-0.4358736832152326
ACH-000352,-0.3955970218472462
ACH-000356,-0.3613838904007545
ACH-000361,-0.4137105019478565
ACH-000362,-0.4827086593638994
ACH-000363,-0.4849659068058572
ACH-000364,-0.32795461138560084
ACH-000365,-0.39141034150453397
ACH-000366,-0.3654035205583381
ACH-000368,-0.3994022385523877
ACH-000374,-0.4228441982622935
ACH-000375,-0.35116781652330525
ACH-000376,-0.3583411811510158
ACH-000381,-0.38335704621388106
ACH-000383,-0.41697161878500855
ACH-000387,-0.6880129103923426
ACH-000389,-0.3846426956459171
ACH-000390,-0.5489121477354278
ACH-000393,-0.34381204716457464
ACH-000395,-0.31399422951726125
ACH-000396,-0.0803154665272733
ACH-000397,-0.5050701438061376
ACH-000401,-0.6701375391036771
ACH-000402,-0.09444311227113243
ACH-000403,-0.4788978123391161
ACH-000404,-0.4829099676730423
ACH-000406,-0.8296167668486755
ACH-000407,-0.13305396821701748
ACH-000408,-0.13369988992637954
ACH-000410,-0.17552508222463692
ACH-000411,-0.2633613799488788
ACH-000414,-0.5605099632380144
ACH-000415,-0.4937930305117929
ACH-000416,-0.3387426598880802
ACH-000420,-0.31196321381817976
ACH-000421,-0.3434991731188047
ACH-000424,-0.5404643658654255
ACH-000425,-0.3991651049890062
ACH-000426,-0.9098001877587122
ACH-000427,-0.300531379358843
ACH-000433,-0.17786921798928074
ACH-000435,-0.04493962578227829
ACH-000436,-0.6675304678979713
ACH-000444,-0.18248033032379626
ACH-000445,-0.2565860449820484
ACH-000448,-0.31587325870942057
ACH-000450,-0.7755996037997234
ACH-000452,-0.4845171279842966
ACH-000454,-0.5390391116194727
ACH-000458,-0.43523929237043896
ACH-000459,-0.7421077803189259
ACH-000460,-0.3409509735448249
