,PDE6G (5148)
ACH-000004,-0.21182803230996827
ACH-000005,-0.16552552282108188
ACH-000007,-0.031990765778346336
ACH-000009,-0.22049162973191186
ACH-000011,-0.30841447451731946
ACH-000012,-0.09704526889299167
ACH-000013,-0.12180595213369184
ACH-000014,-0.014411664950559091
ACH-000015,-0.04097971441063997
ACH-000017,-0.12506468110618055
ACH-000018,0.04397976157570248
ACH-000019,-0.013030147774968269
ACH-000021,-0.212549147355608
ACH-000022,-0.08296016026332223
ACH-000025,-0.02823417467735527
ACH-000028,-0.05042961287600415
ACH-000030,-0.05138277852747953
ACH-000035,0.04334633812296308
ACH-000036,-0.191616989866394
ACH-000037,-0.18495924985105053
ACH-000039,-0.04535546934785512
ACH-000040,-0.12596195677199382
ACH-000041,-0.1580373227326039
ACH-000042,-0.2568964399464923
ACH-000045,-0.08967711962569593
ACH-000047,-0.05528531771976035
ACH-000052,-0.03476785120645183
ACH-000053,-0.07196644905986571
ACH-000054,-0.1001845924065382
ACH-000055,-0.04245502735864497
ACH-000060,-0.29941395409755045
ACH-000067,-0.1501750855912367
ACH-000070,0.010173432418476895
ACH-000075,-0.19472624040112896
ACH-000078,-0.026822570994029588
ACH-000082,-0.2055822455545712
ACH-000085,-0.0895262977320133
ACH-000086,-0.11407136591211856
ACH-000087,-0.2968053687093156
ACH-000092,-0.24078893135130955
ACH-000095,-0.1390072518107872
ACH-000097,-0.050193003643419117
ACH-000098,-0.20906024645224372
ACH-000099,-0.09100326732230248
ACH-000108,-0.17830505848338704
ACH-000113,-0.25536293785376696
ACH-000116,-0.1090615089682642
ACH-000118,-0.20904843487251965
ACH-000120,-0.16157683036791734
ACH-000123,-0.09292124796636116
ACH-000127,-0.056304369042732276
ACH-000128,-0.13301627361608245
ACH-000132,-0.12161929438259945
ACH-000133,-0.13477839464002353
ACH-000137,-0.0267649192719402
ACH-000138,-0.2826970086238019
ACH-000142,-0.2654127601863884
ACH-000143,-0.024760498344497582
ACH-000146,-0.11547699170897703
ACH-000148,-0.1525819165595078
ACH-000150,-0.017567499801057457
ACH-000152,-0.1846680931144743
ACH-000153,0.10735779435681066
ACH-000159,-0.1810659483726709
ACH-000160,-0.19881203128895128
ACH-000163,-0.13805499190053766
ACH-000167,-0.19979253895598398
ACH-000168,-0.10199160666331653
ACH-000169,-0.2657922790670089
ACH-000178,-0.052656288204158415
ACH-000183,-0.10096896785626948
ACH-000188,-0.06882617209934523
ACH-000189,0.05192865782020838
ACH-000190,-0.03748754604737138
ACH-000198,-0.11258599703892193
ACH-000203,0.1019810191188599
ACH-000204,-0.23310343769184694
ACH-000206,0.008957092538036506
ACH-000207,0.18275383588150176
ACH-000208,-0.07634070938938378
ACH-000210,-0.003632389460107967
ACH-000211,-0.018656058740402562
ACH-000215,-0.2080954275040524
ACH-000221,-0.11940840922172305
ACH-000222,-0.14075659666305915
ACH-000223,-0.20652642424439632
ACH-000226,-0.11364500379373252
ACH-000227,-0.01582959892708924
ACH-000228,-0.08676450632370968
ACH-000231,-0.196237132741864
ACH-000232,0.02089949207186843
ACH-000233,-0.045539236462871883
ACH-000234,-0.2451881516719838
ACH-000235,-0.09246584206551133
ACH-000237,-0.13903321632349286
ACH-000238,-0.12388170845086395
ACH-000242,-0.036757527538836786
ACH-000243,-0.10421332381939914
ACH-000244,-0.31002983991024274
ACH-000246,-0.13952013536056956
