,CRYL1 (51084)
ACH-000004,0.1125471121396477
ACH-000005,0.26202609605320965
ACH-000007,0.043435710393492165
ACH-000009,0.16332683094829126
ACH-000011,0.10766085793533478
ACH-000012,0.1593089696503346
ACH-000013,0.058628593864116285
ACH-000014,0.18418406951561064
ACH-000015,0.06882319013366818
ACH-000017,0.013037843351186044
ACH-000018,-0.0867989268781817
ACH-000019,-0.01331094852250601
ACH-000021,0.052400567810880996
ACH-000022,0.018842409625102002
ACH-000025,0.08462777899985424
ACH-000028,0.13012695621657078
ACH-000030,-0.01607971571812611
ACH-000035,-0.02776024529732424
ACH-000036,0.005217770392169415
ACH-000037,-0.004072743453839757
ACH-000039,0.12107731276068825
ACH-000040,0.04861090577613994
ACH-000041,0.03070903151896165
ACH-000042,-0.004660262975129084
ACH-000045,-0.032630491615033015
ACH-000047,0.03577500084734196
ACH-000052,-0.04542007677154364
ACH-000053,0.013371117257164148
ACH-000054,-0.02752711169935353
ACH-000055,0.00528940329664725
ACH-000060,0.0854918235194962
ACH-000067,-0.163621879143845
ACH-000070,-0.027433439427161425
ACH-000075,-0.026095314337450142
ACH-000078,-0.011122486442939365
ACH-000082,0.08799019943740301
ACH-000085,-0.024530022273588536
ACH-000086,-0.07602464880110396
ACH-000087,0.06408743015255508
ACH-000092,0.06203658197406864
ACH-000095,0.008476689180544826
ACH-000097,-0.06347235366641657
ACH-000098,0.10274328577830334
ACH-000099,0.016389750397061656
ACH-000108,0.03669327395550297
ACH-000113,0.0029865283058304
ACH-000116,-0.011241171215056713
ACH-000118,0.1033929720749633
ACH-000120,0.04125308498526006
ACH-000123,-0.04035868582420244
ACH-000127,-0.007248215170017427
ACH-000128,0.07163467193059614
ACH-000132,-0.05731780843551305
ACH-000133,0.04411056870204958
ACH-000137,0.151096660953893
ACH-000138,0.14520768054393846
ACH-000142,0.013522769853761465
ACH-000143,0.030394252810882438
ACH-000146,-0.0226105439774921
ACH-000148,-0.05447921108849084
ACH-000150,0.054612757405191205
ACH-000152,-0.08710749252567311
ACH-000153,0.08332699180422973
ACH-000159,-0.10828890747273824
ACH-000160,0.06633883740968663
ACH-000163,0.04363824900171715
ACH-000167,-0.25457020458157603
ACH-000168,0.07341923290946784
ACH-000169,-0.03721600119502157
