,PTTG1 (9232)
ACH-000004,-0.2285182463917313
ACH-000005,-0.5004630801564682
ACH-000007,-0.3019654227300219
ACH-000009,-0.39499554840857
ACH-000011,-0.31473741927579024
ACH-000012,-0.47543438191182597
ACH-000013,-0.08387549424981655
ACH-000014,-0.4641969628867366
ACH-000015,-0.3722582280963073
ACH-000017,-0.31809709886641885
ACH-000018,-0.370409248364825
ACH-000019,-0.2926525703987837
ACH-000021,-0.3352704966781287
ACH-000022,-0.3112688326660737
ACH-000025,-0.2054649348214377
ACH-000028,-0.15577551078746665
ACH-000030,-0.1138951572607688
ACH-000035,-0.3777915636375923
ACH-000036,-0.6381609091123844
ACH-000037,-0.25741783562445114
ACH-000039,-0.2693531758236169
ACH-000040,-0.4806919227861983
ACH-000041,-0.2371865786698229
ACH-000042,-0.3831300326803683
ACH-000045,-0.14145863965017455
ACH-000047,-0.3690189086268056
ACH-000052,-0.3167413775481987
ACH-000053,-0.2949059141054109
ACH-000054,-0.28441359483952244
ACH-000055,-0.6524162275442943
ACH-000060,-0.5256232405417556
ACH-000067,-0.4398245593888617
ACH-000070,-0.3129348261355274
ACH-000075,-0.2386013907793433
ACH-000078,-0.1353380684594104
ACH-000082,-0.3874244232920247
ACH-000085,-0.5175891698340792
ACH-000086,-0.3461541476355393
ACH-000087,-0.119895376747264
ACH-000092,-0.3278470891066092
ACH-000095,-0.4478073700264904
ACH-000097,-0.3146350811101174
ACH-000098,-0.2458827931757292
ACH-000099,-0.09161540489747236
ACH-000108,-0.2072355541877238
ACH-000113,-0.3311013913879341
ACH-000116,-0.3005048152148068
ACH-000118,-0.510789451104649
ACH-000120,-0.12446031065717487
ACH-000123,-0.3722968533786575
ACH-000127,-0.3888135830418091
ACH-000128,-0.07483945294691023
ACH-000132,-0.6553967998338117
ACH-000133,-0.4024104753141581
ACH-000137,-0.16682032990101894
ACH-000138,-0.34786951447797565
ACH-000142,-0.28459017115656104
ACH-000143,-0.26198101298926496
ACH-000146,-0.4468025889780789
ACH-000148,-0.4145711008115577
ACH-000150,-0.2077653869709356
ACH-000152,-0.4166511001515967
ACH-000153,0.006935227516402815
ACH-000159,-0.31112498012578377
ACH-000160,-0.13084136309131722
ACH-000163,-0.4768069638157832
ACH-000167,-0.17705740043757268
ACH-000168,-0.5797962049707057
ACH-000169,-0.40918824228753203
ACH-000178,-0.43976737222736495
ACH-000183,-0.6024650707019668
ACH-000188,-0.2514438900940925
ACH-000189,-0.208598048829441
ACH-000190,-0.5742034030816309
ACH-000198,-0.24805325960931
ACH-000203,-0.9152210303396836
ACH-000204,-0.4643525317470446
ACH-000206,-0.4674919435480879
ACH-000207,-0.26655577885527404
ACH-000208,-0.2646854133244237
ACH-000210,-0.2272122519664265
ACH-000211,-0.38135777089253065
ACH-000215,-0.3327238967821358
ACH-000221,-0.1200665755305345
ACH-000222,-0.21769594019609653
ACH-000223,-0.4523745457478753
ACH-000226,-0.3003194832532585
ACH-000227,-0.4108917986665199
ACH-000228,-0.3638111204982343
ACH-000231,-0.4920509938167898
ACH-000232,-0.4145399829150849
ACH-000233,-0.3422177976058441
ACH-000234,-0.2903197727271928
ACH-000235,-0.25735774651828164
ACH-000237,-0.4224556480059382
ACH-000238,-0.2270841982985144
ACH-000242,-0.3585547263771749
ACH-000243,-0.44915416654605456
ACH-000244,-0.6562254352630795
ACH-000246,-0.2461706951177337
ACH-000248,-0.3881565204605954
ACH-000250,-0.2166113346583904
ACH-000251,-0.3621928511231274
ACH-000252,-0.3643755420390445
ACH-000253,-0.5316635651085659
