,PTPRR (5801)
ACH-000004,-0.09682827129856897
ACH-000005,0.15125569746959655
ACH-000007,0.013442934847483979
ACH-000009,-0.20290889139341875
ACH-000011,-0.006796093145178683
ACH-000012,-0.015239450021503325
ACH-000013,-0.05274350480245425
ACH-000014,-0.06182438943909186
ACH-000015,-0.03327178503711248
ACH-000017,-0.05854687353955474
ACH-000018,0.07867340167162183
ACH-000019,-0.054296240857442966
ACH-000021,-0.11860828928750605
ACH-000022,-0.058285050632114525
ACH-000025,-0.15689494897945175
ACH-000028,-0.10425810933304064
ACH-000030,-0.10999152293472284
ACH-000035,-0.1326766486421258
ACH-000036,-0.0002200149531379608
ACH-000037,-0.3006671893954708
ACH-000039,-0.012072025154316008
ACH-000040,-0.2084766702975723
ACH-000041,-0.21110361087689486
ACH-000042,0.010896757667375415
ACH-000045,-0.16700197455642596
ACH-000047,-0.217039347354102
ACH-000052,-0.13247420163769902
ACH-000053,-0.08745506854339119
ACH-000054,-0.09519185882775964
ACH-000055,0.0226005517651342
ACH-000060,-0.005501387440147305
ACH-000067,-0.16446749087310253
ACH-000070,-0.2484038280721067
ACH-000075,0.013512747722415586
ACH-000078,-0.13182297733736267
ACH-000082,-0.1618861816283529
ACH-000085,-0.13752156982952876
ACH-000086,-0.08330958292521604
ACH-000087,-0.4207591868978094
ACH-000092,-0.11147169752247348
ACH-000095,-0.1563156210634841
ACH-000097,-0.0431813028196483
ACH-000098,-0.03576976560668549
ACH-000099,-0.11037063063130263
ACH-000108,0.09921285115633956
ACH-000113,0.05004654783113903
ACH-000116,-0.1497269405092434
ACH-000118,-0.005359562651737778
ACH-000120,0.20125621124934304
ACH-000123,-0.14914960027811666
ACH-000127,-0.031286590946748884
ACH-000128,-0.09580397142159114
ACH-000132,-0.0027622147684916412
ACH-000133,-0.13915526968713576
ACH-000137,0.06458751318513392
ACH-000138,-0.08831964661014806
ACH-000142,-0.02582862976206395
ACH-000143,-0.055749454827338236
ACH-000146,-0.07223672273007564
ACH-000148,-0.034570594270486546
ACH-000150,-0.17215128651058648
ACH-000152,-0.1627775601558545
ACH-000153,-0.37139979265915424
ACH-000159,0.014827674823055624
ACH-000160,-0.045414543859724016
ACH-000163,0.024705757316225624
ACH-000167,0.25372284233050674
ACH-000168,-0.04171838935199351
ACH-000169,-0.016583354433451027
ACH-000178,-0.03554879331117612
ACH-000183,-0.09793961419532307
ACH-000188,-0.0740561516223482
ACH-000189,-0.09509334801471564
ACH-000190,0.28474919023268713
ACH-000198,-0.18874503543445234
ACH-000203,-0.4248703696343778
ACH-000204,0.09943047819914634
ACH-000206,-0.031619688930473386
ACH-000207,-0.19653036129882728
ACH-000208,-0.30763076848283444
ACH-000210,0.10332985293053848
ACH-000211,-0.11282932412103665
ACH-000215,-0.06291499927395956
ACH-000221,-0.07571793791863958
ACH-000222,-0.16491846614789732
ACH-000223,-0.14459739507576005
ACH-000226,-0.2300314146598583
ACH-000227,-0.1951624287250442
ACH-000228,-0.008364710696998208
ACH-000231,-0.09761599688490703
ACH-000232,-0.055080211628468566
ACH-000233,-0.14943574587678324
ACH-000234,-0.1511719949190609
ACH-000235,-0.06515589439190632
ACH-000237,0.02671130593001412
ACH-000238,-0.07874203990966666
ACH-000242,-0.21004021897310998
ACH-000243,-0.0023177904188556664
ACH-000244,-0.006501876664653082
ACH-000246,-0.0567696739611714
ACH-000248,-0.10848769619593376
