,RAD51C (5889)
ACH-000004,-0.5900392046358566
ACH-000005,-0.6236114281391449
ACH-000007,-0.6948863868750942
ACH-000009,-0.6193493882940699
ACH-000011,-0.6244143007713684
ACH-000012,-0.4917191048989824
ACH-000013,-0.1949457230558586
ACH-000014,-0.7468617650674977
ACH-000015,-0.6859746477917217
ACH-000017,-0.32910245729765064
ACH-000018,-0.7452544315219988
ACH-000019,-0.9835145511757944
ACH-000021,-0.3282778541571217
ACH-000022,-0.9580117681585596
ACH-000025,-0.6443481560909783
ACH-000028,-0.7193776965651875
ACH-000030,-0.6242114182096918
ACH-000035,-0.8567086404053558
ACH-000036,-0.4949975812956992
ACH-000037,-0.20347374223067016
ACH-000039,-0.5754855287544905
ACH-000040,-0.7612725653484939
ACH-000041,-0.8239183344877797
ACH-000042,-0.4701567524864109
ACH-000045,-0.5615658120162769
ACH-000047,-0.7299306705501646
ACH-000052,-0.6423134827080482
ACH-000053,-0.5456882204562478
ACH-000054,-0.5839462382395608
ACH-000055,-0.4329949670572473
ACH-000060,-0.6000799822846667
ACH-000067,-0.6649969300481381
ACH-000070,-0.7398908154395833
ACH-000075,-0.7547528740474869
ACH-000078,-0.5108969540728211
ACH-000082,-0.555924708098139
ACH-000085,-0.5838071596821005
ACH-000086,-0.3135846520611273
ACH-000087,-0.7254830369856083
ACH-000092,-0.2983775146299083
ACH-000095,-0.4849119061512589
ACH-000097,-0.4884157217290781
ACH-000098,-0.4203818791667773
ACH-000099,-0.4859094858165477
ACH-000108,-0.4318837893725758
ACH-000113,-0.545518532139962
ACH-000116,-0.6674672052257848
ACH-000118,-0.6370261580399529
ACH-000120,-0.24414259947955266
ACH-000123,-0.4937680190207752
ACH-000127,-0.7387391173184759
ACH-000128,-0.5785406439959112
ACH-000132,-0.4117282517716887
ACH-000133,-0.5698234751248213
ACH-000137,-0.6524596093206168
ACH-000138,-0.3923839243602651
ACH-000142,-0.4252783389965932
ACH-000143,-0.7757341814599883
ACH-000146,-0.34644579883537546
ACH-000148,-0.9858860862096992
ACH-000150,-0.5555105900232462
ACH-000152,-0.5166213662835161
ACH-000153,-0.7113676054703361
ACH-000159,-0.588461633831511
ACH-000160,-0.7943856364539551
ACH-000163,-0.7762298180217864
ACH-000167,-1.0445710135289858
ACH-000168,-0.6041163849501907
ACH-000169,-0.4863981384216782
ACH-000178,-0.5353619538122215
ACH-000183,-0.8106259512077179
ACH-000188,-0.7192665109609546
ACH-000189,-0.6072279402643647
ACH-000190,-0.7010941066049039
ACH-000198,-0.53753038236656
ACH-000203,-0.6167284028880048
ACH-000204,-0.4684509463287544
ACH-000206,-0.4445565453192707
ACH-000207,-0.4993484295972957
ACH-000208,-0.3897528319518237
ACH-000210,-0.3828790842434575
ACH-000211,-0.6703894297991264
ACH-000215,-0.5835684317028461
ACH-000221,-0.8501812112167686
ACH-000222,-0.4530761075603152
ACH-000223,-0.5945517228620748
ACH-000226,-0.5569842659304289
ACH-000227,-0.8144429708969959
ACH-000228,-0.6172242675132418
ACH-000231,-0.7250061900912764
ACH-000232,-0.6777549545811972
ACH-000233,-0.6721223978155436
ACH-000234,-0.4987170733522949
ACH-000235,-0.5470023768381915
ACH-000237,-0.6603091630087681
ACH-000238,-0.7799391331549008
ACH-000242,-0.26145589730070656
ACH-000243,-0.5762486021498476
ACH-000244,-0.7149527566459342
