,P2RX3 (5024)
ACH-000411,-0.13803827479678565
ACH-000414,-0.07355118641060975
ACH-000415,-0.30512003359496664
ACH-000416,-0.06948746230460465
ACH-000420,-0.19403204653462697
ACH-000421,-0.26212117016022674
ACH-000424,-0.003276321432177577
ACH-000425,-0.051451054226907315
ACH-000426,-0.14644802764043716
ACH-000427,-0.09351570899491707
ACH-000433,-0.2796880052506964
ACH-000435,0.2313996574063901
ACH-000436,-0.08245451197433827
ACH-000444,-0.1908876611432882
ACH-000445,-0.17770440608483296
ACH-000448,-0.1127755260491648
ACH-000450,-0.0342762718282085
ACH-000452,-0.15614125857088829
ACH-000454,-0.08950333138914249
ACH-000458,0.005378588984146482
ACH-000459,-0.3433411680937609
ACH-000460,-0.10435035192802816
ACH-000461,-0.33822259954837075
ACH-000463,-0.1857395999133738
ACH-000464,0.1123944672641327
ACH-000466,0.14968133384372645
ACH-000467,-0.2800492940695867
ACH-000468,-0.12926008999878796
ACH-000469,-0.1653852678931623
ACH-000470,-0.0595158431392346
ACH-000471,-0.13011049281829426
ACH-000472,-0.0720348412189258
ACH-000473,-0.154689366883455
ACH-000475,-0.05888456771404262
ACH-000476,-0.1068255838795041
ACH-000477,-0.15766700649505572
ACH-000479,-0.10763814545242732
ACH-000480,-0.1077402940914925
ACH-000481,-0.1638890477515869
ACH-000483,-0.2638610430170647
ACH-000484,-0.210475949698814
ACH-000485,-0.04049217733352351
ACH-000486,-0.1978276652667918
ACH-000487,-0.22403391988996335
ACH-000488,-0.232072936047908
ACH-000490,-0.17924207484796512
ACH-000491,-0.06958180804731418
ACH-000495,-0.013610376132651342
ACH-000496,-0.29443680813516576
ACH-000499,-0.4607787874732424
ACH-000500,-0.6875489839210339
ACH-000502,-0.1906568832633108
ACH-000503,-0.3700925033253856
ACH-000505,-0.16503661443603046
ACH-000507,-0.20854785982512675
ACH-000510,-0.18097299947803272
ACH-000511,-0.32223993337933665
ACH-000512,-0.18246856784437807
ACH-000516,-0.1606394196809802
ACH-000517,-0.0796866784443962
ACH-000518,-0.04041064907978722
ACH-000520,-0.09924507136564914
ACH-000521,-0.0016692964106541288
ACH-000522,-0.05895047044074779
ACH-000524,-0.06772442201019742
ACH-000527,-0.05319396373410825
ACH-000528,-0.15683010544149342
ACH-000537,-0.039379599844172455
ACH-000541,-0.293806913400732
ACH-000542,-0.10402125442225243
ACH-000544,-0.20542517376790584
ACH-000545,-0.2671378096710547
ACH-000547,-0.024026369076275703
ACH-000548,-0.21026079656031915
ACH-000549,-0.4354302633932369
ACH-000550,-0.02113602850219576
ACH-000552,-0.1601129428232392
ACH-000556,-0.06996338698818498
ACH-000557,-0.11371108320421085
ACH-000569,-0.10072945615384407
ACH-000570,-0.1808969054674191
ACH-000571,-0.10476680910055693
ACH-000573,-0.09981131033453293
ACH-000576,-0.24251540634053415
ACH-000579,0.07183471537912882
ACH-000580,-0.28964746735417873
ACH-000584,-0.07522655750293045
ACH-000585,-0.1907230795548353
ACH-000588,-0.20007268230175596
ACH-000589,-0.16334969176447295
ACH-000591,-0.09524801535148088
ACH-000593,-0.09675603542098196
ACH-000600,0.00542363382212194
ACH-000601,-0.19657812857024154
ACH-000605,-0.3077833158859197
ACH-000606,-0.3549260163113765
ACH-000608,-0.07745719010010893
ACH-000614,-0.42840538707215575
ACH-000616,-0.049848405922369735
ACH-000618,-0.20478660907222188
ACH-000619,-0.30625866568099164
ACH-000620,-0.11024712005972456
ACH-000621,-0.06996600846192685
ACH-000622,-0.09034074459459694
ACH-000623,-0.15137929065414918
ACH-000624,-0.2056636355013725
ACH-000627,-0.09989689539790153
ACH-000630,-0.19593180533233254
ACH-000631,0.0203134010159703
ACH-000632,-0.013974086857246404
ACH-000633,-0.03199317119596532
ACH-000637,-0.23276087816513374
ACH-000638,-0.2445586667399933
ACH-000646,0.07121659947288624
ACH-000647,-0.1980948971280682
ACH-000648,-0.09789239731468012
ACH-000649,-0.04861461526232926
ACH-000651,-0.11955907029186325
ACH-000652,-0.21493578980182854
ACH-000653,-0.02753496439856844
ACH-000657,-0.11284322845807987
ACH-000658,-0.12421373782512345
ACH-000661,-0.17739018844074844
ACH-000662,-0.11014664350139568
ACH-000663,0.059011378128771726
ACH-000665,0.008733220945462595
ACH-000671,-0.15141401501416574
ACH-000672,-0.5031972786835879
ACH-000673,-0.08697755033438154
ACH-000676,-0.07355607396381664
ACH-000677,-0.08009816173525998
ACH-000681,-0.06599550648964059
ACH-000683,-0.17620865523411364
ACH-000684,-0.3018581594694181
ACH-000688,0.12115113803160668
ACH-000693,-0.26816237616770555
ACH-000694,-0.17525486711714933
ACH-000695,-0.03264656862508173
ACH-000696,-0.11637864204263955
ACH-000697,-0.3140571485634692
ACH-000699,-0.14542579867272093
ACH-000701,-0.2990232940191023
ACH-000706,-0.044865310637088686
ACH-000711,-0.12072622002014133
ACH-000713,-0.22886817590654335
ACH-000714,-0.2632065097849796
ACH-000718,-0.129506424115332
ACH-000720,-0.23903647556746446
ACH-000721,-0.11002077307299624
ACH-000724,0.11673223505760552
ACH-000725,-0.20534870983401693
ACH-000732,-0.10282063964165952
ACH-000734,-0.16377914373707625
ACH-000735,-0.20918365747744005
ACH-000736,-0.1596545504113591
ACH-000738,-0.1686978136335784
ACH-000746,-0.11939003168165535
ACH-000747,-0.221765491894345
ACH-000748,-0.245714450585274
ACH-000753,-0.11346413188288915
ACH-000756,-0.22066662023579453
ACH-000757,-0.13341246384721134
ACH-000758,-0.11931310749337735
ACH-000760,-0.20093447419142801
ACH-000762,-0.04111677348915012
ACH-000763,-0.13824598237434335
ACH-000764,0.009832541101778605
ACH-000765,-0.20817980172847608
ACH-000766,-0.1645501579984979
ACH-000767,0.019959403963407688
ACH-000768,-0.17013265091398996
ACH-000769,-0.1922924110176928
ACH-000770,-0.11947503135374155
ACH-000771,-0.22727766616246825
ACH-000773,-0.17825724082610825
ACH-000776,-0.13864961932728467
ACH-000777,-0.15332523115958988
ACH-000778,-0.18978523726663105
ACH-000781,-0.1596806369477876
ACH-000782,-0.08782553277027594
ACH-000783,-0.1265722236480818
ACH-000784,-0.15263494389868254
ACH-000785,-0.06503062574314596
ACH-000787,-0.09120630862361656
ACH-000788,-0.10150340783065497
ACH-000791,-0.2507163117815471
ACH-000792,-0.1926420535761904
ACH-000794,-0.44903594977309785
ACH-000796,-0.09188758939846316
ACH-000798,-0.13160180388456635
ACH-000799,-0.23093283070261625
ACH-000800,-0.04189601730186772
ACH-000802,-0.08008027136311037
ACH-000804,-0.18559963678391933
ACH-000805,-0.1331636442271686
ACH-000809,-0.17321508368304345
ACH-000810,-0.3432673426183729
ACH-000811,-0.14604521317156605
ACH-000817,-0.2620185036345017
ACH-000819,-0.28995921351849663
ACH-000820,-0.15474801632021334
ACH-000821,-0.13572047293949185
ACH-000822,-0.2053648853355972
ACH-000823,-0.21971910527594413
ACH-000824,-0.1003610829150134
ACH-000827,-0.1340824696258247
ACH-000829,-0.2148758170918021
ACH-000831,-0.16549596727324134
ACH-000832,-0.09594686671868463
ACH-000833,-0.20475179033224628
ACH-000834,0.009951840493068593
ACH-000835,0.09344353367984806
ACH-000836,-0.20225480581513464
ACH-000837,-0.1379915207692472
ACH-000838,-0.1906256078644912
ACH-000839,-0.16234317239088633
ACH-000840,-0.1874474028484469
ACH-000841,-0.08051565486899231
ACH-000843,-0.2077956998180204
ACH-000846,-0.20640172672802434
ACH-000847,-0.04630541165118287
ACH-000848,0.04329891434099524
ACH-000849,-0.20806737496364494
ACH-000851,0.15836264814926412
ACH-000855,-0.07517882115417471
ACH-000856,-0.07373166590293337
ACH-000858,-0.057003712372904976
ACH-000859,-0.218526175596166
ACH-000861,-0.22311155753457448
ACH-000862,-0.0973205926352834
ACH-000865,-0.08874634496497018
ACH-000866,-0.28958514037500205
ACH-000867,-0.19876782401680915
ACH-000869,-0.0299600603752932
ACH-000872,-0.17537816441885445
ACH-000873,-0.03358969473188348
ACH-000876,-0.14947320042944826
ACH-000878,-0.14495707003164598
ACH-000880,-0.13911116316187522
ACH-000881,-0.06064912830616208
ACH-000882,-0.19231135651530687
ACH-000884,0.08279554995353043
ACH-000885,-0.044128901935098566
ACH-000887,-0.21789830661046147
ACH-000889,-0.007911687865747728
ACH-000896,-0.03645541525075528
ACH-000898,-0.2076893544979037
ACH-000900,-0.2381981641771727
ACH-000901,-0.23029813977219285
ACH-000905,-0.09144987761940614
ACH-000906,-0.1247703714716024
ACH-000907,-0.09196302279994784
ACH-000910,-0.0930343390945886
ACH-000911,-0.1853497800965581
