,EGFL8 (80864)
ACH-000004,-0.25088072744995465
ACH-000005,-0.030743964826411094
ACH-000007,-0.04166314217641488
ACH-000009,-0.04337043910169045
ACH-000011,-0.003921250607233321
ACH-000012,-0.0005505356123195149
ACH-000013,-0.08219200200743726
ACH-000014,-0.07017158642004348
ACH-000015,0.06680453842534348
ACH-000017,-0.03392752692799402
ACH-000018,-0.0065232952403224895
ACH-000019,-0.03589305394061722
ACH-000021,-0.04808488293744198
ACH-000022,-0.022422824878639263
ACH-000025,-0.16900738119755532
ACH-000028,-0.23204750499332716
ACH-000030,-0.03019017204868995
ACH-000035,0.09465669166014093
ACH-000036,-0.018240185718444792
ACH-000037,-0.1369249260740851
ACH-000039,0.040524205972527365
ACH-000040,0.07927595553704465
ACH-000041,-0.12347899514107995
ACH-000042,0.061461550454947736
ACH-000045,-0.2308387130392409
ACH-000047,-0.0021574563065539566
ACH-000052,-0.22887671266264065
ACH-000053,-0.042569333870383134
ACH-000054,0.008984995069609486
ACH-000055,-0.14149543451573846
ACH-000060,-0.2403388267495377
ACH-000067,-0.2031525394225451
ACH-000070,0.026914448773721112
ACH-000075,0.21072391142145586
ACH-000078,-0.0006789406512634914
ACH-000082,-0.09600443727436356
ACH-000085,0.05470665306465901
ACH-000086,0.06247434512869249
ACH-000087,-0.18800809641327315
ACH-000092,-0.04059036882657515
ACH-000095,-0.04323677338097853
ACH-000097,-0.06253281967729461
ACH-000098,-0.105813410409998
ACH-000099,-0.015231642231552253
ACH-000108,-0.12174620457039295
ACH-000113,-0.0587990543471073
ACH-000116,-0.04539163769024799
ACH-000118,0.05028546594820915
ACH-000120,-0.18877748570703168
ACH-000123,-0.035254345710308124
ACH-000127,-0.09725984071622892
ACH-000128,-0.3011422599036325
ACH-000132,-0.18217854952748247
ACH-000133,-0.17231680971958369
ACH-000137,-0.0020230865274884053
ACH-000138,-0.11369475143813434
ACH-000142,-0.017244365827253794
ACH-000143,-0.04320575445819637
ACH-000146,-0.06159125719170998
ACH-000148,0.001832545442557428
ACH-000150,-0.10423071359987232
ACH-000152,0.08382062886739082
ACH-000153,-0.08147948991968867
ACH-000159,-0.10557372604724408
ACH-000160,-0.056746073194432874
ACH-000163,0.08474003503373029
ACH-000167,-0.21671519633126152
ACH-000168,-0.20378643073817945
ACH-000169,-0.06536132856575902
ACH-000178,-0.017001914465346938
ACH-000183,-0.23524420892500986
ACH-000188,-0.10558496035566084
ACH-000189,0.01027639824592348
ACH-000190,-0.3297675268416624
ACH-000198,-0.1754517597267363
ACH-000203,-0.323859000301107
ACH-000204,-0.23058607903902134
ACH-000206,-0.29355594076410474
ACH-000207,-0.3375665999425455
ACH-000208,-0.23797099183381665
ACH-000210,0.02565567420105819
ACH-000211,-0.02560049931605684
ACH-000215,-0.11201401601013036
ACH-000221,-0.008069917100437411
ACH-000222,0.12514647250965633
ACH-000223,-0.15490741306767122
ACH-000226,-0.13844463189485587
ACH-000227,0.027667825059318626
ACH-000228,-0.19055258081720655
ACH-000231,-0.03816004854710106
ACH-000232,-0.1173602039875722
ACH-000233,-0.1975878747568606
ACH-000234,-0.05350102916945655
ACH-000235,-0.06588764558864282
ACH-000237,-0.13200734289510185
ACH-000238,-0.2329308909061657
ACH-000242,-0.025715336215128448
ACH-000243,-0.07417307818540395
ACH-000244,-0.040967003927970064
ACH-000246,0.05558743979361612
ACH-000248,-0.11510061697040523
ACH-000250,-0.14009650833050602
ACH-000251,0.16718785943423334
ACH-000252,-0.06941318058715218
ACH-000253,-0.16436853553391584
ACH-000255,-0.09164686567129332
ACH-000256,0.06895862643993547
ACH-000257,0.18887386978178125
