,POM121L2 (94026)
ACH-000004,-0.004233504170891035
ACH-000005,-0.007164597504263989
ACH-000007,-0.04705955771636132
ACH-000009,-0.1642735712073916
ACH-000011,-0.11197709196757744
ACH-000012,0.023486021030585516
ACH-000013,-0.006698849397820764
ACH-000014,-0.12928192247933654
ACH-000015,0.02432296775046808
ACH-000017,-0.13716969785402786
ACH-000018,-0.2934764428537475
ACH-000019,-0.1942455063259312
ACH-000021,0.052331109058627916
ACH-000022,0.06350957668694121
ACH-000025,0.10127171611501308
ACH-000028,0.013778077089940522
ACH-000030,-0.05282813119926228
ACH-000035,-0.07153668806113914
ACH-000036,-0.06195363983596811
ACH-000037,0.11571158412105552
ACH-000039,-0.10065147819220373
ACH-000040,-0.04473077188890268
ACH-000041,-0.04582108639282799
ACH-000042,0.07352019897158378
ACH-000045,0.022925079753184502
ACH-000047,0.03314071050348548
ACH-000052,-0.2242564316655105
ACH-000053,-0.0149732935661879
ACH-000054,-0.07116446478438147
ACH-000055,-0.01001861495357075
ACH-000060,-0.05455485007940248
ACH-000067,-0.0979924302111052
ACH-000070,-0.031702919183930235
ACH-000075,0.010475201711711214
ACH-000078,0.014361493176884609
ACH-000082,-0.01942533443079845
ACH-000085,0.009636675772979074
ACH-000086,-0.03682312243150897
ACH-000087,0.26422534411123416
ACH-000092,0.09676460279875113
ACH-000095,0.03299262062171004
ACH-000097,-0.1071672952220136
ACH-000098,-0.1056500234065572
ACH-000099,0.057458784155843164
ACH-000108,-0.07257803400491787
ACH-000113,0.1243453813803778
ACH-000116,-0.07800290486566779
ACH-000118,0.012012033126463205
ACH-000120,-0.12499496788633925
ACH-000123,-0.12571417347911282
ACH-000127,-0.07949449949148031
ACH-000128,-0.0867020411765614
ACH-000132,-0.015946329530388582
ACH-000133,-0.012298521493761184
ACH-000137,-0.04849365309835378
ACH-000138,-0.059263181360539034
ACH-000142,-0.08073533830316927
ACH-000143,-0.07291300137977261
ACH-000146,-0.017672400313347776
ACH-000148,0.08030091830247217
ACH-000150,-0.013634965079595036
ACH-000152,0.07215280737603733
ACH-000153,0.014071063688508922
ACH-000159,0.005731212530995951
ACH-000160,0.12667638465440206
ACH-000163,-0.04548744855719141
ACH-000167,0.01909630636258749
ACH-000168,-0.15568584642595368
ACH-000169,-0.04222466272685008
ACH-000178,-0.04679350906035516
ACH-000183,0.007515444514212898
ACH-000188,0.09133305389281617
ACH-000189,0.016255520034720996
ACH-000190,0.09797465612113601
ACH-000198,-0.002063630354186495
ACH-000203,-0.4037617379686883
ACH-000204,0.13304230133405476
ACH-000206,-0.2482443431655969
ACH-000207,-0.014868705834630638
ACH-000208,0.07971604864656143
ACH-000210,-0.09694641959737467
ACH-000211,-0.014328344369803157
ACH-000215,-0.07397558240998975
ACH-000221,-0.0679343818518164
ACH-000222,-0.15199454270819193
ACH-000223,-0.07566728854700114
ACH-000226,0.02022560197730384
ACH-000227,-0.003832276284037924
ACH-000228,-0.09149269611074876
ACH-000231,-0.03702406386947177
ACH-000232,0.0591720803237037
ACH-000233,-0.21917306351189694
ACH-000234,-0.10586966073352748
ACH-000235,-0.009108316495149356
ACH-000237,-0.031214172310498774
ACH-000238,0.017892743418132722
ACH-000242,-0.20257951082113573
ACH-000243,-0.009525368522271286
ACH-000244,0.2725888167235379
ACH-000246,0.1228250469278973
ACH-000248,-0.1077240047298537
ACH-000250,-0.02564745777579628
ACH-000251,-0.002979010727443177
ACH-000252,-0.0650610977082517
ACH-000253,-0.04794191620776981
ACH-000255,-0.06470121596591433
ACH-000256,-0.055399966988833066
ACH-000257,-0.1770332974202343
ACH-000258,-0.02041728309383279
ACH-000259,-0.06558828141010285
ACH-000260,-0.0002110547838498997
ACH-000261,0.056901156382252786
ACH-000262,-0.28114016729800145
ACH-000263,0.0931712328044966
ACH-000264,0.024055880899611925
ACH-000265,-0.08543790538382505
ACH-000266,-0.023597691880576588
ACH-000272,-0.030641475065033306
ACH-000274,0.019803014628691808
ACH-000277,0.04332962473864385
ACH-000278,-0.013124867276428078
ACH-000279,-0.09348630831019994
ACH-000280,0.0319049612783424
ACH-000281,-0.17361835894107475
ACH-000288,0.05743677830317553
ACH-000291,0.10976907187208533
ACH-000293,0.041879134957947366
ACH-000294,-0.07101416546629112
ACH-000295,-0.057407189102431935
ACH-000296,0.12639775348106969
ACH-000302,0.05435659292834365
ACH-000304,-0.09467138928745784
ACH-000307,-0.020733235084485012
ACH-000308,-0.04950930793234567
ACH-000310,0.08335481695622729
ACH-000311,-0.11528983802792304
ACH-000312,0.002413457677076821
ACH-000315,0.02227020940624552
ACH-000316,0.0806698932619453
ACH-000317,0.05037113673478552
ACH-000318,0.096002180792381
ACH-000319,0.0343342437239655
ACH-000320,-0.17919577180176882
ACH-000322,0.11382904595367707
ACH-000323,0.15018482637471486
ACH-000324,0.030911547928356712
ACH-000329,-0.032301493240693264
ACH-000330,-0.06821437139801415
ACH-000331,-0.14142401239037564
ACH-000332,-0.07644342302894748
ACH-000334,0.08699155702466675
ACH-000335,-0.3254638402042976
ACH-000336,-0.10783987593051632
ACH-000337,-0.1162624393509955
ACH-000338,0.3150809326408895
ACH-000339,-0.06075709631420124
ACH-000341,-0.09560037575828403
ACH-000348,0.06005572835468321
ACH-000350,0.027320695434908844
ACH-000352,-0.01046578005508319
ACH-000356,-0.08706109561547071
ACH-000361,-0.18267092062820808
ACH-000362,-0.04283115308477136
ACH-000363,-0.0396035722356606
ACH-000364,0.04026906762838522
ACH-000365,0.0983317784074114
ACH-000366,0.03144710915628115
ACH-000368,0.061840139925194174
ACH-000374,-0.14329562055317893
ACH-000375,-0.03407493334834025
ACH-000376,-0.054621894766763726
ACH-000381,-0.04039940868943278
ACH-000383,0.023449926548909525
ACH-000387,-0.03503241975307396
ACH-000389,-0.20555192135278488
ACH-000390,0.06675603491829234
ACH-000393,-0.046776300277321464
ACH-000395,-0.031536483617153464
ACH-000396,-0.06579139390123465
ACH-000397,0.04190710804904448
ACH-000401,-0.004544461639956618
ACH-000402,0.4818257798778952
ACH-000403,-0.0032943097957695323
ACH-000404,0.0298655380827076
ACH-000406,0.03715933837561691
ACH-000407,0.008371082972040526
ACH-000408,0.017126919957956666
ACH-000410,0.0794427879044668
ACH-000411,0.018566609433543046
ACH-000414,-0.041108747876432435
ACH-000415,0.04085895139401593
ACH-000416,0.059279895076223235
ACH-000420,-0.0314191609574637
ACH-000421,-0.14014961600236264
ACH-000424,-0.23443962107469615
ACH-000425,-0.08591290851422438
ACH-000426,0.1358977684001449
ACH-000427,-0.02964833900064167
ACH-000433,-0.0408281987735668
ACH-000435,-0.04419306517277962
ACH-000436,0.2095706853698056
ACH-000444,-0.07525579612687891
ACH-000445,0.11948748307302146
ACH-000448,0.007160793719165857
ACH-000450,-0.39482152399501547
ACH-000452,0.012502491653718051
ACH-000454,-0.05185639338317083
ACH-000458,0.05058151658409786
ACH-000459,0.11449904358661946
ACH-000460,-0.1412105648885587
