,LSM10 (84967)
ACH-000004,-0.3455389307370023
ACH-000005,-0.25293804367222383
ACH-000007,-0.3710031277313372
ACH-000009,-0.4444465915461151
ACH-000011,-0.32971725051593004
ACH-000012,-0.4580529931123024
ACH-000013,-0.4652350340128818
ACH-000014,-0.3461917505892059
ACH-000015,-0.3901913521046187
ACH-000017,-0.4383264283857747
ACH-000018,-0.4868386762241023
ACH-000019,-0.28242804153451273
ACH-000021,-0.12524425378143936
ACH-000022,-0.562025490763606
ACH-000025,-0.4917378223949832
ACH-000028,-0.2111236105920629
ACH-000030,-0.36261438449120426
ACH-000035,-0.5490251113148242
ACH-000036,-0.34738691219294643
ACH-000037,-0.3590381778434946
ACH-000039,-0.4416236921985397
ACH-000040,-0.3280158309375432
ACH-000041,-0.3205363451824081
ACH-000042,-0.5945541348797369
ACH-000045,-0.3784896886191923
ACH-000047,-0.2333691251801692
ACH-000052,-0.5726537806651754
ACH-000053,-0.44812595231836255
ACH-000054,-0.40200916548378257
ACH-000055,-0.6755721760412835
ACH-000060,-0.4987860006234658
ACH-000067,-0.4702294641030311
ACH-000070,-0.3666496350569842
ACH-000075,-0.369903766871398
ACH-000078,-0.2909147145738765
ACH-000082,-0.2417669367285217
ACH-000085,-0.21688288803310632
ACH-000086,-0.6672723974116828
ACH-000087,-0.5543962997717792
ACH-000092,-0.5791300081618963
ACH-000095,-0.4681177073557876
ACH-000097,-0.4434202744779515
ACH-000098,-0.6771123574671676
ACH-000099,-0.5024211825137671
ACH-000108,-0.3800551200602668
ACH-000113,-0.30001202675649724
ACH-000116,-0.17563054119058816
ACH-000118,-0.2868684686666667
ACH-000120,-0.7109738546588567
ACH-000123,-0.2551159918617673
ACH-000127,-0.4395301449009583
ACH-000128,-0.3866064651857288
ACH-000132,-0.3324533970992916
ACH-000133,-0.3743160600860702
ACH-000137,-0.38014213712752265
ACH-000138,-0.4638135330546668
ACH-000142,-0.3251445501624214
ACH-000143,-0.3514178485671037
ACH-000146,-0.329425166591999
ACH-000148,-0.3076780585395511
ACH-000150,-0.5492730014523809
ACH-000152,-0.6852073478471727
ACH-000153,-0.3974439410352195
ACH-000159,-0.403057965946168
ACH-000160,-0.05384287634047323
ACH-000163,-0.27898154904714023
ACH-000167,0.3623498111955102
ACH-000168,-0.4465894707424869
ACH-000169,-0.32064403885585
ACH-000178,-0.3226049832256287
ACH-000183,-0.35302724645401723
ACH-000188,-0.52190702006097
ACH-000189,-0.6215960272644809
ACH-000190,-0.0720244462755345
ACH-000198,-0.2949870185301252
ACH-000203,-0.6838461472750106
ACH-000204,-0.25656338423641323
ACH-000206,-0.6031365912495019
ACH-000207,-0.4669628975994165
ACH-000208,-0.19787952184860447
ACH-000210,-0.4877066259800592
ACH-000211,-0.4130517967383695
ACH-000215,-0.42780292244407897
ACH-000221,-0.4992426006946708
ACH-000222,-0.5109214287163114
ACH-000223,-0.3563710933077303
ACH-000226,-0.3885639151221861
ACH-000227,-0.20100138390868547
ACH-000228,-0.3408635754026724
ACH-000231,-0.4927391868220386
ACH-000232,-0.6007961261931132
ACH-000233,-0.2493546193463299
ACH-000234,-0.4765151638370471
ACH-000235,-0.4472512576756204
ACH-000237,-0.3897088381064661
ACH-000238,-0.5286349745803186
ACH-000242,-0.20501028591234832
ACH-000243,-0.3895613217246892
ACH-000244,-0.23174821729880085
ACH-000246,-0.416149008601852
ACH-000248,-0.3223967256789181
ACH-000250,-0.6255639442503634
ACH-000251,-0.6292408613490222
ACH-000252,-0.2774026726637765
ACH-000253,-0.20162630205953447
ACH-000255,-0.4918002319630015
ACH-000256,-0.25930406621011115
ACH-000257,-0.6789666199536589
ACH-000258,-0.6715181523285989
ACH-000259,-0.3337895583808529
