,CDC20B (166979)
ACH-000004,-0.05567233175418661
ACH-000005,0.33634080505044806
ACH-000007,-0.18184240314938946
ACH-000009,-0.10054851270512644
ACH-000011,-0.15221598338443107
ACH-000012,-0.17776458363770298
ACH-000013,-0.15617651143365194
ACH-000014,-0.08153766183390597
ACH-000015,-0.2866080009333236
ACH-000017,-0.2306878587936396
ACH-000018,-0.04988834636877867
ACH-000019,-0.2383100735491301
ACH-000021,-0.2007815489703876
ACH-000022,-0.19360393051466368
ACH-000025,-0.05482739469365161
ACH-000028,-0.21154994623965748
ACH-000030,-0.14884083003106596
ACH-000035,0.0979181865594392
ACH-000036,-0.18138199939638253
ACH-000037,-0.2599291673898253
ACH-000039,-0.28782835321589395
ACH-000040,-0.15799558391651794
ACH-000041,-0.2704749045409622
ACH-000042,-0.13896538943368172
ACH-000045,-0.2087679300232748
ACH-000047,-0.1006476948362363
ACH-000052,0.01119175940920538
ACH-000053,-0.2319801437559722
ACH-000054,-0.1682865998957992
ACH-000055,-0.22053728587610208
ACH-000060,0.016623553187281728
ACH-000067,-0.06571141168872625
ACH-000070,-0.1762490549589489
ACH-000075,-0.2315122216964488
ACH-000078,-0.15003744856724965
ACH-000082,-0.2619204945955048
ACH-000085,-0.2610577491700476
ACH-000086,-0.2847316567626455
ACH-000087,-0.20747092857102398
ACH-000092,-0.2746211939792717
ACH-000095,-0.2339345708898385
ACH-000097,-0.18324390941941174
ACH-000098,-0.4717218487974684
ACH-000099,-0.2343636169751455
ACH-000108,-0.1329219014878747
ACH-000113,-0.2553657032168286
ACH-000116,-0.1913890443117508
ACH-000118,0.029202567990983683
ACH-000120,-0.08845669271367225
ACH-000123,-0.23497044065318395
ACH-000127,-0.2533566791134495
ACH-000128,-0.3014890260241793
ACH-000132,-0.09333215428379206
ACH-000133,-0.06449530729986573
ACH-000137,-0.11466240925706893
ACH-000138,-0.10436212141977333
ACH-000142,-0.11134305691921546
ACH-000143,-0.22310256756267816
ACH-000146,-0.1714258509914112
ACH-000148,-0.1638382481470452
ACH-000150,-0.03074044368793928
ACH-000152,-0.2865762178480178
ACH-000153,-0.044255922898438715
ACH-000159,-0.14641292749140966
ACH-000160,-0.08250746315345278
ACH-000163,-0.14443773789615366
ACH-000167,-0.5373000059543177
ACH-000168,-0.034682480750335684
ACH-000169,-0.20182978409003605
ACH-000178,-0.029516056336954782
ACH-000183,-0.16406635048396254
ACH-000188,-0.4170653226920668
ACH-000189,-0.13757173443914164
ACH-000190,-0.13962720366160694
ACH-000198,0.027526857634548596
ACH-000203,-0.02974216452833343
ACH-000204,-0.37641416400371214
ACH-000206,-0.21479186079169468
ACH-000207,-0.2581787639871937
ACH-000208,0.14171668115692668
ACH-000210,-0.17455016064828224
ACH-000211,-0.07056729271628115
ACH-000215,-0.08225101621604998
ACH-000221,0.028991460926573683
ACH-000222,-0.08597121543140264
ACH-000223,-0.13375113981369252
ACH-000226,-0.2030861035038468
ACH-000227,-0.14952718454721228
ACH-000228,-0.13401142385377773
ACH-000231,-0.28098695882800606
ACH-000232,-0.19288969219450172
ACH-000233,-0.15363462121539775
ACH-000234,-0.17310078380284544
ACH-000235,-0.10208262577253373
ACH-000237,-0.1344655973032913
ACH-000238,-0.10651733371725194
ACH-000242,-0.13986593712552792
ACH-000243,-0.027635700042181282
ACH-000244,-0.2750442927823233
ACH-000246,-0.06126896738728261
ACH-000248,-0.14676256794609258
ACH-000250,-0.1456604930246655
ACH-000251,-0.1891521392057436
ACH-000252,-0.032701473751868285
ACH-000253,-0.2362761781731335
ACH-000255,-0.09186371198060828
ACH-000256,-0.20011369346626898
ACH-000257,-0.35637761478219576
ACH-000258,-0.12318090489961825
ACH-000259,-0.11520617825979115
ACH-000260,-0.1564286486443319
ACH-000261,-0.18490420055358675
ACH-000262,-0.1866792415497085
ACH-000263,-0.4018558271455712
ACH-000264,-0.1551067932910236
ACH-000265,-0.02190075785766821
ACH-000266,-0.06718137420406395
ACH-000272,-0.18074837511837089
ACH-000274,-0.16599474866405126
ACH-000277,-0.1233287936762152
ACH-000278,-0.10776315845130366
ACH-000279,-0.2642715632076593
ACH-000280,-0.17127118093703073
ACH-000281,0.15803827268020906
ACH-000288,-0.17699738619658673
ACH-000291,-0.14902886345091618
ACH-000293,-0.2122001120287319
ACH-000294,-0.17386301643201246
ACH-000295,-0.13861522182930314
ACH-000296,-0.12053873996746685
ACH-000302,-0.16388770022266705
ACH-000304,-0.18396692846894214
ACH-000307,-0.05044997131281858
ACH-000308,-0.1435415096955965
ACH-000310,-0.24040255132586885
ACH-000311,-0.13036594103912474
ACH-000312,0.02870596123718801
ACH-000315,-0.07438706113350264
ACH-000316,-0.01271858932900097
ACH-000317,-0.09046445685846903
ACH-000318,-0.3083860340758677
ACH-000319,-0.14878810210237728
ACH-000320,0.09251874701720686
ACH-000322,-0.22485768074226853
ACH-000323,-0.2900187955407036
ACH-000324,-0.14373381441476066
ACH-000329,-0.08642150018070817
ACH-000330,-0.33261106488140657
ACH-000331,-0.3234454051379373
ACH-000332,-0.09693119749586514
ACH-000334,-0.4362698755751311
ACH-000335,-0.1493028347582846
ACH-000336,-0.0018974329767908215
ACH-000337,-0.06877565172374353
ACH-000338,-0.19986047345579466
ACH-000339,-0.1636495576834936
ACH-000341,-0.008173929351018537
ACH-000348,-0.20165009332162728
ACH-000350,-0.1697520493858566
ACH-000352,-0.013884843148527564
ACH-000356,-0.1334079200116141
ACH-000361,-0.039694544846994084
ACH-000362,-0.12391034055314325
ACH-000363,-0.11709920731134882
ACH-000364,-0.1683845578825416
ACH-000365,-0.1971157168296112
ACH-000366,-0.012778036056072715
ACH-000368,-0.3210179555723216
ACH-000374,-0.250402958572208
ACH-000375,-0.249833719290156
ACH-000376,-0.1061237503198642
ACH-000381,-0.12981555923203988
ACH-000383,-0.12838248022814872
ACH-000387,-0.24777906988700596
ACH-000389,-0.05149096089761225
ACH-000390,-0.2561519203870811
ACH-000393,-0.22735474171950346
ACH-000395,-0.19889032178910868
ACH-000396,-0.2991137679484304
ACH-000397,-0.18781931554616696
ACH-000401,-0.1439209465829643
ACH-000402,0.3733831981649091
ACH-000403,-0.08114845735534927
ACH-000404,-0.2957467816507385
ACH-000406,-0.17133441100015515
ACH-000407,-0.02444359260009398
ACH-000408,-0.10074621767444356
ACH-000410,-0.21705287723724945
ACH-000411,-0.13767043997966116
ACH-000414,-0.20920857075464544
ACH-000415,-0.163889604886117
ACH-000416,-0.26771990032239523
ACH-000420,-0.13340383238768436
ACH-000421,-0.19150557676764893
ACH-000424,-0.4126149395379661
ACH-000425,-0.1544530112455196
ACH-000426,-0.10560696794123914
ACH-000427,-0.22089131235201906
ACH-000433,-0.09692537635082052
ACH-000435,-0.14316146714899075
ACH-000436,-0.10930362114780112
ACH-000444,-0.06436073612091098
ACH-000445,-0.13218503609772614
ACH-000448,-0.19230803539412655
ACH-000450,-0.4629403679703419
ACH-000452,-0.06886792513352429
ACH-000454,-0.3231792691048645
ACH-000458,-0.10335966085795058
ACH-000459,-0.056139960927646435
