,NCL (4691)
ACH-000004,-0.5803417228131275
ACH-000005,-0.6155376901673465
ACH-000007,-0.7819337457834944
ACH-000009,-0.5868451014548214
ACH-000011,-0.96052669921255
ACH-000012,-0.7660542297084066
ACH-000013,-0.393625148079661
ACH-000014,-0.4708946567080986
ACH-000015,-0.4168340308057991
ACH-000017,-0.4331676096643926
ACH-000018,-0.6854413280704691
ACH-000019,-0.8222639284056871
ACH-000021,-0.5924571173627067
ACH-000022,-0.25020187066709554
ACH-000025,-0.7532529089283794
ACH-000028,-0.8091296664833209
ACH-000030,-0.5904623095568527
ACH-000035,-0.4113498498125243
ACH-000036,-0.6476334697008097
ACH-000037,-0.5004547193200811
ACH-000039,-0.6554759567742887
ACH-000040,-0.5551198565891822
ACH-000041,-0.299862216328141
ACH-000042,-0.5073516067964513
ACH-000045,-0.496073941005325
ACH-000047,-0.7258089560063622
ACH-000052,-0.6314856052554052
ACH-000053,-0.4838880815602292
ACH-000054,-0.8423281450257387
ACH-000055,-0.5967945863447001
ACH-000060,-0.689923740193583
ACH-000067,-0.7002097317022307
ACH-000070,-0.6431501147564013
ACH-000075,-0.582954607576736
ACH-000078,-0.36576100227797737
ACH-000082,-0.6866131394878792
ACH-000085,-0.891622031099363
ACH-000086,-0.6903127085927597
ACH-000087,-0.5356178774039856
ACH-000092,-0.7838557554941753
ACH-000095,-0.4320101831777508
ACH-000097,-0.7894972956896806
ACH-000098,-0.7041764002427409
ACH-000099,-0.5020551483282842
ACH-000108,-0.7572378422341958
ACH-000113,-0.49817139667780697
ACH-000116,-0.4906312756104689
ACH-000118,-0.6074220184142891
ACH-000120,-0.5340276101512894
ACH-000123,-0.5448885916733971
ACH-000127,-0.5439602420507632
ACH-000128,-0.6983945466057783
ACH-000132,-0.3497507705947427
ACH-000133,-0.8688361746214882
ACH-000137,-0.4922377532832954
ACH-000138,-0.5347492022691076
ACH-000142,-0.7601545236650409
ACH-000143,-0.5474576899227023
ACH-000146,-0.6300092851648154
ACH-000148,-0.5712808861320781
ACH-000150,-0.5301840577288317
ACH-000152,-0.6782212009006412
ACH-000153,-0.7252369123599898
ACH-000159,-0.7492442292183382
ACH-000160,-0.5824364416388915
ACH-000163,-0.5721057956016846
ACH-000167,-0.8067779432158717
ACH-000168,-0.3457092652564802
ACH-000169,-0.33994730113227595
ACH-000178,-0.5757718179211475
ACH-000183,-0.39349980215152863
ACH-000188,-0.6972196012449691
ACH-000189,-0.8615939176749492
ACH-000190,-0.8700224075227395
ACH-000198,-0.4885200100957505
ACH-000203,-0.5548398452174358
ACH-000204,-0.6296107196232263
ACH-000206,-0.5216621773157437
ACH-000207,-0.5605840298342449
ACH-000208,-0.8797164925667312
ACH-000210,-0.8618422031705739
ACH-000211,-0.603248614086697
ACH-000215,-0.610112177329297
ACH-000221,-0.35056722484858344
ACH-000222,-0.5139313026940093
ACH-000223,-0.7454231092619306
ACH-000226,-0.6777646511679921
ACH-000227,-0.4461354909057657
ACH-000228,-0.7300607368069202
ACH-000231,-0.7313991865094092
ACH-000232,-0.6672635485697719
ACH-000233,-0.4758545435119293
ACH-000234,-0.635341869295192
ACH-000235,-0.5527799133753065
ACH-000237,-0.7904114183230371
ACH-000238,-0.4015012782697756
ACH-000242,-0.5853367185362353
ACH-000243,-0.6279938969284643
ACH-000244,-0.6085448731533514
ACH-000246,-0.7976298247338376
ACH-000248,-0.5461404516215121
ACH-000250,-0.8341682978861065
ACH-000251,-0.5310022023577765
ACH-000252,-0.5595270713359478
ACH-000253,-0.6234841764162998
ACH-000255,-0.7898338620375034
ACH-000256,-0.5473052690325876
ACH-000257,-0.5069281999111778
ACH-000258,-0.5669707314009266
ACH-000259,-0.5830765843101089
ACH-000260,-0.7771275227950752
ACH-000261,-0.467599838606965
ACH-000262,-0.615013495513526
ACH-000263,-0.6086543067711789
ACH-000264,-0.4299571312246882
ACH-000265,-0.6942620432826792
ACH-000266,-0.6984463194660866
ACH-000272,-0.4905301139037958
ACH-000274,-0.7617743845128768
ACH-000277,-0.6688129310086655
ACH-000278,-0.6456431881471839
ACH-000279,-0.5062225796661153
ACH-000280,-0.8544129148056544
ACH-000281,-0.5382973283336018
ACH-000288,-0.7332462272964977
ACH-000291,-0.7330601148007349
ACH-000293,-0.5294346498024538
ACH-000294,-0.4052663403852207
ACH-000295,-0.5683869671139221
ACH-000296,-0.5568939369469528
ACH-000302,-0.7615440879802181
ACH-000304,-0.987691191957564
ACH-000307,-0.7402130210780549
ACH-000308,-0.6259999510885811
ACH-000310,-0.5240979126229319
ACH-000311,-0.7118828842244364
ACH-000312,-0.56919869422153
ACH-000315,-0.41004084750952463
ACH-000316,-0.7680421352199462
ACH-000317,-0.9153492755070602
ACH-000318,-0.7099231130662602
ACH-000319,-0.5805331197967232
ACH-000320,-0.38740276896841147
ACH-000322,-1.002332589788645
ACH-000323,-0.7021686016943194
ACH-000324,-0.9594377543165046
ACH-000329,-0.7855176843221668
ACH-000330,-0.6106430666647188
ACH-000331,-0.6503915639483585
ACH-000332,-0.6592565451717722
ACH-000334,-0.4432719827855699
ACH-000335,-0.7567209328600678
ACH-000336,-0.5474368666631163
ACH-000337,-0.5006193760783406
ACH-000338,-1.0570155996610815
ACH-000339,-0.625324654173705
ACH-000341,-0.4671487077682263
ACH-000348,-0.4882572592423709
ACH-000350,-0.3294331880331283
ACH-000352,-0.4677401449672504
ACH-000356,-0.4615067586422276
ACH-000361,-0.5765827903759217
ACH-000362,-0.5195926120676347
ACH-000363,-0.38704069340487374
ACH-000364,-0.8004761705052067
ACH-000365,-0.3962116666506827
ACH-000366,-0.4851670328042526
ACH-000368,-0.6994205300667768
ACH-000374,-0.4715966465756522
ACH-000375,-0.6113843652649057
ACH-000376,-0.8535075459114643
ACH-000381,-0.4936875298885838
ACH-000383,-0.5242540963498608
ACH-000387,-0.637279497680783
ACH-000389,-0.6870255563402595
ACH-000390,-0.4982262968440173
ACH-000393,-0.5802385820651124
ACH-000395,-0.4612192778159189
ACH-000396,-0.609045399273007
ACH-000397,-0.4714927303818437
ACH-000401,-0.5206796406722661
ACH-000402,-0.6679727986830125
ACH-000403,-0.7169822312253914
ACH-000404,-0.9770220612432271
ACH-000406,-0.6158289583147344
ACH-000407,-0.4100842113726016
ACH-000408,-0.6609731881205104
ACH-000410,-0.6418749498932418
ACH-000411,-0.8909286203083315
ACH-000414,-0.6986916293253731
ACH-000415,-0.6704798087155084
ACH-000416,-0.6204738749417502
