,HIST1H3B (8358)
ACH-000004,-0.02721963550184766
ACH-000005,-0.19564386920779345
ACH-000007,-0.24647575765637844
ACH-000009,-0.14284417403010094
ACH-000011,-0.02675566863618308
ACH-000012,0.0014476386004008818
ACH-000013,0.035940877234429285
ACH-000014,-0.07445285050376015
ACH-000015,-0.2844187011769237
ACH-000017,-0.2112554248474427
ACH-000018,-0.23936372127007455
ACH-000019,-0.18901463657283032
ACH-000021,-0.12833190160343802
ACH-000022,-0.11282653792401412
ACH-000025,-0.38345829693270217
ACH-000028,-0.1218666011064251
ACH-000030,-0.08533953669496404
ACH-000035,-0.16735476139949967
ACH-000036,-0.22067334536647568
ACH-000037,-0.2170638455229401
ACH-000039,-0.1518913232373851
ACH-000040,-0.19808558799919
ACH-000041,-0.10274031494299113
ACH-000042,-0.1334895597447768
ACH-000045,-0.16354434988115754
ACH-000047,-0.07740390264999596
ACH-000052,-0.2836333429265505
ACH-000053,-0.14159887613721442
ACH-000054,-0.2675005064617861
ACH-000055,-0.2433669938025653
ACH-000060,-0.33720644082951845
ACH-000067,-0.4094951628119601
ACH-000070,-0.2802744501001381
ACH-000075,-0.35850703580899795
ACH-000078,-0.20594851889181276
ACH-000082,-0.21647984712177548
ACH-000085,-0.3970037035571099
ACH-000086,-0.324808067285592
ACH-000087,-0.12519272254940508
ACH-000092,-0.14592703254984166
ACH-000095,-0.13962616744089806
ACH-000097,-0.07961110585224812
ACH-000098,-0.364989320722391
ACH-000099,-0.21086430600116507
ACH-000108,-0.2069947833388302
ACH-000113,-0.42237950927206935
ACH-000116,-0.14633294818254494
ACH-000118,-0.28481119127165805
ACH-000120,-0.1453133277166352
ACH-000123,-0.36383679277941977
ACH-000127,-0.1535518699257193
ACH-000128,-0.013725763725703218
ACH-000132,-0.14755731075443562
ACH-000133,-0.20569720103145545
ACH-000137,-0.3667827356551217
ACH-000138,-0.32531343218069003
ACH-000142,-0.1332162264108814
ACH-000143,-0.07547094333198541
ACH-000146,-0.1514657694926469
ACH-000148,-0.0929969778744289
ACH-000150,-0.005481531340662188
ACH-000152,-0.3630131847409726
ACH-000153,-0.1162193602536396
