,IQCA1 (79781)
ACH-000004,-0.2842991459531913
ACH-000005,-0.2088536285909229
ACH-000007,-0.256361379066724
ACH-000009,-0.1401275606340299
ACH-000011,-0.02708961789967377
ACH-000012,-0.06927052232602414
ACH-000013,-0.13770172500687522
ACH-000014,-0.017897240938969782
ACH-000015,0.009266439843358251
ACH-000017,-0.16452735652946654
ACH-000018,-0.018740772619060268
ACH-000019,-0.2951666780884287
ACH-000021,-0.027890265677410157
ACH-000022,-0.01972960710113245
ACH-000025,-0.07339267919535562
ACH-000028,-0.04330409327744985
ACH-000030,0.0729514369153584
ACH-000035,-0.11622166097976898
ACH-000036,-0.0057641746541463095
ACH-000037,-0.11451190904740415
ACH-000039,-0.3291674195930531
ACH-000040,-0.06007295382696801
ACH-000041,-0.0934178819602455
ACH-000042,-0.048060735047504057
ACH-000045,0.0008276717871501133
ACH-000047,-0.13224968851792268
ACH-000052,-0.015389704093352715
ACH-000053,-0.010052147167282631
ACH-000054,-0.0020437325379683985
ACH-000055,-0.25746974245929904
ACH-000060,-0.11738836796663538
ACH-000067,0.01753436277042519
ACH-000070,-0.045701599433119064
ACH-000075,-0.2700711348594534
ACH-000078,0.08550812320227076
ACH-000082,-0.13596302989925466
ACH-000085,-0.2685635888284883
ACH-000086,-0.11784906158878054
ACH-000087,-0.15614425992059575
ACH-000092,-0.1582783529304476
ACH-000095,-0.053491473232868514
ACH-000097,-0.032220979212619696
ACH-000098,-0.07418654897606754
ACH-000099,-0.0803494736872111
ACH-000108,0.01262092685051358
ACH-000113,-0.1120293487917048
ACH-000116,-0.019704694990699042
ACH-000118,-0.04562091405777058
ACH-000120,-0.013583133861355573
ACH-000123,-0.032432058237887564
ACH-000127,-0.09896036319398722
ACH-000128,-0.2208987943190571
ACH-000132,-0.02590586343244281
ACH-000133,-0.1439398928175604
ACH-000137,-0.11180726920111056
ACH-000138,-0.05649400768417485
ACH-000142,-0.13272907226470426
ACH-000143,-0.16868749436017613
ACH-000146,-0.021992541325793424
ACH-000148,-0.05620186534469922
ACH-000150,-0.07625761741806543
ACH-000152,-0.11024598565106744
ACH-000153,-0.0557176601347638
ACH-000159,-0.03691768330479707
ACH-000160,-0.13679414832859396
ACH-000163,-0.1716182344110332
ACH-000167,-0.3298871372399681
ACH-000168,-0.1264942917688921
ACH-000169,-0.1187254513684091
ACH-000178,-0.08739046781931115
ACH-000183,-0.11103404790984968
ACH-000188,-0.0049905512490932636
ACH-000189,-0.1509597531411719
ACH-000190,-0.1623161234371634
ACH-000198,-0.06930385392790099
ACH-000203,0.2795181641598869
ACH-000204,-0.04850985122140365
ACH-000206,-0.3495849673459405
ACH-000207,-0.03768732336903002
ACH-000208,-0.07466152892702227
ACH-000210,-0.17184091598742302
ACH-000211,-0.10803201623092376
ACH-000215,-0.1543592868070113
ACH-000221,-0.07770372178976886
ACH-000222,-0.03031112870312965
ACH-000223,-0.02677470871811057
ACH-000226,0.020002861772936698
ACH-000227,-0.22349188050807586
ACH-000228,-0.1886390154324495
ACH-000231,-0.19446102937309856
ACH-000232,-0.09767282938332332
ACH-000233,0.0365091750364849
ACH-000234,-0.1734643148588704
ACH-000235,-0.07055805382922396
ACH-000237,-0.1664503785659411
ACH-000238,0.06699161718969872
ACH-000242,0.1148961278032884
ACH-000243,-0.06796905294412903
ACH-000244,0.04852303046930818
ACH-000246,-0.10718606935573648
ACH-000248,-0.1519167772906198
ACH-000250,-0.08368929217367638
ACH-000251,-0.14831517169295533
ACH-000252,0.18141262687945725
ACH-000253,-0.16598263323001042
ACH-000255,-0.24761336562744946
ACH-000256,-0.0995109001054669
ACH-000257,-0.06969693151611804
ACH-000258,0.022744145111320613
ACH-000259,-0.05001537505968167
ACH-000260,0.00399122322898669
ACH-000261,-0.06278042532048335
ACH-000262,0.10447581538963133
ACH-000263,-0.12461728588746065
ACH-000264,-0.06859037924550708
ACH-000265,-0.052633426019814585
ACH-000266,-0.07105889618031785
ACH-000272,-0.17457323239145098
ACH-000274,-0.21377319127205416
ACH-000277,-0.14061886694894415
ACH-000278,-0.09093654927843084
ACH-000279,-0.15683731635169892
ACH-000280,-0.20942037222420212
ACH-000281,0.036931931745692884
ACH-000288,-0.10078127700731007
ACH-000291,-0.161893056263592
ACH-000293,-0.16497624230037491
ACH-000294,-0.14915224380998854
ACH-000295,-0.09733029777249072
ACH-000296,0.027682226287216432
ACH-000302,-0.004196440614254643
ACH-000304,0.05546846113608656
ACH-000307,-0.052247645851024885
ACH-000308,-0.12921469077815226
ACH-000310,-0.10088847188887093
ACH-000311,-0.18495893412548392
ACH-000312,-0.169316586308644
ACH-000315,-0.06968761913781052
ACH-000316,-0.04619850570383004
ACH-000317,-0.18532473023630724
ACH-000318,-0.1123647002880895
ACH-000319,-0.08292172490078373
ACH-000320,-0.16164267176915534
ACH-000322,0.10632705984478658
ACH-000323,-0.1641436666196019
ACH-000324,-0.14342625684741425
ACH-000329,-0.005160549226501461
ACH-000330,-0.13022896614816915
ACH-000331,-0.10659750305337974
ACH-000332,-0.08578924065818573
ACH-000334,0.058117216293203273
