,CSTA (1475)
ACH-000004,-0.1363104583426663
ACH-000005,-0.060883403812018635
ACH-000007,-0.14567206173607955
ACH-000009,-0.2425057130197976
ACH-000011,-0.15275503924770029
ACH-000012,-0.08488567959288873
ACH-000013,-0.18704116614479416
ACH-000014,-0.3134420757531213
ACH-000015,-0.18475265237304908
ACH-000017,-0.005674524073829429
ACH-000018,-0.02192987669149619
ACH-000019,0.012967816450851757
ACH-000021,-0.23768002300399005
ACH-000022,-0.0849533355101762
ACH-000025,-0.31580651433557483
ACH-000028,-0.1985379712604944
ACH-000030,-0.10520481485402143
ACH-000035,-0.3278361962953313
ACH-000036,-0.19744377764276905
ACH-000037,-0.09360666555429377
ACH-000039,-0.2355713626185384
ACH-000040,-0.0898594824192616
ACH-000041,-0.2546414735568965
ACH-000042,-0.10129232603373613
ACH-000045,-0.1983192434030128
ACH-000047,-0.2050833675262267
ACH-000052,-0.10810766428938087
ACH-000053,-0.14130476348573773
ACH-000054,-0.2739769666954712
ACH-000055,-0.1271658975294163
ACH-000060,-0.08148360599908637
ACH-000067,-0.1548700379362258
ACH-000070,-0.18011443180501485
ACH-000075,-0.051669328972552116
ACH-000078,-0.044510597637647815
ACH-000082,-0.1330279911193788
ACH-000085,0.10568463599496204
ACH-000086,-0.13455283334806026
ACH-000087,0.019278457892903347
ACH-000092,-0.19141132198977054
ACH-000095,-0.11065561204519224
ACH-000097,-0.14798223053204362
ACH-000098,-0.16976247326749178
ACH-000099,-0.07229629231571356
ACH-000108,-0.11749272970710645
ACH-000113,-0.17725489861265029
ACH-000116,-0.056457406397558724
ACH-000118,-0.15743137233824728
ACH-000120,-0.04030252949254751
ACH-000123,-0.13436779101593715
ACH-000127,-0.17381223864178652
ACH-000128,0.012919158502513082
ACH-000132,-0.18494183681044615
ACH-000133,-0.1583940743865999
ACH-000137,-0.1646587683202438
ACH-000138,-0.13193062403078995
ACH-000142,-0.12552237925078924
ACH-000143,-0.1756349401257294
ACH-000146,-0.14502095195445822
ACH-000148,-0.14532244465759814
ACH-000150,-0.07603595332202315
ACH-000152,-0.2301375407081945
ACH-000153,-0.11753101101857315
ACH-000159,-0.12321417852961444
ACH-000160,-0.30209855693284376
ACH-000163,-0.27287152551018296
ACH-000167,-0.1339973077579732
ACH-000168,-0.2596565316090653
ACH-000169,-0.15666874391294358
ACH-000178,-0.05401140619064091
ACH-000183,-0.0749488077226629
ACH-000188,-0.13186397575578873
ACH-000189,-0.2866883432319064
ACH-000190,-0.3215499538640761
ACH-000198,-0.2838708697443669
ACH-000203,0.010241911622687418
ACH-000204,-0.35420460746144783
ACH-000206,-0.30002842779906275
ACH-000207,-0.3605602743709657
ACH-000208,-0.2939772976752631
ACH-000210,-0.34298623797603445
ACH-000211,-0.16464113725935242
ACH-000215,-0.09315934375786973
ACH-000221,-0.11047735366420737
ACH-000222,0.05566455401463336
ACH-000223,-0.12252614808790199
ACH-000226,-0.18210152749368988
ACH-000227,-0.21768680593149076
ACH-000228,-0.17009160329634593
ACH-000231,-0.22912516201885236
ACH-000232,-0.1156237671968902
ACH-000233,-0.16470484129558596
ACH-000234,-0.13850590530895585
ACH-000235,-0.1427655916675713
ACH-000237,-0.06654712673444861
ACH-000238,-0.0035299124763318907
ACH-000242,-0.41266860564978464
ACH-000243,-0.17873508194877055
ACH-000244,-0.22018591631829176
ACH-000246,-0.19734993348100896
ACH-000248,-0.2094431406384132
ACH-000250,-0.13786172206077035
ACH-000251,-0.10411867486683524
ACH-000252,-0.17101196921625894
ACH-000253,-0.10151879362031194
ACH-000255,-0.20024314014232286
ACH-000256,-0.12705670287618473
ACH-000257,-0.1008314664543892
ACH-000258,-0.0002181598976344364
ACH-000259,-0.09719425998324767
ACH-000260,-0.13822129479266376
ACH-000261,-0.2094617107341084
ACH-000262,-0.06967219004099864
ACH-000263,-0.05322236588220902
