,HTR3B (9177)
ACH-000004,0.02249249316802091
ACH-000005,0.1644634473800858
ACH-000007,0.19937393002376455
ACH-000009,0.09394695709928688
ACH-000011,0.059672904908284675
ACH-000012,0.016348157337948296
ACH-000013,0.07541636318195029
ACH-000014,0.1837879150521585
ACH-000015,0.14716857509625195
ACH-000017,0.11664000860872395
ACH-000018,0.1327385598363975
ACH-000019,0.08960623594099207
ACH-000021,0.1249468278787337
ACH-000022,0.08772431373076635
ACH-000025,0.0960761046000482
ACH-000028,0.13525431207091188
ACH-000030,0.1470878769790097
ACH-000035,0.16743745921912673
ACH-000036,0.1035870669608265
ACH-000037,0.017599296376381898
ACH-000039,0.08198540782903208
ACH-000040,0.03521459283848686
ACH-000041,0.007803950612468578
ACH-000042,0.06384813855240441
ACH-000045,0.0586665342931715
ACH-000047,0.10417375878199868
ACH-000052,0.0620456757905701
ACH-000053,0.09834176327670616
ACH-000054,0.03616304649772063
ACH-000055,-0.02818631173848873
ACH-000060,0.05494133834239763
ACH-000067,0.1044488387754008
ACH-000070,0.06178368771138418
ACH-000075,0.011671456292024795
ACH-000078,0.1801053528844423
ACH-000082,0.13405131206533308
ACH-000085,0.13833398587691506
ACH-000086,-0.04627017474823336
ACH-000087,0.1036297178746877
ACH-000092,0.034088768588481914
ACH-000095,0.031623214615346014
ACH-000097,0.08346723882538877
ACH-000098,0.0714929918658732
ACH-000099,0.06641051869317235
ACH-000108,0.11198340484142832
ACH-000113,0.09489182392323203
ACH-000116,0.06967180423485457
ACH-000118,0.03548852553062694
ACH-000120,0.18061707405182906
ACH-000123,0.15354900789383366
ACH-000127,0.06612574298412623
ACH-000128,0.211840401520758
ACH-000132,0.046081657705793325
ACH-000133,0.10229943995593636
ACH-000137,0.08281114821352571
ACH-000138,0.06939070221230728
ACH-000142,0.06672878325125699
ACH-000143,0.0934807331950292
ACH-000146,0.10394870277083558
ACH-000148,0.12066139824351492
ACH-000150,0.1725763750194826
ACH-000152,0.09679238063519877
ACH-000153,0.18869178145669346
ACH-000159,0.1503424341221637
