,YME1L1 (10730)
ACH-000004,-0.17553713194659454
ACH-000005,-0.2685192656402223
ACH-000007,-0.4218215222431991
ACH-000009,-0.14724958942437866
ACH-000011,0.018946920627486714
ACH-000012,-0.08334646042624598
ACH-000013,0.12764476795574706
ACH-000014,-0.25671520666017944
ACH-000015,-0.2534825312329107
ACH-000017,-0.3870360455066089
ACH-000018,-0.4300881319941496
ACH-000019,-0.6729830229260071
ACH-000021,-0.4305067417737572
ACH-000022,-0.6015651791110878
ACH-000025,-0.01559831676061681
ACH-000028,-0.2710223476420205
ACH-000030,-0.35836782800747063
ACH-000035,-0.5552870147715131
ACH-000036,-0.22235731730495406
ACH-000037,-0.2143596895226722
ACH-000039,-0.4635369158539674
ACH-000040,-0.5606098995275288
ACH-000041,-0.06591574000808123
ACH-000042,-0.33169217773490783
ACH-000045,-0.6212249953780151
ACH-000047,-0.2417318202172513
ACH-000052,-0.23778475221227585
ACH-000053,-0.4005612406038708
ACH-000054,-0.18832506774256194
ACH-000055,-0.028907728616830736
ACH-000060,-0.4627580885639409
ACH-000067,0.07586733416571051
ACH-000070,-0.510139263253737
ACH-000075,-0.3200735017249138
ACH-000078,0.05522178463541546
ACH-000082,-0.12034749193241442
ACH-000085,-0.499297772067935
ACH-000086,-0.10058723136263337
ACH-000087,-0.21180606306756086
ACH-000092,-0.10068485332992463
ACH-000095,-0.15885152263251
ACH-000097,-0.09226556154803556
ACH-000098,-0.21427248548567354
ACH-000099,-0.04290718511344432
ACH-000108,-0.3790615252013449
ACH-000113,-0.4408352464902216
ACH-000116,-0.7853754056390339
ACH-000118,-0.4501677649259999
ACH-000120,-0.2678837496088725
ACH-000123,-0.25764028687868457
ACH-000127,-0.5463683160502502
ACH-000128,-0.5030282116784311
ACH-000132,-0.12329687261911615
ACH-000133,-0.1589969133894571
ACH-000137,-0.1924013761837405
ACH-000138,-0.2952207164124154
ACH-000142,-0.24112677370627303
ACH-000143,-0.1251328964600231
ACH-000146,-0.3403760759268925
ACH-000148,-0.3031158713581901
ACH-000150,-0.04341924766649735
ACH-000152,0.0315318574385443
ACH-000153,-0.3901174137515136
ACH-000159,-0.26325180399534825
ACH-000160,-0.3591113579171917
ACH-000163,-0.3654416232993856
ACH-000167,-0.4746118384772458
ACH-000168,-0.4317085036926067
ACH-000169,-0.3941218783108133
ACH-000178,-0.5301748032754107
ACH-000183,-0.10761197873254592
ACH-000188,-0.0954828774113131
ACH-000189,-0.4513477086019676
ACH-000190,-0.3160025259591066
ACH-000198,-0.4026582728479016
ACH-000203,0.0853833705837598
ACH-000204,-0.3740288326746705
ACH-000206,-0.3162482438394235
ACH-000207,-0.5485662557146821
ACH-000208,-0.16908613308465267
ACH-000210,-0.4968969452016727
ACH-000211,-0.10340553955562364
ACH-000215,-0.28611588242586433
ACH-000221,-0.4306949156288809
ACH-000222,-0.16118722567904414
ACH-000223,-0.4261946647693153
ACH-000226,-0.5672712166705056
ACH-000227,-0.1459438278960517
ACH-000228,-0.23936491072339164
ACH-000231,-0.23761369648834765
ACH-000232,-0.20410391044831366
ACH-000233,-0.6555117492539116
ACH-000234,-0.14827910321133753
ACH-000235,-0.20233997601287215
ACH-000237,0.06619335281349134
ACH-000238,-0.36031595026331104
ACH-000242,-0.09537453205759
ACH-000243,-0.2707098844942138
ACH-000244,-0.30384525841192483
ACH-000246,0.09312100250772933
ACH-000248,-0.5474267630221692
ACH-000250,-0.37387133968856057
ACH-000251,-0.6380921621486741
ACH-000252,-0.14742366275176816
ACH-000253,-0.5306796283449843
ACH-000255,-0.1966596423424916
ACH-000256,0.055300521942575634
ACH-000257,-0.7331100845226733
ACH-000258,-0.38144534396602425
ACH-000259,-0.4412307217982662
ACH-000260,-0.10435418386794908
ACH-000261,-0.12307554441817466
ACH-000262,-0.1592160983928757
ACH-000263,-0.492870621470376
ACH-000264,-0.12935858754145144
ACH-000265,-0.27854845785218185
ACH-000266,-0.1809152771542447
ACH-000272,-0.12184376973611022
ACH-000274,-0.6584287094831613
ACH-000277,-0.6428459851714482
ACH-000278,0.1103892662674848
ACH-000279,-0.23459946942408166
ACH-000280,-0.23339765786086594
ACH-000281,-0.16538843052609042
ACH-000288,-0.317870675028986
ACH-000291,0.04192542831398543
ACH-000293,-0.23249534749746684
ACH-000294,-0.7424179357943268
ACH-000295,-0.6901901559202778
ACH-000296,-0.351132572050975
ACH-000302,-0.3959919811240474
ACH-000304,-0.3682964018908881
ACH-000307,-0.16186189193769415
ACH-000308,-0.284944767448375
ACH-000310,-0.04456879418372277
ACH-000311,-0.14246944634521702
ACH-000312,-0.2438634521406965
ACH-000315,-0.09962527586696623
ACH-000316,-0.19018234674892884
ACH-000317,-0.44012635318535
ACH-000318,-0.08250083547301437
ACH-000319,-0.2842557785755789
ACH-000320,-0.14342291820741385
ACH-000322,-0.4540254123321119
ACH-000323,-0.5042221183834249
ACH-000324,-0.09358493436128623
ACH-000329,-0.15489811787144506
ACH-000330,-0.2800691856040474
ACH-000331,-0.5472533626715838
ACH-000332,-0.2984781962793536
ACH-000334,-0.14626908898922966
ACH-000335,-0.7208024220885232
ACH-000336,-0.2340310687350713
ACH-000337,-0.007957582761271259
ACH-000338,-0.4750525126334445
ACH-000339,-0.07809076224864019
ACH-000341,-0.20417576209040852
ACH-000348,-0.18050132843406846
ACH-000350,-0.1470533881538929
ACH-000352,-0.3805128960526401
ACH-000356,-0.2148144178196001
ACH-000361,-0.32358794952234443
ACH-000362,-0.40373179318062
ACH-000363,-0.2637259997953141
ACH-000364,-0.2508997076651653
ACH-000365,-0.7271515646225117
ACH-000366,0.10370348799421872
ACH-000368,-0.2997763511494605
ACH-000374,-0.17285672564983787
ACH-000375,0.2705719348523468
ACH-000376,-0.7580472211876511
ACH-000381,-0.1638948759381575
ACH-000383,-0.0030918144561007557
ACH-000387,-0.29700420464600885
ACH-000389,-0.131660043917399
ACH-000390,-0.14728512317522324
ACH-000393,-0.2710020116935311
ACH-000395,-0.611560556820447
ACH-000396,-0.09514986971646593
ACH-000397,-0.22869182412560185
ACH-000401,-0.22063840594831013
ACH-000402,-0.006419557769476101
ACH-000403,-0.2569934517219816
ACH-000404,-0.4168922357792344
ACH-000406,-0.4906097016436359
ACH-000407,-0.275297870398188
ACH-000408,-0.4200003331080703
ACH-000410,-0.3279861100574906
ACH-000411,-0.16754634309370353
ACH-000414,-0.2711176808854607
ACH-000415,-0.30815633274770005
ACH-000416,-0.11059636891927474
ACH-000420,-0.3085186028891292
ACH-000421,-0.016675342095967542
ACH-000424,-0.4164282921151789
ACH-000425,-0.26044763802945553
ACH-000426,-0.2482075550336575
ACH-000427,-0.36563186475119147
ACH-000433,-0.1470922109668394
ACH-000435,-0.4287217691453672
ACH-000436,-0.14646755358573346
ACH-000444,-0.3483001402892652
ACH-000445,-0.06697109304771406
ACH-000448,-0.3666707576844288
ACH-000450,-0.2873753961362888
ACH-000452,-0.053854062380787854
ACH-000454,-0.6151748469936971
ACH-000458,-0.08917551992913188
ACH-000459,-0.30739996584472234
ACH-000460,-0.3982046495778741
ACH-000461,-0.1272818110026769
ACH-000463,-0.10164365470050102
ACH-000464,-0.4705990563907248
ACH-000466,-0.022079697004647483
ACH-000467,-0.2143633707016894
ACH-000468,-0.098600884755298
ACH-000469,-0.06386509541059962
ACH-000470,0.07774359100782241
ACH-000471,-0.20141059881197212
ACH-000472,-0.08406223035797238
ACH-000473,-0.09293553274171212
ACH-000475,-0.35519478595569826
ACH-000476,-0.5169378896755114
ACH-000477,-0.2874549880450665
ACH-000479,-0.23118068078270226
ACH-000480,-0.3035876218889198
ACH-000481,-0.4137760555242386
ACH-000483,-0.4984235284272728
ACH-000484,-0.2818882364319113
ACH-000485,-0.34211072779370144
ACH-000486,-0.6194410373509835
ACH-000487,-0.5245085770735607
ACH-000488,-0.6184495673299215
ACH-000490,-0.21934128034573366
ACH-000491,-0.19781738268549232
ACH-000495,0.14918063245481453
ACH-000496,-0.3527723700738432
ACH-000499,-0.5776252080089884
ACH-000500,-0.14463738405942714
ACH-000502,-0.4907361295435098
ACH-000503,-0.2141994443999003
ACH-000505,-0.035164311342592
ACH-000507,-0.6425598682077939
ACH-000510,-0.4200076219181089
ACH-000511,-0.3431789118392245
ACH-000512,-0.4885241293780551
ACH-000516,-0.12241248786255565
ACH-000517,-0.1572036075388151
ACH-000518,-0.5969173237464029
ACH-000520,-0.22456786142901256
ACH-000521,-0.26731805317361457
ACH-000522,-0.2411029342378299
ACH-000524,-0.03829515206731232
ACH-000527,-0.4002414780630025
ACH-000528,-0.6148913993443146
ACH-000537,-0.4436301712170617
ACH-000541,-0.4063384934224836
ACH-000542,-0.08312853673031168
ACH-000544,-0.2594927600832717
ACH-000545,-0.3758423497905685
ACH-000547,-0.21715079006618224
ACH-000548,-0.01247831789215909
ACH-000549,0.0599931148568717
ACH-000550,-0.4660513522050216
ACH-000552,-0.448055940163096
ACH-000556,-0.4400073383801504
ACH-000557,-0.4174855290232437
ACH-000569,0.02486179255986833
ACH-000570,-0.27658106553742434
ACH-000571,-0.1534778436993677
ACH-000573,-0.2349363276386583
ACH-000576,0.199462684579002
ACH-000579,-0.6457912169813819
ACH-000580,-0.4893077977332895
ACH-000584,-0.2722715625541402
ACH-000585,0.07719049031468936
ACH-000588,-0.3495240191923377
ACH-000589,-0.26624892241788345
ACH-000591,-0.18534786029841088
ACH-000593,-0.2087784747525468
ACH-000600,-0.30484278123006103
ACH-000601,-0.0064097427948603455
ACH-000605,-0.6253473574069026
ACH-000606,-0.7895494616442017
ACH-000608,-0.3156966807442837
ACH-000614,-0.4176919650667797
ACH-000616,-0.506572528562437
ACH-000618,-0.27892352222028444
ACH-000619,-0.36554182193082413
ACH-000620,-0.03326200494819561
ACH-000621,-0.4992033945321744
ACH-000622,-0.21271139681361376
ACH-000623,-0.19834172856281812
ACH-000624,-0.13887741680827276
ACH-000627,-0.22440182275724346
ACH-000630,-0.4090794750385312
ACH-000631,-0.038565321274349015
ACH-000632,-0.263277514459237
ACH-000633,-0.5084585090903115
ACH-000637,-0.23347709525323185
ACH-000638,-0.4043501612653724
ACH-000646,-0.4051227827806826
ACH-000647,-0.37980652343110904
ACH-000648,-0.2513699666698837
ACH-000649,-0.21026247793690514
ACH-000651,-0.023918265092945524
ACH-000652,-0.21073674062219291
ACH-000653,-0.6899362979077888
ACH-000657,-0.1593796087185597
ACH-000658,-0.3726858623482123
ACH-000661,-0.34833631733489906
ACH-000662,-0.2715757887276352
ACH-000663,-0.07474532572410705
ACH-000665,-0.021817044682586932
ACH-000671,-0.2875763635805667
ACH-000672,-0.4516895055887205
ACH-000673,-0.18032291430634426
ACH-000676,-0.323805381674634
ACH-000677,-0.013968642433394376
ACH-000681,-0.6011177542739723
ACH-000683,-0.6313169074432514
ACH-000684,-0.05749947376890543
ACH-000688,-0.24123450663074705
ACH-000693,-0.7197505687227401
ACH-000694,-0.38560487102359736
ACH-000695,-0.0878144827662906
ACH-000696,-0.2640205584452921
ACH-000697,-0.20683897119377448
ACH-000699,-0.25578040939438285
ACH-000701,-0.6485463474174673
ACH-000706,-0.6101419547799167
ACH-000711,-0.4062009489845305
ACH-000713,0.1071219406942801
ACH-000714,-0.13898535170211812
ACH-000718,-0.5050369018635019
