,RUVBL2 (10856)
ACH-000004,-1.1759084703748548
ACH-000005,-0.8562972151520928
ACH-000007,-1.154346732774504
ACH-000009,-1.293896532821644
ACH-000011,-1.3603249102002095
ACH-000012,-1.2725750652383792
ACH-000013,-1.5035920328551262
ACH-000014,-1.152790573057323
ACH-000015,-1.3044728531386094
ACH-000017,-1.2540607054605244
ACH-000018,-1.2453482958996875
ACH-000019,-1.3518977130316316
ACH-000021,-1.2861967668111045
ACH-000022,-1.3580431521239866
ACH-000025,-1.2859554886043567
ACH-000028,-1.2435160545541355
ACH-000030,-1.2275347359708069
ACH-000035,-1.1292656315191056
ACH-000036,-1.034395982757208
ACH-000037,-1.4253219413754108
ACH-000039,-1.3023349261935575
ACH-000040,-1.1892562491589225
ACH-000041,-1.4447613474611225
ACH-000042,-1.2747804099962785
ACH-000045,-1.1435056549137703
ACH-000047,-1.0239872912083778
ACH-000052,-1.3414043915557048
ACH-000053,-1.287592008027707
ACH-000054,-1.02087257820002
ACH-000055,-1.154420259185638
ACH-000060,-1.2882181903331065
ACH-000067,-1.34398857473547
ACH-000070,-1.1053936998260807
ACH-000075,-1.2682505901112748
ACH-000078,-1.3796355281109869
ACH-000082,-1.4216158081346388
ACH-000085,-1.1638213442978205
ACH-000086,-1.2176438910473737
ACH-000087,-1.3074860892248867
ACH-000092,-1.08044299132431
ACH-000095,-1.2427118837900832
ACH-000097,-1.2437726648017362
ACH-000098,-1.2295726930926238
ACH-000099,-1.2190729942579317
ACH-000108,-1.2953017463173369
ACH-000113,-1.065357865735751
ACH-000116,-1.1268004599008743
ACH-000118,-1.173805608999782
ACH-000120,-1.288651663305611
ACH-000123,-1.2553313034687252
ACH-000127,-1.283630374789844
ACH-000128,-1.215431830731849
ACH-000132,-1.0081421798284955
ACH-000133,-1.1977123990195333
ACH-000137,-1.1934635030838108
ACH-000138,-0.9617738947077371
ACH-000142,-1.2576695650861336
ACH-000143,-1.1939085907424731
ACH-000146,-1.3287288769582597
ACH-000148,-1.2489166218375778
ACH-000150,-1.083346291355241
ACH-000152,-1.0607343972006356
ACH-000153,-1.383676007420395
ACH-000159,-1.0737257047363782
ACH-000160,-1.1110583837847092
ACH-000163,-1.1186465125890173
ACH-000167,-1.6339439049038855
ACH-000168,-1.159938303515176
ACH-000169,-1.2351274371489611
ACH-000178,-1.1752955239636422
ACH-000183,-1.1730570283185444
ACH-000188,-1.2023711535224124
ACH-000189,-1.1050373949558192
ACH-000190,-0.8735365715398441
ACH-000198,-1.1683714391876463
ACH-000203,-0.8225212267935975
ACH-000204,-1.4071530003492283
ACH-000206,-1.226296642292364
ACH-000207,-1.4668311164922838
ACH-000208,-1.1663187500847447
ACH-000210,-1.328886739299047
ACH-000211,-1.0389935646742237
ACH-000215,-1.0989942347293014
ACH-000221,-1.2854894258404963
ACH-000222,-1.2264548890867768
ACH-000223,-1.2086583069878984
ACH-000226,-1.0982418394057754
ACH-000227,-1.0938679821215178
ACH-000228,-1.2589875460179003
ACH-000231,-1.0487250671516395
ACH-000232,-1.2506012717356114
ACH-000233,-1.2747762522431951
ACH-000234,-1.0825294979771225
ACH-000235,-1.174203819375343
ACH-000237,-1.2262198120478809
ACH-000238,-1.1683982869509584
ACH-000242,-0.8445974597916479
ACH-000243,-1.2570202295019204
ACH-000244,-1.1435985427065467
ACH-000246,-1.3238514402213652
ACH-000248,-1.372535360417262
ACH-000250,-1.1923220527844107
ACH-000251,-1.2668873482557117
ACH-000252,-1.2119609915937282
ACH-000253,-1.1942205217153965
ACH-000255,-1.2715476954938132
ACH-000256,-1.3572656881144296
ACH-000257,-1.3455613793986558
ACH-000258,-1.3549632216131526
ACH-000259,-1.1095267974076763
ACH-000260,-1.1902201911086303
ACH-000261,-1.1757011189679898
ACH-000262,-1.0147324955858994
ACH-000263,-1.1944291615965714
ACH-000264,-1.1744836753806378
ACH-000265,-1.2257964997621968
ACH-000266,-1.2141774981014006
ACH-000272,-1.138275705515961
ACH-000274,-1.1414020542477965
ACH-000277,-1.4177674137486254
ACH-000278,-1.2732086196567785
ACH-000279,-1.3892149805571985
ACH-000280,-1.2557106901980954
ACH-000281,-1.5441978292750396
ACH-000288,-1.1556551730815858
ACH-000291,-1.0710811894966514
ACH-000293,-1.2624337716717442
ACH-000294,-1.6133540346538278
ACH-000295,-1.2769515314458906
ACH-000296,-1.2273684062521186
ACH-000302,-1.475472368598591
ACH-000304,-0.8532886574648635
ACH-000307,-1.1233714900794831
ACH-000308,-1.4404003248364283
ACH-000310,-1.188318028705691
ACH-000311,-0.8814491205751361
ACH-000312,-1.220129285711105
ACH-000315,-1.0786610549130415
ACH-000316,-1.3079316253790252
ACH-000317,-1.1386115133649561
ACH-000318,-1.3642891735111258
ACH-000319,-1.1710124948791951
ACH-000320,-1.1633910705280193
ACH-000322,-1.322640391121775
ACH-000323,-1.0809151035498352
ACH-000324,-1.1958704430007332
ACH-000329,-1.1221570682262685
ACH-000330,-1.1367445421046911
ACH-000331,-1.1864267631555223
ACH-000332,-1.1756822141990666
ACH-000334,-0.916567121803785
ACH-000335,-1.1011831951118831
ACH-000336,-1.3808656177859833
ACH-000337,-1.421951294773987
ACH-000338,-0.8700042857749141
ACH-000339,-1.184202422666771
ACH-000341,-1.2291458579453451
ACH-000348,-1.2499697883368808
ACH-000350,-1.292989035362732
ACH-000352,-1.2469608317555791
ACH-000356,-1.0821823818825376
ACH-000361,-1.2786350419887798
ACH-000362,-1.0001152156406166
ACH-000363,-1.1865214853959218
ACH-000364,-1.4671130568484672
ACH-000365,-1.1195544676212634
ACH-000366,-1.4507756986051883
ACH-000368,-1.3371936466706298
ACH-000374,-1.2936022153773197
ACH-000375,-0.8757005875006937
ACH-000376,-1.166988976293721
ACH-000381,-1.2196631603935668
ACH-000383,-1.4400358001461862
ACH-000387,-1.1116522415491668
ACH-000389,-1.3418165567921936
ACH-000390,-1.4399606761160118
ACH-000393,-1.1497240646652598
ACH-000395,-0.9892636114475416
ACH-000396,-1.431729225358304
ACH-000397,-1.2360898016967876
ACH-000401,-1.3532926509513492
ACH-000402,-1.5609182479624617
ACH-000403,-1.23480757539085
ACH-000404,-1.2202040442419575
ACH-000406,-1.2645985077451365
ACH-000407,-1.356936809132354
ACH-000408,-1.4374584426130856
ACH-000410,-1.0800922866063118
ACH-000411,-1.2616779912057223
ACH-000414,-0.987991605980142
ACH-000415,-1.4553568115898412
ACH-000416,-1.1901687770905411
ACH-000420,-1.0975853040844101
ACH-000421,-1.2525775872522502
ACH-000424,-1.117043614269605
ACH-000425,-0.9031518624161547
ACH-000426,-0.901405573511352
ACH-000427,-1.3461030275975907
ACH-000433,-1.293247116222851
ACH-000435,-1.4724554838871673
ACH-000436,-1.3271346803916881
ACH-000444,-1.1903348826926905
ACH-000445,-0.9900269698383792
ACH-000448,-1.062215904274009
ACH-000450,-1.191305996740763
ACH-000452,-1.1898490457809752
ACH-000454,-1.2605587629192008
ACH-000458,-1.1659481476775992
ACH-000459,-0.8927852364167782
ACH-000460,-1.1437198439270089
ACH-000461,-1.1579243583104522
ACH-000463,-1.3643187609081973
ACH-000464,-1.226634626183332
ACH-000466,-1.2821931834682418
ACH-000467,-1.1475941651737278
ACH-000468,-1.3092354913668531
ACH-000469,-1.0437449694273393
ACH-000470,-1.411974947151363
ACH-000471,-1.2102884867200276
ACH-000472,-1.2619296449921984
ACH-000473,-1.3027497744325958
ACH-000475,-1.1653997137322076
ACH-000476,-1.0215277825759423
ACH-000477,-1.1636250757055344
ACH-000479,-1.99693519283624
ACH-000480,-1.1163346627513
ACH-000481,-1.0469639654654763
ACH-000483,-1.283194080103488
ACH-000484,-1.0700346264269585
ACH-000485,-1.2946002028207977
ACH-000486,-1.0950041807326558
ACH-000487,-1.2090284384466097
ACH-000488,-1.227375833498575
ACH-000490,-1.0558666414902622
ACH-000491,-1.373236137836085
ACH-000495,-1.0094915896206629
ACH-000496,-1.2449629340182882
ACH-000499,-1.4475515413878275
ACH-000500,-0.9678301117463184
ACH-000502,-1.2226695653096464
