,C1QBP (708)
ACH-000004,-0.4146556163681469
ACH-000005,-0.17919212819177285
ACH-000007,-0.42333561526834057
ACH-000009,-0.4984359765950106
ACH-000011,-0.3095097669871142
ACH-000012,-0.4929669606080266
ACH-000013,-0.760670410654946
ACH-000014,-0.1811893429506794
ACH-000015,-0.5922136237054979
ACH-000017,-0.5147703950522879
ACH-000018,-0.3966721598995685
ACH-000019,-0.5935983081019593
ACH-000021,-0.3811013299542746
ACH-000022,-0.4480054312887907
ACH-000025,-0.7212555777380788
ACH-000028,-0.6011802160921601
ACH-000030,-0.3060564851826623
ACH-000035,-0.7226135721786779
ACH-000036,-0.40987310169889735
ACH-000037,-0.4171508345877993
ACH-000039,-0.5005133390473591
ACH-000040,-0.4223815733470473
ACH-000041,-0.4955570378457445
ACH-000042,-0.3918246772559594
ACH-000045,-0.6587871557826143
ACH-000047,-0.5782542678386047
ACH-000052,-0.31267374737799297
ACH-000053,-0.4234885464068075
ACH-000054,-0.19786291361239025
ACH-000055,-0.2655714352522523
ACH-000060,-0.5788810676112461
ACH-000067,-0.3135183771739213
ACH-000070,-0.5689141819092295
ACH-000075,-0.319429566747828
ACH-000078,-0.3040836084316973
ACH-000082,-0.3952367231935581
ACH-000085,-0.24772376004048635
ACH-000086,-0.4748631533150275
ACH-000087,-0.3295323321534373
ACH-000092,-0.3245252204337516
ACH-000095,-0.23727517787171865
ACH-000097,-0.26178431431101823
ACH-000098,-0.4946071455449425
ACH-000099,-0.6667888706555621
ACH-000108,-0.34203849620726284
ACH-000113,-0.6111310474180058
ACH-000116,-0.6181936079948177
ACH-000118,-0.511617923345377
ACH-000120,-0.3567397286335805
ACH-000123,-0.5481974703655453
ACH-000127,-0.5169332446143318
ACH-000128,-0.6263505327838861
ACH-000132,-0.35086783261923465
ACH-000133,-0.6869353721123383
ACH-000137,-0.3421162349831037
ACH-000138,-0.374439807809198
ACH-000142,-0.3404627752712885
ACH-000143,-0.4266049087408401
ACH-000146,-0.1921377892188912
ACH-000148,-0.5731799962201982
ACH-000150,-0.6071886532269194
ACH-000152,-0.5177726341423412
ACH-000153,-0.7249652896320656
ACH-000159,-0.37881209858433823
ACH-000160,-0.21018768503048832
ACH-000163,-0.3920052456007833
ACH-000167,0.5403670544823019
