,CCNT1 (904)
ACH-000004,-0.0355036282891464
ACH-000005,0.12353981581398292
ACH-000007,-0.25344597996497903
ACH-000009,-0.2422575080042269
ACH-000011,-0.5257976707055408
ACH-000012,0.052938597538965515
ACH-000013,-0.24709898888429346
ACH-000014,-0.4524862366022928
ACH-000015,-0.14320141563544894
ACH-000017,-0.27715502536191605
ACH-000018,-0.5404872279655291
ACH-000019,-0.19866863974533971
ACH-000021,-0.16971682349421194
ACH-000022,-0.07596995536828198
ACH-000025,-0.4183654688598616
ACH-000028,-0.15901251664584998
ACH-000030,-0.15817573738967045
ACH-000035,-0.18335556969652567
ACH-000036,0.01041458665927045
ACH-000037,-0.19286592559246654
ACH-000039,-0.20185065592514154
ACH-000040,-0.07801768452098815
ACH-000041,0.05452476679943222
ACH-000042,0.04990629015041915
ACH-000045,-0.16137488615137255
ACH-000047,-0.006111036231213298
ACH-000052,-0.25677366041548105
ACH-000053,-0.6983277219005712
ACH-000054,-0.43642923630225056
ACH-000055,0.22376663247296816
ACH-000060,-0.046329885396699216
ACH-000067,0.034955885551893384
ACH-000070,-0.2799938241875539
ACH-000075,-0.12970887156634628
ACH-000078,0.10594966141877052
ACH-000082,-0.08065012753643783
ACH-000085,-0.17714486906340776
ACH-000086,-0.2105671923281925
ACH-000087,-0.14352457975922656
ACH-000092,-0.0667114468589538
ACH-000095,-0.04973249897638141
ACH-000097,-0.07331180265748066
ACH-000098,-0.15746683338085074
ACH-000099,-0.09180829785503536
ACH-000108,-0.238017812392612
ACH-000113,-0.6766316599661173
ACH-000116,0.008494665033675835
ACH-000118,-0.054269586811663134
ACH-000120,-0.09432266289896413
ACH-000123,-0.2656026280760373
ACH-000127,-0.1235997506218756
ACH-000128,-0.0018834570090778642
ACH-000132,-0.050692356972050566
ACH-000133,-0.0051372077515866536
ACH-000137,-0.2731535347661725
ACH-000138,-0.2269377224819442
ACH-000142,-0.20783017655407904
ACH-000143,-0.12167487011737545
ACH-000146,-0.11361373970867393
ACH-000148,-0.16193537457158316
ACH-000150,-0.3395291250263591
ACH-000152,-0.17258763764734633
ACH-000153,-0.4674105268277513
ACH-000159,-0.14224338041012166
ACH-000160,-0.01491474882058361
ACH-000163,-0.17905140517908652
ACH-000167,-0.15927164832147686
