,SMN2 (6607)
ACH-000004,-0.8141829199813404
ACH-000005,-1.245697451589004
ACH-000007,-0.8672344254734298
ACH-000009,-0.5454058872757231
ACH-000011,-1.0729512688064775
ACH-000012,-0.974660889263297
ACH-000013,-1.0863047907503744
ACH-000014,-1.0506662337006567
ACH-000015,-1.0291193292462673
ACH-000017,-1.1504253803955198
ACH-000018,-0.8130040858189214
ACH-000019,-0.9596744738075264
ACH-000021,-0.8083190256917284
ACH-000022,-0.9493098662863221
ACH-000025,-0.9089302010570228
ACH-000028,-1.088705888065527
ACH-000030,-1.0543161725211914
ACH-000035,-0.9408959985811568
ACH-000036,-0.8792965736559487
ACH-000037,-0.8235489304573466
ACH-000039,-1.1038311868362338
ACH-000040,-0.9666769325803616
ACH-000041,-1.2020851337390113
ACH-000042,-0.7415856326312309
ACH-000045,-0.9143880432074468
ACH-000047,-1.1248345059142515
ACH-000052,-0.8296476033296449
ACH-000053,-0.9978589377719616
ACH-000054,-0.8041882992728355
ACH-000055,-0.7035186792928874
ACH-000060,-0.9436408367278556
ACH-000067,-0.8684870030455896
ACH-000070,-0.7693375154687543
ACH-000075,-0.9999390204955848
ACH-000078,-0.8992357489582107
ACH-000082,-0.9590712866758604
ACH-000085,-1.1043604142400427
ACH-000086,-0.7723393234644139
ACH-000087,-1.3626525052918628
ACH-000092,-0.7789204091933363
ACH-000095,-0.9619327688873835
ACH-000097,-1.198197156192553
ACH-000098,-0.7120323103080435
ACH-000099,-0.9343464869135338
ACH-000108,-0.968994490264149
ACH-000113,-0.829063084335532
ACH-000116,-1.172116678167427
ACH-000118,-1.0287977005796272
ACH-000120,-0.7802175312622256
ACH-000123,-0.981292175976174
ACH-000127,-0.9889968784907291
ACH-000128,-1.1833790962855133
ACH-000132,-1.094424856472051
ACH-000133,-1.211453029840371
ACH-000137,-1.093509625608985
ACH-000138,-1.0304834343887537
ACH-000142,-0.7212810435781457
ACH-000143,-0.7903995068729461
ACH-000146,-1.1662715639928103
ACH-000148,-1.0208187132594737
ACH-000150,-0.9752907431579144
ACH-000152,-1.0856146012151326
ACH-000153,-0.5647796703848705
ACH-000159,-0.6898423004186798
ACH-000160,-1.264821875319529
ACH-000163,-1.1302721351373026
ACH-000167,-1.8196697677130256
ACH-000168,-1.0255900823816064
ACH-000169,-0.9776720172879476
