,POM121C (100101267)
ACH-000004,-0.12470479290537025
ACH-000005,-0.3152113135765909
ACH-000007,-0.1932959986822712
ACH-000009,-0.28995973100752065
ACH-000011,-0.5082958843084671
ACH-000012,-0.13340516720405785
ACH-000013,-0.32536869127076085
ACH-000014,-0.37506321266492776
ACH-000015,-0.12257554284641292
ACH-000017,0.0197190583243554
ACH-000018,-0.2814262122411581
ACH-000019,-0.3395328249755192
ACH-000021,-0.3069150396428232
ACH-000022,-0.3342912046640345
ACH-000025,-0.09498092490571734
ACH-000028,-0.2864744921321765
ACH-000030,-0.2523790413247744
ACH-000035,-0.2383501082835475
ACH-000036,-0.2591863173483169
ACH-000037,-0.4110715161610347
ACH-000039,-0.20943171351786827
ACH-000040,-0.21354441547841813
ACH-000041,-0.0973186843772169
ACH-000042,-0.11962092722726847
ACH-000045,-0.2001263536354773
ACH-000047,-0.3887814613521355
ACH-000052,-0.22644319406242444
ACH-000053,-0.21134955472588185
ACH-000054,-0.1817480157391768
ACH-000055,-0.38458560416944143
ACH-000060,-0.3185494292364626
ACH-000067,-0.3170967275062519
ACH-000070,0.03482139357996618
ACH-000075,-0.5000906514797765
ACH-000078,-0.23478821982171896
ACH-000082,-0.21081241194805356
ACH-000085,-0.1852265641316132
ACH-000086,-0.18679293247814696
ACH-000087,-0.2031126449255978
ACH-000092,-0.0870146982214523
ACH-000095,-0.18342210525420174
ACH-000097,-0.4449124152579743
ACH-000098,-0.1980041778500426
ACH-000099,-0.2295886495418903
ACH-000108,-0.314264653764154
ACH-000113,-0.2780629678702615
ACH-000116,-0.2708825233006562
ACH-000118,-0.2871066420078941
ACH-000120,-0.18209191231731328
ACH-000123,-0.10432033225337314
ACH-000127,-0.3052199718538952
ACH-000128,-0.3268288388732158
ACH-000132,-0.1248498578006912
ACH-000133,-0.14352691223727596
ACH-000137,-0.017905387296448867
ACH-000138,-0.10303053109584256
ACH-000142,-0.2396934450120642
ACH-000143,-0.02399191503723724
ACH-000146,-0.4784121726215504
ACH-000148,-0.22281405100696608
ACH-000150,-0.201391556041188
ACH-000152,-0.2776909966542723
ACH-000153,-0.5351217608302268
ACH-000159,-0.2954342112102727
ACH-000160,-0.2346069700715944
ACH-000163,-0.2329003626026025
ACH-000167,-0.061113150567799625
ACH-000168,-0.16487290188604847
ACH-000169,-0.2665490434197124
ACH-000178,-0.2204907686929682
ACH-000183,-0.044146557894850974
ACH-000188,-0.3268369516757549
ACH-000189,-0.3607305945876427
ACH-000190,-0.17947252581297662
ACH-000198,-0.3305662250096127
ACH-000203,0.002336739383269432
ACH-000204,-0.26030143878266354
ACH-000206,-0.008553458947212192
ACH-000207,-0.11468995373444905
ACH-000208,-0.044382129587006304
ACH-000210,-0.2813264387023555
ACH-000211,-0.2512780582643011
ACH-000215,-0.032657898689822946
ACH-000221,-0.3535206777179581
ACH-000222,-0.2985416655141908
ACH-000223,-0.2976922096386566
ACH-000226,-0.4075185843931137
ACH-000227,-0.08905384144068873
ACH-000228,-0.2957047015019257
ACH-000231,-0.37580600819355625
ACH-000232,-0.17811267778921394
ACH-000233,-0.06085866645842316
ACH-000234,-0.17731021992012536
ACH-000235,-0.2099168706281518
ACH-000237,-0.32194220433330223
ACH-000238,-0.2001551376892783
ACH-000242,-0.02992058873809932
ACH-000243,-0.1771841672122707
ACH-000244,-0.12017032070308298
ACH-000246,-0.2546110828837009
ACH-000248,-0.05151584927840009
ACH-000250,-0.24598407048256746
ACH-000251,0.1223691159481258
ACH-000252,-0.2742166386168192
ACH-000253,-0.318351292856829
ACH-000255,-0.2854206254224701
ACH-000256,-0.2136822297065376
ACH-000257,-0.2108567365579609
ACH-000258,-0.29718050477339497
ACH-000259,-0.09046834376252028
ACH-000260,-0.1663385166134754
ACH-000261,-0.32548197102380183
ACH-000262,-0.26990301511021664
ACH-000263,-0.4510526120676759
ACH-000264,-0.3492286113475079
ACH-000265,0.09174096614564282
ACH-000266,-0.1673953270968144
ACH-000272,-0.20827930381994375
ACH-000274,-0.18185356974403308
ACH-000277,-0.09970616857252412
ACH-000278,-0.35579823472804856
ACH-000279,-0.11411470144101815
ACH-000280,-0.29898957830691075
ACH-000281,-0.016313126727314747
ACH-000288,-0.18775556793677398
ACH-000291,-0.323246203299966
ACH-000293,-0.26732704838017
ACH-000294,-0.18665759853342634
ACH-000295,-0.18966776552713396
ACH-000296,-0.3280713348734569
ACH-000302,-0.2536753181624713
ACH-000304,-0.20893648923754213
ACH-000307,-0.2604818702140592
ACH-000308,-0.3100257168733921
ACH-000310,-0.18442368559504665
ACH-000311,-0.11715015745722705
ACH-000312,-0.12691294998709238
ACH-000315,-0.3934107481309032
ACH-000316,-0.2373935318269054
ACH-000317,-0.2464634895262128
ACH-000318,-0.3785744020826616
ACH-000319,-0.12570703565324345
ACH-000320,-0.1710430839296811
ACH-000322,-0.3479134226917086
ACH-000323,-0.1776036177736472
ACH-000324,-0.17190382817406524
ACH-000329,-0.2280788852612861
ACH-000330,-0.2434528502656847
ACH-000331,-0.3252512807289324
ACH-000332,-0.1426422055927378
ACH-000334,-0.2243679550059588
ACH-000335,-0.25293603142508625
ACH-000336,-0.19284771185188945
ACH-000337,-0.15707606722662776
ACH-000338,-0.6987544874109003
ACH-000339,-0.37228524326674
ACH-000341,-0.3414297695878585
ACH-000348,-0.29655645968725336
ACH-000350,-0.10937372794807458
ACH-000352,-0.14246407115677287
ACH-000356,-0.33991116559559986
ACH-000361,-0.13647585573554225
ACH-000362,-0.2255141138353493
ACH-000363,-0.11338722705610398
ACH-000364,-0.2137053813604372
ACH-000365,-0.2982526927546117
ACH-000366,-0.061085274909479625
ACH-000368,-0.3478654785726052
ACH-000374,-0.5192146767811436
ACH-000375,-0.3559951874421459
ACH-000376,-0.11708670511528972
ACH-000381,-0.2305729425519053
ACH-000383,-0.20370050809251367
ACH-000387,-0.1582259102378765
ACH-000389,0.08879099991742648
ACH-000390,-0.16919617065961404
ACH-000393,-0.3600891999343229
ACH-000395,-0.33710089165653223
ACH-000396,-0.3494269767634064
ACH-000397,-0.21565754323688216
ACH-000401,-0.2968319426498716
ACH-000402,-0.17776911250271374
ACH-000403,-0.3195667268709937
ACH-000404,-0.2855659852595325
ACH-000406,-0.3256265306917813
ACH-000407,0.005827039131150839
ACH-000408,-0.3443294069762951
ACH-000410,-0.06577889356987758
ACH-000411,-0.4741431368251165
ACH-000414,-0.3454882130992791
ACH-000415,-0.381481567839313
ACH-000416,-0.3141118565352282
ACH-000420,-0.18188362720780804
ACH-000421,-0.4078927763341404
ACH-000424,-0.003206039707156056
ACH-000425,-0.2557939102038464
ACH-000426,-0.18279105330692733
ACH-000427,-0.4915892229837142
ACH-000433,-0.2174595295632623
ACH-000435,-0.13402576797036758
ACH-000436,-0.16757186477081493
ACH-000444,-0.04116154848469224
ACH-000445,0.016842378915741942
ACH-000448,-0.3073337671336715
ACH-000450,-0.3338016261402537
ACH-000452,-0.4444908070718988
ACH-000454,-0.12351208643192498
ACH-000458,-0.2165757368480402
ACH-000459,-0.240085313397362
ACH-000460,-0.03372150856538612
ACH-000461,-0.19687219676069773
ACH-000463,-0.17240481236422553
ACH-000464,-0.1947744386276115
ACH-000466,-0.07671435325074223
ACH-000467,-0.337238487409015
ACH-000468,-0.17921567479535722
ACH-000469,-0.3518601348064264
ACH-000470,-0.24883842750215315
ACH-000471,-0.1353338439291579
ACH-000472,-0.19532616879799108
ACH-000473,-0.16527338177694673
ACH-000475,-0.09012268788289247
ACH-000476,-0.20499414213909356
ACH-000477,-0.2993320053069791
ACH-000479,-0.36853016164946506
ACH-000480,-0.24542624071140984
ACH-000481,-0.2941044619764946
ACH-000483,-0.3523975552712233
ACH-000484,-0.29955434632141104
ACH-000485,-0.06191170690000632
ACH-000486,-0.2934841943419616
ACH-000487,-0.03130299379215738
ACH-000488,-0.2777695912268281
ACH-000490,-0.1208441334199378
ACH-000491,-0.1176671379526815
ACH-000495,-0.29568583345873034
ACH-000496,-0.056635124534691564
ACH-000499,-0.2038689315547481
ACH-000500,-0.0860831182900435
ACH-000502,-0.4478519571367369
ACH-000503,0.2624715165028618
ACH-000505,-0.1946082858012016
ACH-000507,-0.22296228250942995
ACH-000510,-0.20803092943864407
ACH-000511,-0.2367992361395197
ACH-000512,-0.2964184863431187
ACH-000516,-0.310167193539601
ACH-000517,-0.07991298991813367
ACH-000518,-0.21726481556694704
ACH-000520,-0.21721397982079252
ACH-000521,0.04168063846086325
ACH-000522,-0.2271900090628623
ACH-000524,-0.09704763124262147
ACH-000527,-0.3890472358118878
ACH-000528,-0.3125271313803657
ACH-000537,-0.35045797743767704
ACH-000541,-0.23834331033935724
ACH-000542,-0.2772019372456049
ACH-000544,-0.323729409003346
