,IPPK (64768)
ACH-000178,-0.20485753357651093
ACH-000183,-1.1068646537493692
ACH-000188,-0.07718912019340024
ACH-000189,-0.4108003315730121
ACH-000190,-0.21948264670206027
ACH-000198,-0.647916619006022
ACH-000203,-0.15337258703079434
ACH-000204,-0.4078220588463749
ACH-000206,-0.587141036754167
ACH-000207,-0.5274139966937859
ACH-000208,-0.5686629888682677
ACH-000210,-0.13446183490200433
ACH-000211,-0.1650109668339841
ACH-000215,-0.12744734602315316
ACH-000221,-0.2211944530250739
ACH-000222,-0.4265975056721157
ACH-000223,-0.216356588899648
ACH-000226,-0.7148671644546626
ACH-000227,-0.434695919874604
ACH-000228,-0.3113640850374604
ACH-000231,-0.2055859041673012
ACH-000232,-0.03471722247304775
ACH-000233,-0.9234584480268216
ACH-000234,-0.2594582592521848
ACH-000235,-0.26225875489307954
ACH-000237,-0.23869452372385294
ACH-000238,-0.1966086347198559
ACH-000242,0.13183401910123504
ACH-000243,-0.16502674811460272
ACH-000244,-0.3640247998897169
ACH-000246,-0.3780782581761753
ACH-000248,-0.2826584525304893
ACH-000250,-0.3421425210128655
ACH-000251,-0.2420640452366425
ACH-000252,-0.07482568602831828
ACH-000253,-0.6519961472021986
ACH-000255,-0.2525997396631519
ACH-000256,-0.2376085441561515
ACH-000257,-0.6777540273436359
ACH-000258,-0.5022824964904818
ACH-000259,-0.09938220301637164
ACH-000260,-0.1769490894666044
ACH-000261,-0.2073472640561764
ACH-000262,-0.3681044238624054
ACH-000263,-0.7598106692950031
ACH-000264,-0.13379647229003874
ACH-000265,0.0072952167143661515
ACH-000266,-0.3589469450390648
ACH-000272,-0.40242179969530495
ACH-000274,-0.4070758527153425
ACH-000277,-0.5716211401760503
ACH-000278,-0.4412762745229393
ACH-000279,-0.10257155873890242
ACH-000280,-0.19081712318644092
ACH-000281,-0.21728496962595584
ACH-000288,-0.14911978732369352
ACH-000291,-0.23882754564877
ACH-000293,-0.2746678719872047
ACH-000294,-0.8163432205762082
ACH-000295,-0.5146054802725714
ACH-000296,-0.11266192045205875
ACH-000302,-0.4878649018565286
ACH-000304,-0.22162489522592
ACH-000307,-0.3874087121314409
ACH-000308,-0.5100673310475742
ACH-000310,-0.2169179089899582
ACH-000311,-0.0642251295906882
ACH-000312,-0.1602936288059218
ACH-000315,-0.8421114179817512
ACH-000316,-0.2871328981966136
ACH-000317,-0.7354542296326904
ACH-000318,-0.3815934574438586
ACH-000319,-0.18274272358268212
ACH-000320,-0.22391715225474534
ACH-000322,-0.12733603293395865
ACH-000323,-0.3246815887039686
ACH-000324,-0.4642262941207742
ACH-000329,-0.23333033716471102
ACH-000330,-0.23575503288974556
ACH-000331,-0.08589315278141534
ACH-000332,-0.15859039034343514
ACH-000334,-0.7568505430330159
ACH-000335,-0.11722870060546707
ACH-000336,-0.6357911552478295
ACH-000337,-0.7381621410965263
ACH-000338,-0.6039347133758839
ACH-000339,-0.615524970102665
ACH-000341,-0.3928992853770625
ACH-000348,-0.40726969329649104
ACH-000350,-0.4596480731761238
ACH-000352,-0.12338312054958853
ACH-000356,0.011185222967929905
ACH-000361,-0.6780548818868118
ACH-000362,-0.4022642246728155
ACH-000363,-0.4359481853404182
ACH-000364,-0.2668662947733991
ACH-000365,-0.3390811263885456
ACH-000366,-0.21546381516849808
ACH-000368,-0.3701664336535656
ACH-000374,-0.16918787335348182
ACH-000375,-0.6197303678694115
ACH-000376,-0.1405448207062063
ACH-000381,-0.4663594245398767
ACH-000383,-0.7651391610841635
ACH-000387,-0.7851719725183949
ACH-000389,-0.12588352851365525
ACH-000390,-0.3618653144654939
ACH-000393,-0.17960211051905653
ACH-000395,-0.2504239061461126
ACH-000396,-0.3735293930442853
ACH-000397,-0.41739438508701865
ACH-000401,-0.8697498405587839
ACH-000402,-0.5409725645781225
ACH-000403,-0.2686554535002581
ACH-000404,-0.5276329384650089
ACH-000406,-0.8741167122468523
ACH-000407,-0.23266043453945956
ACH-000408,-0.2517719171560112
ACH-000410,-0.31314947945290084
ACH-000411,-0.6962632329277214
ACH-000414,-0.0246911230189839
ACH-000415,-0.21506073790848285
ACH-000416,-0.4525479062646694
ACH-000420,-0.2499545899618869
ACH-000421,-0.5568739579939689
ACH-000424,-0.3078486476385052
ACH-000425,-0.3497055056261029
ACH-000426,-0.4075814740203261
ACH-000427,-0.064938992848682
ACH-000433,-0.16644882444334996
ACH-000435,-0.614523012647166
ACH-000436,-0.7450884040766932
ACH-000444,-0.18921812500623286
ACH-000445,-0.5377607599928624
ACH-000448,-0.2557172184348692
ACH-000450,-0.544725702098386
ACH-000452,-0.3531910417057341
ACH-000454,-0.2890303606350647
ACH-000458,-0.10337867935329476
ACH-000459,-0.5860508078303653
ACH-000460,-0.7977249566998231
ACH-000461,-0.0937167274669491
