,RMDN1 (51115)
ACH-000004,0.033005861867393516
ACH-000005,-0.21718091694932606
ACH-000007,-0.335689651597784
ACH-000009,-0.1262429000597552
ACH-000011,-0.17477327519576072
ACH-000012,-0.1171988993272611
ACH-000013,-0.11432763906751328
ACH-000014,-0.14564909913225368
ACH-000015,-0.12712025555581413
ACH-000017,-0.2989344503746951
ACH-000018,0.02267962638088916
ACH-000019,-0.15427119815362228
ACH-000021,-0.09757477898223127
ACH-000022,-0.2109201099523408
ACH-000025,-0.22859844983573616
ACH-000028,-0.16248559886536285
ACH-000030,-0.1625665003502754
ACH-000035,-0.199243083766486
ACH-000036,-0.2643650503042939
ACH-000037,-0.020784292735528325
ACH-000039,-0.007593077240866846
ACH-000040,-0.13229411069480182
ACH-000041,-0.1705779235717328
ACH-000042,-0.13261409130024882
ACH-000045,-0.14339882000097318
ACH-000047,-0.24267667481311
ACH-000052,-0.18137574253981387
ACH-000053,-0.09650367328690387
ACH-000054,-0.3301232445464985
ACH-000055,-0.059560376818684486
ACH-000060,-0.154884364253859
ACH-000067,-0.156727963601584
ACH-000070,-0.08665088967620774
ACH-000075,-0.06854092423016382
ACH-000078,-0.11677014312425422
ACH-000082,-0.19960952441931326
ACH-000085,-0.044159719067250816
ACH-000086,-0.13392763317007908
ACH-000087,-0.4321619862377944
ACH-000092,-0.245125913028448
ACH-000095,-0.18209999674867425
ACH-000097,-0.1979219745167335
ACH-000098,-0.16851009905073533
ACH-000099,-0.05913253068858885
ACH-000108,-0.20372712921484404
ACH-000113,-0.31819087135133084
ACH-000116,-0.15284805332853965
ACH-000118,-0.20420706551807435
ACH-000120,-0.4137104848314672
ACH-000123,-0.14271213396515078
ACH-000127,-0.224426932612337
ACH-000128,-0.1600322895039309
ACH-000132,-0.1920823782842012
ACH-000133,-0.2340786926975243
ACH-000137,-0.17697101832822787
ACH-000138,0.023247478476599272
ACH-000142,-0.11328822429896912
ACH-000143,-0.14080612715617605
ACH-000146,-0.17278556756317315
ACH-000148,-0.22996210021557706
ACH-000150,-0.20686278386239015
ACH-000152,-0.2543353276075995
ACH-000153,-0.061549952558070324
ACH-000159,-0.2650020639306334
ACH-000160,-0.2366056614530977
ACH-000163,-0.23254582822979125
ACH-000167,-0.1530498590778238
ACH-000168,0.04630956384596791
ACH-000169,-0.14526625825097642
ACH-000178,-0.172915061562964
ACH-000183,-0.03528070607097804
ACH-000188,-0.14816545772960188
ACH-000189,-0.005812902749421214
ACH-000190,-0.10576719588219408
ACH-000198,-0.0025745151781765897
ACH-000203,-0.25187626984784345
ACH-000204,-0.13678295240253022
ACH-000206,0.0056295444054008745
ACH-000207,-0.23745472640209805
ACH-000208,0.048558483167641615
ACH-000210,0.03331619762649818
ACH-000211,-0.17950698316785044
ACH-000215,-0.06588265840055481
ACH-000221,-0.10840183763880143
ACH-000222,-0.10782541771174392
ACH-000223,-0.08044622439408795
ACH-000226,-0.2412745658993546
ACH-000227,-0.18995859523180705
ACH-000228,-0.28084095939065074
ACH-000231,-0.15751639283868607
ACH-000232,-0.05845507138798337
ACH-000233,-0.12798363689883546
ACH-000234,-0.17188602273375864
ACH-000235,-0.15501676580427026
ACH-000237,-0.1789864889717043
ACH-000238,-0.24630627453862494
ACH-000242,0.08562154487022723
ACH-000243,-0.058815559757708614
ACH-000244,0.008540619657198392
ACH-000246,-0.1942748544102544
ACH-000248,-0.1756410899547026
ACH-000250,-0.18086789969596992
ACH-000251,-0.02510699965382674
ACH-000252,-0.2733081422097742
ACH-000253,-0.10953892111650876
ACH-000255,-0.13033851305078745
ACH-000256,-0.11161648953462952
ACH-000257,-0.06303221246908018
ACH-000258,-0.16960322669579087
ACH-000259,-0.07745074438566238
ACH-000260,-0.10798028892830112
ACH-000261,-0.1509274207573952
ACH-000262,-0.4802560068047418
ACH-000263,-0.2511674810694683
ACH-000264,-0.21896550815105292
ACH-000265,-0.2527148848754128
