,YIF1B (90522)
ACH-000004,-0.08499273345903377
ACH-000005,-0.06921829673389351
ACH-000007,-0.025109876761864432
ACH-000009,-0.2271529083379504
ACH-000011,-0.12279458364843525
ACH-000012,-0.1266336437138042
ACH-000013,-0.34156231194154324
ACH-000014,-0.13018842262707464
ACH-000015,-0.11242970621357117
ACH-000017,-0.18081265537372376
ACH-000018,0.01743595429857161
ACH-000019,-0.1794583055306649
ACH-000021,0.12547906132316014
ACH-000022,-0.09966561353209052
ACH-000025,0.12084828723410836
ACH-000028,-0.02750814858988776
ACH-000030,-0.16668446429980832
ACH-000035,-0.16063574281966342
ACH-000036,-0.1515205431548798
ACH-000037,0.01945358258524382
ACH-000039,-0.07691576118351283
ACH-000040,0.02037478065094089
ACH-000041,0.06386554919884099
ACH-000042,0.07444281695738163
ACH-000045,-0.131736540481017
ACH-000047,-0.02099531691749264
ACH-000052,-0.2492895871446859
ACH-000053,-0.14401440256125242
ACH-000054,-0.06703423642477367
ACH-000055,-0.10423605024586326
ACH-000060,-0.006489603112788263
ACH-000067,-0.16681004161798085
ACH-000070,0.0019102219430419374
ACH-000075,0.032032075747899715
ACH-000078,-0.14278888151457034
ACH-000082,-0.023454298896022515
ACH-000085,-0.07001950546246902
ACH-000086,-0.047008350154160265
ACH-000087,-0.11149364002800537
ACH-000092,-0.03074248056186297
ACH-000095,-0.19651973935016467
ACH-000097,-0.14179913710315706
ACH-000098,-0.07549152115767763
ACH-000099,-0.1286921445596002
ACH-000108,0.009009583143395596
ACH-000113,0.024503864320277586
ACH-000116,-0.048044169204443515
ACH-000118,0.010722471669894065
ACH-000120,0.0731727493390679
ACH-000123,0.028893383268535782
ACH-000127,-0.053242446120238734
ACH-000128,-0.046684437434263634
ACH-000132,0.1531251777990683
ACH-000133,-0.01820811560470928
ACH-000137,-0.29551568737709555
ACH-000138,-0.010396994669535165
ACH-000142,-0.03785487728322145
ACH-000143,-0.15650964802169906
ACH-000146,-0.14723771424918794
ACH-000148,0.0113838560563221
ACH-000150,-0.05181800439478796
ACH-000152,-0.0067656211800032244
ACH-000153,-0.31198349029429073
ACH-000159,-0.10299903860089978
ACH-000160,0.029409508615929544
ACH-000163,0.00970802802992708
ACH-000167,0.01030039137014158
ACH-000168,-0.058084074786687825
ACH-000169,-0.042652680751367925
ACH-000178,0.022198560928159663
ACH-000183,-0.0906284363448532
ACH-000188,-0.0969062790516235
ACH-000189,-0.014973794846036512
ACH-000190,-0.27619647731929936
ACH-000198,-0.03218221843765278
ACH-000203,0.0006331976487234494
ACH-000204,-0.0866911786031968
ACH-000206,-0.11263918335752393
ACH-000207,0.10147956171542792
ACH-000208,-0.07493003929961439
ACH-000210,0.2719483303630401
ACH-000211,-0.025581859980027568
ACH-000215,-0.012107520269549091
ACH-000221,-0.22575377939870414
ACH-000222,-0.03395980501120935
ACH-000223,-0.017027222435770314
ACH-000226,-0.12127156211432495
ACH-000227,-0.17163747304151727
ACH-000228,0.016165191055148336
ACH-000231,0.11255169556695817
ACH-000232,-0.047558435679359176
ACH-000233,-0.06911346265337014
ACH-000234,-0.08604126379060455
ACH-000235,-0.05113462931057468
ACH-000237,-0.014466250893052313
ACH-000238,-0.02297101955385332
ACH-000242,0.07403973935976729
ACH-000243,0.02820970462156269
ACH-000244,-0.07135132983618765
ACH-000246,-0.19380509661675907
ACH-000248,-0.07480361244138037
ACH-000250,-0.010276361130655592
ACH-000251,-0.08676327282442046
ACH-000252,-0.2263830578119793
ACH-000253,-0.125908005388274
ACH-000255,-0.10817172270272853
ACH-000256,-0.12957779473212508
ACH-000257,-0.1169427791946998
ACH-000258,-0.00979506117978854
ACH-000259,-0.04143129232449912
ACH-000260,-0.07838043366229967
ACH-000261,0.05938015998386373
ACH-000262,-0.2761267824695448
ACH-000263,0.04381527647680675
ACH-000264,0.060862252165257924
ACH-000265,-0.01649541021939054
ACH-000266,-0.011006885883881743
ACH-000272,-0.046613321750334384
ACH-000274,0.003242146472465556
ACH-000277,0.005132437015968382
ACH-000278,-0.003028646927246389
ACH-000279,0.013991507986306214
ACH-000280,-0.1861432535039728
ACH-000281,0.05530453047219383
ACH-000288,0.10229287125220636
ACH-000291,-0.07856392820251429
ACH-000293,-0.1601133848611784
ACH-000294,-0.16209376587959493
ACH-000295,0.0897242797918262
ACH-000296,0.04397869848748186
ACH-000302,-0.21938576913332167
ACH-000304,0.10469311582216394
