,SCARF2 (91179)
ACH-000004,-0.13365449882559066
ACH-000005,-0.33893117362959474
ACH-000007,-0.17399807467896414
ACH-000009,-0.10457882341753066
ACH-000011,-0.19444788744608155
ACH-000012,-0.1848843566432199
ACH-000013,-0.14836231051635282
ACH-000014,-0.17275727400844793
ACH-000015,-0.2411586957794007
ACH-000017,-0.06010846753274692
ACH-000018,-0.174167464578667
ACH-000019,-0.1112472909964116
ACH-000021,0.027281674941405883
ACH-000022,-0.15111447095989902
ACH-000025,-0.3534094072828621
ACH-000028,-0.12386214973090337
ACH-000030,-0.03911960341370807
ACH-000035,-0.24390991380569715
ACH-000036,-0.15184758351243996
ACH-000037,0.04893602828697542
ACH-000039,-0.2868138035894119
ACH-000040,-0.16596341349058247
ACH-000041,-0.0785883846393521
ACH-000042,-0.5751318149102813
ACH-000045,-0.08286087842175592
ACH-000047,-0.006922581499346482
ACH-000052,-0.09769989222303413
ACH-000053,-0.10266812950241724
ACH-000054,-0.06749610064737528
ACH-000055,-0.17636465873347215
ACH-000060,-0.1687320849422592
ACH-000067,-0.2411781208006458
ACH-000070,-0.06515361089009808
ACH-000075,-0.13585562627556425
ACH-000078,-0.2272181096631063
ACH-000082,-0.17771726868694407
ACH-000085,-0.13050949272838794
ACH-000086,-0.004223392083290619
ACH-000087,-0.2012626682687084
ACH-000092,-0.2992943660101931
ACH-000095,-0.2253667739295507
ACH-000097,-0.1626995995112402
ACH-000098,-0.2900816061516718
ACH-000099,-0.017359847856688652
ACH-000108,-0.34109189984044724
ACH-000113,-0.07482820850679411
ACH-000116,-0.08740130116148923
ACH-000118,-0.1800478091619782
ACH-000120,-0.3232323341015018
ACH-000123,0.12004581300048997
ACH-000127,-0.10001178727451908
ACH-000128,-0.2289040644116255
ACH-000132,-0.2036945801026997
ACH-000133,-0.050548484885684
ACH-000137,-0.2696723074900784
ACH-000138,-0.06555192127972857
ACH-000142,-0.11670712884761075
ACH-000143,-0.01949465358001714
ACH-000146,-0.1560899010478344
ACH-000148,-0.10300831151557578
ACH-000150,-0.039692727114294175
ACH-000152,-0.2396962473110361
ACH-000153,-0.2162158596708969
ACH-000159,0.009704165409843474
ACH-000160,-0.1106476866055192
ACH-000163,-0.19472817169002185
ACH-000167,-0.1526482294995762
ACH-000168,-0.10122127871029213
ACH-000169,-0.11125135555180443
ACH-000178,-0.018640966510657057
ACH-000183,-0.2713228734040628
ACH-000188,-0.0753582201527547
ACH-000189,-0.25883756100715266
ACH-000190,-0.23917443342894704
ACH-000198,0.08186803463323983
ACH-000203,-0.2197061508211129
ACH-000204,-0.05651953016052131
ACH-000206,0.05219636715054685
ACH-000207,-0.1064727988995948
ACH-000208,-0.2401989053606849
ACH-000210,0.110498381172172
ACH-000211,-0.2090626255013306
ACH-000215,-0.12591771809308536
ACH-000221,-0.1733091440777816
ACH-000222,-0.26642683690799873
ACH-000223,-0.21249034373832115
ACH-000226,-0.2094619843355281
ACH-000227,-0.08291754919473791
ACH-000228,-0.04071041733888433
ACH-000231,-0.13260097679799165
ACH-000232,-0.20034562491848992
ACH-000233,-0.15422204331562833
ACH-000234,-0.002087262689078806
ACH-000235,-0.039077816206782835
ACH-000237,-0.12544704162729434
ACH-000238,0.014212666582765328
ACH-000242,-0.12400746882650017
ACH-000243,-0.2722154463995286
ACH-000244,0.06934013123153124
ACH-000246,-0.16739287186641835
ACH-000248,-0.24683581890806816
ACH-000250,-0.11093878952866194
ACH-000251,-0.04948873208441997
ACH-000252,-0.3027714157172221
ACH-000253,-0.11081941130741624
ACH-000255,-0.116633788692962
ACH-000256,-0.4745042190464423
ACH-000257,-0.026714095321845027
ACH-000258,-0.17738069236003468
ACH-000259,-0.16764881625444197
ACH-000260,-0.10004933462232786
ACH-000261,-0.096234141205594
ACH-000262,-0.15935927085250542
ACH-000263,0.2115801860429952
ACH-000264,-0.3084516957866323
ACH-000265,-0.1486329810896204
ACH-000266,-0.17560917113983718
ACH-000272,-0.10887582439261484
ACH-000274,-0.2025881231425599
ACH-000277,-0.10339837279901776
ACH-000278,-0.21687638303609594
ACH-000279,-0.11718836861756746
ACH-000280,-0.10103183080518313
ACH-000281,-0.05001340800887155
ACH-000288,-0.21463748901931906
ACH-000291,-0.20408170645500487
ACH-000293,-0.04526235099270562
ACH-000294,-0.08559726988932337
ACH-000295,-0.08781472765567996
ACH-000296,0.014600576892190244
ACH-000302,-0.2863841389118528
ACH-000304,-0.22066547688229884
ACH-000307,-0.03372274112606278
ACH-000308,-0.2334000743395121
ACH-000310,-0.12709764895672807
ACH-000311,-0.1507527173204114
ACH-000312,-0.26632263266277983
ACH-000315,-0.2865753907111377
ACH-000316,0.01447598747814311
ACH-000317,-0.07756672863074134
ACH-000318,-0.2052111032746857
ACH-000319,-0.3344912408728952
ACH-000320,-0.2362174220255761
ACH-000322,-0.1681495760347894
ACH-000323,-0.1857339054769528
ACH-000324,-0.12139350056254165
ACH-000329,-0.1513292422040175
ACH-000330,-0.21759964358269634
ACH-000331,0.002140411670157405
ACH-000332,-0.10464199656942758
ACH-000334,-0.20654117037498448
ACH-000335,-0.1415689445084291
ACH-000336,-0.19030337658727708
ACH-000337,0.04795144160772877
ACH-000338,-0.7488254740937149
ACH-000339,-0.12663944471416042
ACH-000341,0.06321747879585451
ACH-000348,-0.11817358292922825
ACH-000350,-0.2622288006277238
ACH-000352,-0.1315463397868259
ACH-000356,0.13891781891488214
ACH-000361,0.0136805665569736
ACH-000362,-0.130274179689959
ACH-000363,-0.1599838816548751
ACH-000364,-0.11054986256744473
ACH-000365,-0.1444711574165431
ACH-000366,-0.14087895530527084
ACH-000368,-0.015806311392861844
ACH-000374,-0.10308583272700232
ACH-000375,-0.48124690249541
ACH-000376,-0.08392454466387989
ACH-000381,0.05309467495895488
ACH-000383,-0.1557866260919643
ACH-000387,-0.207687182683716
ACH-000389,-0.071098024553015
ACH-000390,-0.1041400930335289
ACH-000393,-0.2531879541021237
ACH-000395,-0.22159636393941587
ACH-000396,0.03749001738146157
ACH-000397,-0.119057684278345
ACH-000401,-0.13362081213304747
ACH-000402,-0.3214793275536118
ACH-000403,-0.03714050563843413
ACH-000404,-0.055651538377781
ACH-000406,-0.14852174081246944
ACH-000407,-0.12070863499304615
ACH-000408,-0.14271447185167446
ACH-000410,-0.05454123494379242
ACH-000411,-0.0848647662795003
ACH-000414,-0.10796395896972907
ACH-000415,-0.0684584758959241
ACH-000416,-0.1513940239224201
ACH-000420,-0.11299430504706595
ACH-000421,-0.20068092225570167
ACH-000424,-0.03077074913297892
ACH-000425,-0.10927081024113272
ACH-000426,-0.09294832239150674
ACH-000427,-0.21693609662593147
ACH-000433,-0.005373997913765406
ACH-000435,-0.1418621525085079
ACH-000436,-0.3260994406921158
ACH-000444,-0.34005997711031505
ACH-000445,-0.08796920621244868
ACH-000448,-0.06427342110093248
ACH-000450,0.041011118788489336
ACH-000452,-0.2571858515259115
ACH-000454,-0.2165154571318893
ACH-000458,-0.3015783251929476
ACH-000459,-0.11294154416179054
ACH-000460,-0.09390982977583756
ACH-000461,-0.12247366355786125
ACH-000463,-0.16893669398823544
ACH-000464,-0.10046926363259752
ACH-000466,-0.4036627637452271
ACH-000467,-0.058247464632426416
ACH-000468,-0.10505370149042613
ACH-000469,-0.22989077185090456
ACH-000470,-0.05197812947331575
ACH-000471,-0.10935900788141037
ACH-000472,-0.28240324284365115
ACH-000473,-0.0998857583829662
ACH-000475,-0.10424395619292012
ACH-000476,-0.14633365353765868
ACH-000477,-0.02329558829853336
ACH-000479,-0.13000966162626554
ACH-000480,-0.0916340790684524
ACH-000481,-0.1871109820284822
ACH-000483,-0.2179532685488688
ACH-000484,-0.13712918500614862
ACH-000485,-0.13388432764683528
ACH-000486,-0.11378182854233693
ACH-000487,-0.10768279299512756
ACH-000488,-0.14830795075427955
