,NBPF6 (653149)
ACH-000004,-0.1209255096338835
ACH-000005,-0.17941671434942624
ACH-000007,-0.348505269177668
ACH-000009,-0.20936073558817075
ACH-000011,-0.18311464495765226
ACH-000012,-0.2629132925354368
ACH-000013,-0.2076606560678492
ACH-000014,-0.20959627008474704
ACH-000015,-0.3465992097236445
ACH-000017,-0.14238475003009715
ACH-000018,-0.27916124165370176
ACH-000019,-0.2604107286689905
ACH-000021,-0.13483414594824567
ACH-000022,-0.12879449352543962
ACH-000025,-0.270796822165466
ACH-000028,-0.35689664237819924
ACH-000030,-0.07070561747763046
ACH-000035,-0.14822200028948593
ACH-000036,-0.4268741519958183
ACH-000037,-0.1879258421660579
ACH-000039,-0.05885612017741083
ACH-000040,-0.4070425266280388
ACH-000041,-0.13296345684650174
ACH-000042,-0.16114722673044002
ACH-000045,-0.34053065453588643
ACH-000047,-0.2991663166931564
ACH-000052,-0.2824941195562637
ACH-000053,-0.391150849548973
ACH-000054,-0.3526488781786615
ACH-000055,-0.2940889414137503
ACH-000060,-0.14777991325802686
ACH-000067,-0.28518031841581976
ACH-000070,-0.06566658528504646
ACH-000075,-0.2990249051352558
ACH-000078,-0.4646021240652053
ACH-000082,-0.158370754450785
ACH-000085,-0.17276009380058172
ACH-000086,-0.39573780964385386
ACH-000087,-0.254664467312892
ACH-000092,-0.4378166589267623
ACH-000095,-0.13572052350722358
ACH-000097,-0.33720778787821004
ACH-000098,-0.3008607630194124
ACH-000099,0.08676935870500986
ACH-000108,-0.21683510913363305
ACH-000113,-0.2317405217034873
ACH-000116,-0.18435179762207773
ACH-000118,-0.16357075154309855
ACH-000120,-0.04150406227659816
ACH-000123,-0.12422884196950555
ACH-000127,-0.31368890651860165
ACH-000128,-0.2725163074349931
ACH-000132,0.018120042237660998
ACH-000133,-0.22372338958500115
ACH-000137,-0.35384388377144466
ACH-000138,-0.1968596184449045
ACH-000142,-0.2132905548681219
ACH-000143,-0.3776872454035146
ACH-000146,-0.3543460009453224
ACH-000148,-0.2105063431396512
ACH-000150,-0.3096816215296677
ACH-000152,-0.20076159179346625
ACH-000153,-0.1830619295590386
ACH-000159,-0.25825823608265946
ACH-000160,0.09292058274153303
ACH-000163,-0.13175990125989362
ACH-000167,-0.6961119096139876
ACH-000168,-0.18589181951504255
ACH-000169,-0.21012848215068647
ACH-000178,-0.23288876167585826
ACH-000183,-0.2615136800953293
ACH-000188,-0.3363445707572761
ACH-000189,-0.1383245405902649
ACH-000190,-0.2500139799948551
ACH-000198,-0.11779587617752404
ACH-000203,-0.10511437648115847
ACH-000204,-0.17140178028583164
ACH-000206,-0.23066597265589345
ACH-000207,-0.2258737795581623
ACH-000208,-0.3927567631415007
ACH-000210,-0.17678891556785192
ACH-000211,-0.053833294898536915
ACH-000215,-0.3276470276803976
ACH-000221,-0.16300379719083447
ACH-000222,-0.28315425256740634
ACH-000223,-0.062788679894557
ACH-000226,-0.20392896199507968
ACH-000227,-0.2352165334804887
ACH-000228,-0.07933802976877455
ACH-000231,-0.08683325627547024
ACH-000232,-0.1759017145600404
ACH-000233,-0.17105394185439815
ACH-000234,-0.27144445741969675
ACH-000235,-0.3186498944074344
ACH-000237,-0.2693491924223323
ACH-000238,-0.10072558810958572
ACH-000242,-0.14373462327381076
ACH-000243,-0.2725578658885792
ACH-000244,-0.27394944704843444
ACH-000246,-0.18704250879609607
ACH-000248,-0.1256622266952834
ACH-000250,-0.218485587725816
ACH-000251,-0.02180973632904934
ACH-000252,-0.23808485920934794
ACH-000253,-0.3316154659356465
ACH-000255,-0.2182809624054381
ACH-000256,-0.08050185908395184
ACH-000257,-0.2330541592493518
ACH-000258,-0.4344390038862585
ACH-000259,-0.28682189141993936
ACH-000260,-0.2848309379352253
ACH-000261,-0.3810686675876692
ACH-000262,-0.13655666043123202
ACH-000263,-0.2420358838320379
ACH-000264,-0.10472083039310703
ACH-000265,-0.19642284373418345
ACH-000266,-0.05226687812870974
ACH-000272,-0.2804656344997935
ACH-000274,-0.23466374942428486
ACH-000277,-0.2251846072626003
ACH-000278,-0.3432381285299665
ACH-000279,-0.05980920090779637
ACH-000280,-0.564965454959996
ACH-000281,0.00855469523383985
ACH-000288,-0.3038573513647997
ACH-000291,-0.294774882254612
ACH-000293,-0.2416146457771545
ACH-000294,-0.3662280158861074
ACH-000295,-0.435666485273939
ACH-000296,-0.33421444387837995
