,RHOH (399)
ACH-000004,-0.2288169850748609
ACH-000005,-0.2403586757816652
ACH-000007,-0.3921157852964625
ACH-000009,-0.3164941526128858
ACH-000011,-0.02800878665775387
ACH-000012,-0.2085893915465856
ACH-000013,-0.1778919061990628
ACH-000014,-0.0623011974814949
ACH-000015,-0.31285434424877945
ACH-000017,-0.10162432148776353
ACH-000018,-0.04201612074023575
ACH-000019,-0.3426778615331956
ACH-000021,-0.2553654889361121
ACH-000022,-0.2886422162723717
ACH-000025,0.006090200260864635
ACH-000028,-0.1768322469463023
ACH-000030,-0.202193806763102
ACH-000035,-0.09372443164610518
ACH-000036,-0.07687427189626546
ACH-000037,-0.2587487193754213
ACH-000039,-0.21741066593144026
ACH-000040,-0.05389229313084408
ACH-000041,-0.08086238400738635
ACH-000042,-0.13471224576290278
ACH-000045,-0.2796711379036243
ACH-000047,-0.1392288572132291
ACH-000052,-0.2294804871081654
ACH-000053,-0.19437044446843055
ACH-000054,-0.0956105113834029
ACH-000055,-0.2586248312209461
ACH-000060,-0.0874737686403507
ACH-000067,-0.14689509014381302
ACH-000070,-0.14953920760324388
ACH-000075,-0.15564618212813414
ACH-000078,-0.11144116278860353
ACH-000082,-0.1591438098328481
ACH-000085,0.04277483590642678
ACH-000086,-0.17305842680620298
ACH-000087,-0.24994655903916815
ACH-000092,-0.033657114527743684
ACH-000095,-0.15177316765089874
ACH-000097,-0.1854343254906026
ACH-000098,-0.07459800691320098
ACH-000099,-0.14177138607427275
ACH-000108,-0.23673046640911025
ACH-000113,-0.0884608102148375
ACH-000116,-0.26063052579158313
ACH-000118,-0.2491518462067297
ACH-000120,-0.21077904504461772
ACH-000123,-0.2890246062478604
ACH-000127,-0.18402870114388026
ACH-000128,-0.27792668186214586
ACH-000132,-0.2424177877542827
ACH-000133,-0.08426206389893373
ACH-000137,-0.08873896772062685
ACH-000138,-0.1555752430380449
ACH-000142,-0.25402747821927113
ACH-000143,-0.24161925477293425
ACH-000146,-0.23002647627997966
ACH-000148,-0.06973110158102598
ACH-000150,-0.1495661968858336
ACH-000152,-0.16618696142479936
ACH-000153,-0.2896394137610558
ACH-000159,-0.15382179518421996
ACH-000160,-0.13248828086048356
ACH-000163,-0.1724812544189654
ACH-000167,-0.03575802089791332
ACH-000168,-0.07713910514543812
ACH-000169,-0.1142572915522856
ACH-000178,-0.09036580278488164
ACH-000183,-0.2702911132736694
ACH-000188,-0.3220705439396743
ACH-000189,-0.4089601407229957
ACH-000190,-0.2595179711475928
ACH-000198,-0.2647830165788526
ACH-000203,-0.00196847881967424
ACH-000204,-0.14769711808524175
ACH-000206,-0.16506390083165762
ACH-000207,-0.17331095454327744
ACH-000208,-0.13182069949932318
ACH-000210,-0.1485210511166482
ACH-000211,-0.1848838306906928
ACH-000215,-0.16209233414660554
ACH-000221,-0.1654497974899369
ACH-000222,-0.2608697855638443
ACH-000223,-0.3077080550217224
ACH-000226,-0.114273482905088
ACH-000227,-0.132626942936502
ACH-000228,-0.2352515386921644
ACH-000231,-0.2203767780832157
ACH-000232,-0.04830898504899697
ACH-000233,-0.06260708654147681
ACH-000234,-0.0367136666157635
ACH-000235,-0.18763376384656266
ACH-000237,-0.17788152278805308
ACH-000238,-0.13740058777539282
ACH-000242,-0.08933188730374185
ACH-000243,-0.2206432447048055
ACH-000244,-0.1696863347684085
ACH-000246,-0.02982555825602892
ACH-000248,-0.1368027871827909
ACH-000250,-0.17004276097084828
ACH-000251,-0.09519088613187963
ACH-000252,-0.2987978931530141
ACH-000253,-0.08403562123035371
ACH-000255,-0.18263340992638305
ACH-000256,-0.2802112574329964
ACH-000257,-0.3815629586261414
ACH-000258,-0.26134172901419
ACH-000259,-0.2512457705340501
