,FARSA (2193)
ACH-000004,-0.9987248887378049
ACH-000005,-0.5646007194127847
ACH-000007,-0.7496112732749086
ACH-000009,-0.7037175634335741
ACH-000011,-0.7129363517249293
ACH-000012,-0.7792690567729729
ACH-000013,-0.7777507035148552
ACH-000014,-0.666214413032717
ACH-000015,-0.7846175143848719
ACH-000017,-0.9485242202087156
ACH-000018,-0.9142815609183748
ACH-000019,-0.9362396265512184
ACH-000021,-0.838166525828499
ACH-000022,-0.8086523361477334
ACH-000025,-0.8047780888282744
ACH-000028,-0.7823211481560913
ACH-000030,-0.6989616250075343
ACH-000035,-0.8668282026510942
ACH-000036,-0.6377972224594057
ACH-000037,-0.6445940754882126
ACH-000039,-0.6959483797233268
ACH-000040,-0.5950506133095981
ACH-000041,-0.7251278217710941
ACH-000042,-0.6830613750721232
ACH-000045,-0.6450376854885811
ACH-000047,-0.6324460624178414
ACH-000052,-0.5306274693497591
ACH-000053,-0.7188190427804574
ACH-000054,-0.7294026739796379
ACH-000055,-0.6650147597312792
ACH-000060,-0.6368569990330383
ACH-000067,-0.7341071111284553
ACH-000070,-0.44511518132274935
ACH-000075,-0.6040391024412237
ACH-000078,-0.6346455573725913
ACH-000082,-0.4379535586976596
ACH-000085,-0.8365748168315161
ACH-000086,-0.6448618335838001
ACH-000087,-0.7622935562954876
ACH-000092,-0.7995516795092701
ACH-000095,-0.5375711787114309
ACH-000097,-0.7178461259945605
ACH-000098,-0.8082406543071537
ACH-000099,-0.4938544387031392
ACH-000108,-0.8542013392557387
ACH-000113,-0.7040810323086671
ACH-000116,-0.656496871181989
ACH-000118,-0.6338303388431519
ACH-000120,-0.844252251637061
ACH-000123,-0.6033782134525243
ACH-000127,-0.8293618622817672
ACH-000128,-0.8003128206883723
ACH-000132,-0.7639503121248057
ACH-000133,-0.7472699908668815
ACH-000137,-0.8030730329939492
ACH-000138,-0.8352488353765614
ACH-000142,-0.5502897868804003
ACH-000143,-0.6973242505515335
ACH-000146,-0.7127179757332769
ACH-000148,-0.6152892046916905
ACH-000150,-0.5784230470064846
ACH-000152,-0.6778857028901651
ACH-000153,-0.8421390514600169
ACH-000159,-0.8130894940360055
ACH-000160,-0.6229710334670299
ACH-000163,-0.5891028676697792
ACH-000167,-0.9861152713149788
ACH-000168,-0.7049533673551001
ACH-000169,-0.8485406485101115
ACH-000178,-0.6796842039958374
ACH-000183,-0.6409919085152372
ACH-000188,-0.4618037508804053
ACH-000189,-0.8359493417336932
ACH-000190,-0.7614677025846267
ACH-000198,-0.4903464603444792
ACH-000203,-0.5152966058910304
ACH-000204,-0.7131167632385158
ACH-000206,-0.9160476923321158
ACH-000207,-0.7391484280498571
ACH-000208,-0.6358682612569085
ACH-000210,-0.7131506549680081
ACH-000211,-0.6101599052700476
ACH-000215,-0.7657457980394253
ACH-000221,-0.9906270848773704
ACH-000222,-0.7961485499847233
ACH-000223,-0.6544514182856934
ACH-000226,-0.6439584728065024
ACH-000227,-0.4152749002487829
ACH-000228,-0.7853556463694605
ACH-000231,-0.8119894299015621
ACH-000232,-0.745154923697603
ACH-000233,-0.546491239814623
ACH-000234,-0.8859383876826662
ACH-000235,-0.7616582917584898
ACH-000237,-0.7625383373025394
ACH-000238,-0.6875157515315197
ACH-000242,-0.9826077944363676
ACH-000243,-0.7075861204620923
ACH-000244,-0.6484615718193776
ACH-000246,-0.5955602095624637
ACH-000248,-1.0582862181178132
ACH-000250,-0.775286532590274
ACH-000251,-0.6265324447480177
ACH-000252,-0.6387266149810048
ACH-000253,-0.7099196147205923
ACH-000255,-0.8118678023698659
ACH-000256,-0.7191186558895728
ACH-000257,-0.7254029951840552
ACH-000258,-0.7213967465035155
ACH-000259,-0.7831675023531206
ACH-000260,-0.7484886263743878
ACH-000261,-0.7799865989046525
ACH-000262,-0.7320588957685609
ACH-000263,-0.3308781344855758
ACH-000264,-0.5756164878436372
ACH-000265,-0.7659344551225528
ACH-000266,-0.7764454237387146
ACH-000272,-0.746680010354381
ACH-000274,-0.8757836273432655
ACH-000277,-0.7177207636242118
ACH-000278,-0.8811749974188574
ACH-000279,-0.6126659674695732
ACH-000280,-0.8063705808962943
ACH-000281,-0.8276144770599944
ACH-000288,-0.8069830638516688
ACH-000291,-0.7594669601568899
ACH-000293,-0.9072546122415716
ACH-000294,-0.6537578660644542
ACH-000295,-0.768817399479228
ACH-000296,-0.5555202733232474
ACH-000302,-0.7506376281199933
ACH-000304,-0.261114413624748
ACH-000307,-0.84856317636311
ACH-000308,-0.6110769243014302
ACH-000310,-0.4886624053705463
ACH-000311,-0.6109662910560517
ACH-000312,-0.7187727958102835
ACH-000315,-0.5247246925724275
ACH-000316,-0.6483363842891658
ACH-000317,-0.6053754923089759
ACH-000318,-0.713061355108348
ACH-000319,-0.6521103550514711
ACH-000320,-0.7110242424604438
ACH-000322,-0.7735481764883441
ACH-000323,-0.6539208444555894
ACH-000324,-0.8164705984407663
ACH-000329,-0.6895700034355291
ACH-000330,-0.8858591576579986
ACH-000331,-0.7848432291475803
ACH-000332,-0.6736245513266843
ACH-000334,-0.3611186194499932
ACH-000335,-0.7254278463917397
ACH-000336,-0.7161387591227408
ACH-000337,-0.7033827235725318
ACH-000338,-0.9486076136560752
ACH-000339,-0.6810369530718149
ACH-000341,-0.9283982562372778
ACH-000348,-0.8518772225410531
ACH-000350,-0.4963243847113799
ACH-000352,-0.7988798479342689
ACH-000356,-0.6209648325753491
ACH-000361,-0.7543259053382622
ACH-000362,-0.6146617756564795
ACH-000363,-0.3813221134798839
ACH-000364,-0.8073825718731674
ACH-000365,-0.4985718983863371
ACH-000366,-0.804578135424729
ACH-000368,-0.8889669651687865
ACH-000374,-0.82380483313424
ACH-000375,-0.8382604880253288
ACH-000376,-0.776744163172009
ACH-000381,-0.9460503845620252
ACH-000383,-0.7721016512730922
ACH-000387,-0.376770034729631
ACH-000389,-0.4533481226744146
ACH-000390,-0.7570020143711169
ACH-000393,-0.8615863645442554
ACH-000395,-0.6416958559866582
ACH-000396,-1.2055003381079723
ACH-000397,-0.6271532713969096
ACH-000401,-0.6766127997526841
ACH-000402,-0.5569915960983679
ACH-000403,-0.7801564400194371
ACH-000404,-0.6793612779404699
ACH-000406,-0.6831366832993098
ACH-000407,-0.6606925237800498
ACH-000408,-0.8282101813448435
ACH-000410,-0.7721686302851903
ACH-000411,-0.7628269070916026
ACH-000414,-0.8577063629588485
ACH-000415,-0.7823554649828495
ACH-000416,-0.8138127460691219
ACH-000420,-0.5185075909447123
ACH-000421,-0.6736968950343688
ACH-000424,-0.9024015511371174
ACH-000425,-0.7116984364476147
ACH-000426,-0.6137062229855204
ACH-000427,-0.6357783882015557
ACH-000433,-0.8918608316459398
ACH-000435,-0.5640693160172204
ACH-000436,-0.4636168946936077
ACH-000444,-0.5129696755301167
ACH-000445,-0.97230476642581
ACH-000448,-0.5401917727618167
ACH-000450,-0.6251712217944886
ACH-000452,-0.7690181668672659
ACH-000454,-0.6563374784175781
ACH-000458,-0.7562608942006426
ACH-000459,-0.1845990052334746
ACH-000460,-0.8053919003366959
ACH-000461,-0.9118451496922271
ACH-000463,-0.902353586177051
ACH-000464,-0.6896113587186067
ACH-000466,-0.9562102151093244
ACH-000467,-0.6651079992779111
ACH-000468,-0.7478387180422038
ACH-000469,-0.6105427330330332
ACH-000470,-0.6674480434920789
ACH-000471,-0.747388083045627
ACH-000472,-0.6586395218586534
ACH-000473,-0.6371265568475811
ACH-000475,-0.7833798798459815
ACH-000476,-0.7298799989548204
ACH-000477,-0.7975197576901982
ACH-000479,-0.8534970553228018
ACH-000480,-0.8049366011048472
ACH-000481,-0.6877251027435638
ACH-000483,-0.7043027634714778
ACH-000484,-0.39892639774720745
ACH-000485,-0.5920616881911273
ACH-000486,-0.5970499296896946
ACH-000487,-0.5673366030680866
ACH-000488,-0.6343101564223568
ACH-000490,-0.66119035214712
ACH-000491,-0.5590976674572286
ACH-000495,-0.9415796025826892
ACH-000496,-0.8220375772259392
ACH-000499,-0.5325828396852671
ACH-000500,-1.1299573439186354
ACH-000502,-0.5234435674153826
ACH-000503,-0.6585165575827644
ACH-000505,-0.7616990246931185
ACH-000507,-0.7834608026376987
ACH-000510,-0.7009312604885476
ACH-000511,-0.8044992968069151
ACH-000512,-0.6057583908297377
ACH-000516,-0.6289646050237804
ACH-000517,-0.7422725446050784
ACH-000518,-0.7952458833108693
ACH-000520,-0.6351177234937143
ACH-000521,-0.6747262076371789
ACH-000522,-0.8004145642746247
ACH-000524,-0.6082902724179237
ACH-000527,-0.6109227296569489
ACH-000528,-0.6465939100585015
ACH-000537,-0.4905501031126602
ACH-000541,-0.7292548666731089
ACH-000542,-0.6747415532234521
ACH-000544,-0.7413839431091125
ACH-000545,-0.7973925297687591
ACH-000547,-0.5102970297840065
ACH-000548,-0.6999100200992276
ACH-000549,-0.7493532316455572
ACH-000550,-0.6860776308397617
ACH-000552,-0.8290720749139835
ACH-000556,-0.6211333676409345
ACH-000557,-0.49364829708348
ACH-000569,-1.1692144341223585
ACH-000570,-0.7545283914088
ACH-000571,-0.6918796634262557
ACH-000573,-0.6351591127835371
ACH-000576,-0.42576756497476137
ACH-000579,-0.7480580254367555
ACH-000580,-0.7018429499872099
ACH-000584,-0.7716145954252459
ACH-000585,-0.6967015292502092
ACH-000588,-0.6395609006150587
ACH-000589,-0.6505207730136422
ACH-000591,-0.761641762797947
