,OTX2 (5015)
ACH-000004,0.025174107251742663
ACH-000005,0.28142058303133066
ACH-000007,0.16163842546542173
ACH-000009,0.038256371638427926
ACH-000011,0.10129237738312202
ACH-000012,0.1187748947869016
ACH-000013,0.035137717169970134
ACH-000014,0.09043976811754943
ACH-000015,0.02331429012967755
ACH-000017,0.1178547889169564
ACH-000018,0.045644321298831385
ACH-000019,0.09120587100706476
ACH-000021,0.13902695625868894
ACH-000022,0.15666113517406627
ACH-000025,0.09307052478009706
ACH-000028,0.08704292733515895
ACH-000030,0.14219110860238834
ACH-000035,0.20008861477071216
ACH-000036,0.03276094233699097
ACH-000037,-0.001897465315460484
ACH-000039,0.0667910453372139
ACH-000040,0.023813375567825115
ACH-000041,-0.14539539474286442
ACH-000042,0.18685648908145397
ACH-000045,-0.005319347220749716
ACH-000047,0.04054794373124935
ACH-000052,0.015771443228593352
ACH-000053,0.08556001681581556
ACH-000054,-0.02702747521220135
ACH-000055,-0.8315885995212952
ACH-000060,-0.23313830053612314
ACH-000067,-0.03282041624237672
ACH-000070,0.0849062858923262
ACH-000075,0.015112781248218509
ACH-000078,0.06655174523226742
ACH-000082,-0.09085823819850222
ACH-000085,0.03244513131396245
ACH-000086,0.07362629174794204
ACH-000087,-0.09739271128047823
ACH-000092,0.06795150620604162
ACH-000095,-0.6420430103292082
ACH-000097,0.02664609253869841
ACH-000098,-0.031564119819014365
ACH-000099,0.11564455578012875
ACH-000108,0.03464643290991185
ACH-000113,-0.033054748433733225
ACH-000116,0.009854866498797124
ACH-000118,0.028139283078981208
ACH-000120,0.08885103971941724
ACH-000123,-0.01382706681659217
ACH-000127,0.10407354938496018
ACH-000128,-0.10610295958126882
ACH-000132,0.12197476364548515
ACH-000133,0.13931015964004642
ACH-000137,0.10837112665343757
ACH-000138,0.13585435364079448
ACH-000142,0.13604205746836984
ACH-000143,0.024298842350701996
ACH-000146,0.15896622918414313
ACH-000148,0.11085845622501647
ACH-000150,0.1599438358361147
