,MMACHC (25974)
ACH-000004,-0.3690880444111401
ACH-000005,-0.3115814303028849
ACH-000007,-0.3811212367287911
ACH-000009,-0.44002733202689537
ACH-000011,-0.4779886831825835
ACH-000012,-0.242564205905705
ACH-000013,-0.26862459930050103
ACH-000014,-0.2594052777017497
ACH-000015,-0.10853213910400486
ACH-000017,0.0008777210425931483
ACH-000018,-0.2658626097295808
ACH-000019,-0.47839577559892
ACH-000021,-0.109890464514906
ACH-000022,-0.2472552772265892
ACH-000025,-0.2621752654238975
ACH-000028,-0.3158167669236415
ACH-000030,-0.6432322766166003
ACH-000035,-0.2139179240081277
ACH-000036,-0.03292018194714351
ACH-000037,-0.15977908725860987
ACH-000039,-0.23125073481105496
ACH-000040,-0.1871771887114924
ACH-000041,-0.08596315349474128
ACH-000042,-0.19405339046191208
ACH-000045,-0.2560588206993321
ACH-000047,-0.2004316926882157
ACH-000052,-0.042447770115100064
ACH-000053,-0.3293557914678635
ACH-000054,-0.2512634992478383
ACH-000055,-0.3325842632317274
ACH-000060,-0.2611126523218956
ACH-000067,-0.11796948188354328
ACH-000070,-0.2847433358297867
ACH-000075,-0.2521939782898434
ACH-000078,-0.2861362293688232
ACH-000082,-0.24234103423707154
ACH-000085,-0.2184298715579221
ACH-000086,-0.3791300604538945
ACH-000087,-0.030824482672057462
ACH-000092,-0.34811696643747525
ACH-000095,-0.2606309821859425
ACH-000097,-0.3287897149247609
ACH-000098,-0.2647536586902365
ACH-000099,-0.09183705036762256
ACH-000108,-0.329485298046952
ACH-000113,-0.2053855120545628
ACH-000116,-0.2644847432428068
ACH-000118,-0.18134748057605868
ACH-000120,-0.08405295293482318
ACH-000123,-0.21469149117912556
ACH-000127,-0.30683359714391634
ACH-000128,-0.3330584821510985
ACH-000132,-0.2434432592438204
ACH-000133,-0.2503529962742673
ACH-000137,-0.3345062846615342
ACH-000138,-0.28646248321056234
ACH-000142,-0.25078284585082466
ACH-000143,0.05915373986221915
ACH-000146,-0.22023417699507813
ACH-000148,-0.1229210763121937
ACH-000150,-0.38961553927322706
ACH-000152,-0.4253441456168993
ACH-000153,-0.2240778863802252
ACH-000159,-0.5090872183142131
ACH-000160,-0.13283309590596268
ACH-000163,-0.10600197392671264
ACH-000167,-0.713883468184347
ACH-000168,-0.4255530355758392
ACH-000169,-0.1762106709598627
ACH-000178,-0.18122785234381888
ACH-000183,-0.35354626578101866
ACH-000188,-0.3079634466905766
ACH-000189,-0.505900252902353
ACH-000190,-0.293115438072526
ACH-000198,-0.16466924801038832
ACH-000203,-0.221662260602278
ACH-000204,-0.357166549006856
ACH-000206,-0.3470272280925069
ACH-000207,-0.2628697223917645
ACH-000208,-0.6310074917493732
ACH-000210,-0.385129517821112
ACH-000211,-0.11554250599792833
ACH-000215,-0.17526058189824226
ACH-000221,-0.2324002239308566
ACH-000222,-0.15375144241769986
ACH-000223,-0.26397502140815204
ACH-000226,-0.1420757437230168
ACH-000227,-0.13270013850878254
ACH-000228,-0.2747623178806292
ACH-000231,-0.2910712642893857
ACH-000232,-0.1999611792965796
ACH-000233,-0.1395574238657248
ACH-000234,-0.4302490112032678
ACH-000235,-0.3236679010379904
ACH-000237,-0.21379498914090744
ACH-000238,-0.16423592485302102
ACH-000242,0.10339138146035314
ACH-000243,-0.16089127940474968
ACH-000244,-0.14047102806318915
ACH-000246,-0.2935316874926273
ACH-000248,-0.2696785791635253
ACH-000250,-0.23734018638025825
ACH-000251,-0.4733578526853295
ACH-000252,-0.18251881675617465
ACH-000253,-0.5179236545638533
ACH-000255,-0.2304728853298749
ACH-000256,-0.19146935225634268
ACH-000257,-0.32380128048937395
ACH-000258,-0.3708388841897405
ACH-000259,-0.14732118948261955
ACH-000260,-0.17170951923038275
ACH-000261,-0.24342825904434426
ACH-000262,-0.10394838677725528
ACH-000263,-0.07398365973903033
ACH-000264,-0.3719593737397437
ACH-000265,-0.05728868832479684
ACH-000266,-0.16305566001538546
ACH-000272,-0.32446281209059513
ACH-000274,-0.31938903992454704
ACH-000277,-0.1311381722090019
ACH-000278,-0.24885711832767074
ACH-000279,-0.22973755418891836
ACH-000280,-0.2849377758384004
ACH-000281,0.07308914675483155
ACH-000288,-0.33123075008906616
ACH-000291,-0.3056883708427346
ACH-000293,-0.2806396419829407
ACH-000294,-0.0029551087388385872
ACH-000295,-0.16646908374097938
ACH-000296,-0.3467066998219582
ACH-000302,-0.18400616014201626
ACH-000304,-0.05017032704790567
ACH-000307,-0.2226227775220088
ACH-000308,-0.259078201850912
ACH-000310,-0.2718100789848789
ACH-000311,-0.8272002717627372
ACH-000312,-0.3251695618675776
ACH-000315,-0.23876138045325976
ACH-000316,-0.3097733642362822
ACH-000317,-0.03983281074129027
ACH-000318,-0.10152978454652507
ACH-000319,-0.16762379671393346
ACH-000320,-0.016221247240732727
ACH-000322,-0.3576285331745899
ACH-000323,-0.17512599727668562
ACH-000324,-0.2713738771833669
ACH-000329,-0.4242022472820456
ACH-000330,-0.32146283745483145
ACH-000331,-0.2961264843918074
ACH-000332,-0.19187771187047212
ACH-000334,-0.4508188240261444
ACH-000335,-0.2598088236800716
ACH-000336,0.05259336432755947
ACH-000337,-0.5160709947343245
ACH-000338,0.07732924307909712
ACH-000339,-0.3653011103840489
ACH-000341,-0.18845322284412744
ACH-000348,-0.1431497775033113
ACH-000350,-0.12391334554674766
ACH-000352,-0.411712263035638
ACH-000356,-0.5761664771663617
ACH-000361,0.10970699580928267
ACH-000362,-0.2294592018222413
ACH-000363,-0.1625102397444475
ACH-000364,-0.2892267529539934
ACH-000365,-0.26102462125108783
ACH-000366,-0.11436090075644262
ACH-000368,-0.2671487268315094
ACH-000374,-0.2856579411001378
ACH-000375,-0.3192089702096129
ACH-000376,-0.2309424024578957
ACH-000381,-0.2352386537418885
ACH-000383,-0.30092306155098125
ACH-000387,-0.6561739501973273
ACH-000389,-0.4841223433750096
ACH-000390,-0.4769014797022272
ACH-000393,-0.2484129570134057
ACH-000395,-0.2840244832606818
ACH-000396,-0.4959668291898677
ACH-000397,-0.19040113746608145
ACH-000401,-0.019309187828897487
ACH-000402,0.12578413808425284
ACH-000403,-0.2260581801697821
ACH-000404,-0.29125334552633264
ACH-000406,-0.5141615852662532
ACH-000407,-0.3550211506484289
ACH-000408,-0.15975566995965956
ACH-000410,-0.2355928609778117
ACH-000411,-0.4984860439681337
ACH-000414,-0.3445822493347625
ACH-000415,-0.19479051455215746
ACH-000416,-0.6387402226202651
ACH-000420,-0.2854765695730023
ACH-000421,-0.2349639412912775
ACH-000424,-0.3630134186585337
ACH-000425,-0.2318585147786017
ACH-000426,-0.22682438069804875
ACH-000427,-0.3833517200462769
ACH-000433,-0.18604775366104048
ACH-000435,-0.2884911091311937
ACH-000436,-0.2942878723939704
ACH-000444,-0.16487568636848404
ACH-000445,-0.2990478729140673
ACH-000448,-0.20514523869730966
ACH-000450,-0.3332414986732314
ACH-000452,-0.3115333426518649
ACH-000454,-0.2923386232808299
ACH-000458,-0.14944606572497035
ACH-000459,-0.10431015156723032
ACH-000460,-0.4799917725994747
ACH-000461,-0.21758301739919836
ACH-000463,-0.3084029817218796
ACH-000464,-0.13794816508668936
ACH-000466,-0.25769630904094576
ACH-000467,-0.20414303966542047
ACH-000468,-0.2157641409746044
ACH-000469,-0.111334236448053
ACH-000470,-0.2594330244962329
ACH-000471,-0.21382991046253608
ACH-000472,-0.20091344498464034
ACH-000473,0.033900487377210964
ACH-000475,-0.3639803054831681
ACH-000476,-0.32114678636382693
ACH-000477,-0.2866879948915831
ACH-000479,-0.3191007930948058
ACH-000480,-0.18090713049594534
ACH-000481,-0.2061088549018272
ACH-000483,-0.2718806602986904
ACH-000484,-0.3522514088844094
ACH-000485,-0.13185804837506912
ACH-000486,-0.32020183809558583
ACH-000487,-0.21300462146477586
ACH-000488,-0.3240814444941809
ACH-000490,-0.07830368290244145
ACH-000491,-0.22923730448687865
ACH-000495,-0.2924232654825616
ACH-000496,-0.1847086539283951
ACH-000499,-0.12063494654776198
ACH-000500,-0.639455042173708
ACH-000502,-0.4575505252457238
ACH-000503,-0.2962505231923417
ACH-000505,-0.3062454281014493
ACH-000507,-0.6406663108724588
ACH-000510,-0.1984165161102092
ACH-000511,-0.22638702929936505
ACH-000512,-0.1383630739360536
ACH-000516,-0.28951577631780034
ACH-000517,-0.29029847281175164
ACH-000518,-0.33704440366785915
ACH-000520,-0.20517943924954554
ACH-000521,-0.15726317662012054
ACH-000522,-0.2538398532658366
ACH-000524,-0.20395740782491328
ACH-000527,-0.2960112972331693
ACH-000528,-0.2972725847590544
ACH-000537,-0.23447215521055464
ACH-000541,-0.3839456579384649
ACH-000542,-0.35482293330412845
ACH-000544,-0.1984816564603583
ACH-000545,-0.29957922866016345
ACH-000547,-0.022106845270544326
ACH-000548,-0.35809796674011074
ACH-000549,-0.06671174794613956
ACH-000550,-0.2643931025908398
ACH-000552,-0.25520854272827875
ACH-000556,-0.2661092282780593
ACH-000557,-0.38054770777537605
ACH-000569,-0.4782196016058268
ACH-000570,-0.15045083936843465
ACH-000571,-0.41049990905188016
ACH-000573,-0.3592690890763374
ACH-000576,-0.1119952680268143
ACH-000579,-0.4864947929302972
ACH-000580,-0.14112273042102885
ACH-000584,-0.12694349151563947
ACH-000585,-0.3808343751347896
ACH-000588,-0.1468666340338975
ACH-000589,-0.2886083754657124
ACH-000591,-0.4580382650624637
ACH-000593,-0.4093213979100217
ACH-000600,-0.4111617165095364
ACH-000601,-0.21962935421151197
ACH-000605,-0.26648995051183416
ACH-000606,-0.2981657006211262
ACH-000608,-0.24725556804453214
ACH-000614,-0.03790097549782415
ACH-000616,-0.16930658911558227
ACH-000618,-0.3267588405985284
ACH-000619,-0.2518736602861782
ACH-000620,-0.2105087828991673
ACH-000621,-0.22534632659794854
ACH-000622,-0.3161166255282671
ACH-000623,-0.3140788420362222
ACH-000624,-0.2297767301470535
ACH-000627,-0.2742216101636121
ACH-000630,-0.3264164601819505
ACH-000631,-0.518347720597181
ACH-000632,-0.3100260166355215
ACH-000633,-0.2591089115752356
ACH-000637,-0.2418345703494132
ACH-000638,-0.21822258242798245
ACH-000646,-0.4059931311364425
ACH-000647,-0.24865074237192544
ACH-000648,-0.3459448720541256
ACH-000649,-0.3512820987418662
ACH-000651,-0.112451030212333
ACH-000652,-0.4024428473130368
ACH-000653,-0.25537779110788217
ACH-000657,-0.312830789543027
ACH-000658,-0.15539320847373386
ACH-000661,-0.3240322779090757
ACH-000662,-0.5311857975151304
ACH-000663,-0.3378296494771574
ACH-000665,-0.1782432691436393
ACH-000671,-0.1775994251222387
ACH-000672,-0.12005326723399246
ACH-000673,-0.30378998236464544
ACH-000676,-0.4598597925343074
ACH-000677,-0.1935817946991606
ACH-000681,-0.20412122176041544
ACH-000683,-0.30193871430513103
ACH-000684,-0.22753323500976416
ACH-000688,-0.12357453561105082
ACH-000693,-0.3522491924685309
ACH-000694,-0.2678440263006324
ACH-000695,0.20818621029147405
ACH-000696,-0.2288180069688932
ACH-000697,-0.09244593334843858
ACH-000699,-0.3337556699965891
ACH-000701,-0.2269429703999399
ACH-000706,-0.3545765054190812
ACH-000711,-0.22665339955594105
ACH-000713,-0.4377478455459263
ACH-000714,-0.1888632262808874
ACH-000718,-0.26731335782582977
ACH-000720,-0.2395079488887665
ACH-000721,-0.6541765265245185
ACH-000724,-0.27324677433627725
ACH-000725,-0.22715611499942195
ACH-000732,-0.03934497910304185
ACH-000734,-0.1969014579611748
ACH-000735,-0.24186760867733104
ACH-000736,-0.5714995638767724
ACH-000738,-0.1091015871833512
ACH-000746,-0.3207399399447627
ACH-000747,-0.15563805411574175
ACH-000748,-0.3987062662353845
ACH-000753,-0.2779071865470825
ACH-000756,-0.2569618479842993
ACH-000757,-0.1823130394742876
ACH-000758,-0.544209931265788
ACH-000760,-0.4756701424702832
ACH-000762,-0.20565604264081194
ACH-000763,-0.11476120945887645
