,PENK (5179)
ACH-000258,0.05388678096094455
ACH-000259,-0.13135646836209855
ACH-000260,0.16761942465168667
ACH-000261,-0.01628078521907331
ACH-000262,-0.11801450356640393
ACH-000263,0.2396789149961449
ACH-000264,-0.015585661839242244
ACH-000265,0.0451031026966958
ACH-000266,-0.012284685815303502
ACH-000272,0.0064749087544226465
ACH-000274,0.0020980050032832487
ACH-000277,0.006661913568239425
ACH-000278,-0.027616207448553403
ACH-000279,-0.0497573090619805
ACH-000280,-0.13926930249042885
ACH-000281,0.08838789496044076
ACH-000288,0.08152729016303074
ACH-000291,0.06728282727086654
ACH-000293,-0.011351701451605566
ACH-000294,-0.029143233026476062
ACH-000295,0.03223762092455043
ACH-000296,0.0583322265504626
ACH-000302,-0.06894659520630525
ACH-000304,0.1179424030324657
ACH-000307,-0.025417112115212137
ACH-000308,-0.01257460528765623
ACH-000310,-0.05987798462344372
ACH-000311,-0.04052735150291125
ACH-000312,0.048248963952940926
ACH-000315,-0.4607769263684241
ACH-000316,0.0011096902975432595
ACH-000317,-0.03345201942471508
ACH-000318,0.0018786664661562848
ACH-000319,-0.15705397004681934
ACH-000320,0.007236012079773544
ACH-000322,-0.046302742297426286
ACH-000323,-0.008187000399589205
ACH-000324,0.05299344306340335
ACH-000329,0.02444011344366263
ACH-000330,-0.09217733878473808
ACH-000331,-0.02948085273289198
ACH-000332,0.052966644038467715
ACH-000334,0.19202818133332272
ACH-000335,0.01777851714689864
ACH-000336,-0.002401094642285594
ACH-000337,-0.18668510988761974
ACH-000338,0.2872931596777131
ACH-000339,-0.0238833328469443
ACH-000341,-0.1405532340836059
ACH-000348,-0.034244907298297635
ACH-000350,0.055331746922343016
ACH-000352,-0.18254858907306515
ACH-000356,-0.16948980822190668
ACH-000361,-0.020948987735790105
ACH-000362,0.004780834488246229
ACH-000363,0.03513405989505946
ACH-000364,0.08580346125862254
ACH-000365,-0.007103849505095057
ACH-000366,0.10502723150662947
ACH-000368,-0.06452750296716046
ACH-000374,0.1964906259822561
ACH-000375,0.041075470640531686
ACH-000376,0.05090619906489575
ACH-000381,0.026089555209162504
ACH-000383,0.020996316414101008
ACH-000387,0.08349639355349582
ACH-000389,-0.003192186141283589
ACH-000390,-0.034500639350274864
ACH-000393,0.009737699805388023
ACH-000395,0.12446453753390566
ACH-000396,-0.21701164761429528
ACH-000397,0.006782694138265005
ACH-000401,0.05023417165594266
ACH-000402,-0.047832562095791537
ACH-000403,-0.003203442721780624
ACH-000404,0.0969900261559706
ACH-000406,0.01551993118488557
ACH-000407,0.14332594626936726
ACH-000408,-0.03254667394662386
ACH-000410,-0.1016403362351906
ACH-000411,0.01706153724288523
ACH-000414,-0.048651237953315565
ACH-000415,-0.02117872385071545
ACH-000416,-0.0039482174306342535
ACH-000420,0.2071491945936708
ACH-000421,-0.13550207395448302
ACH-000424,-0.03627534387400304
ACH-000425,-0.022469351336973874
ACH-000426,-0.19515066746007376
ACH-000427,-0.012251390829133776
ACH-000433,-0.10600999407782068
ACH-000435,0.032744195606989206
ACH-000436,0.10097010208242918
ACH-000444,0.045126604213135434
ACH-000445,0.02066258490338176
ACH-000448,0.024456671757317004
ACH-000450,-0.28245481084448115
ACH-000452,-0.03805776412935467
ACH-000454,-0.09537068334208508
ACH-000458,0.04406095227449408
ACH-000459,-0.02536933059169851
ACH-000460,-0.000812627298670175
ACH-000461,0.07205011053199503
ACH-000463,0.1192796682212977
ACH-000464,-0.02739632020668922
ACH-000466,0.09610993920836658
ACH-000467,-0.08772104933855678
ACH-000468,0.09020621376392307
ACH-000469,-0.010167721463989044
ACH-000470,0.04514489962696115
ACH-000471,-0.10906245498558342
ACH-000472,-0.010464194727265643
ACH-000473,-0.0793986382079998
ACH-000475,-0.04449286743499914
ACH-000476,0.04471830667501187
ACH-000477,0.04315388739089317
ACH-000479,0.06575074617399658
ACH-000480,0.06016926347194523
ACH-000481,0.03871553685232515
ACH-000483,0.015369015301994837
ACH-000484,0.07545957865080283
ACH-000485,-0.1109830934393852
ACH-000486,-0.026863314261075417
ACH-000487,-0.031004826155475337
ACH-000488,0.025677114341142743
ACH-000490,-0.0831482125831051
ACH-000491,0.005484410644185315
ACH-000495,-0.06502303936187526
ACH-000496,0.00782795211221657
ACH-000499,0.02732371400112495
ACH-000500,0.35087604181517484
ACH-000502,-0.033214238280577825
ACH-000503,-0.038685485103663264
ACH-000505,0.044390236607090884
ACH-000507,-0.03523919811231546
ACH-000510,0.09774496574420803
ACH-000511,0.07596659427218931
ACH-000512,0.026538844448099588
ACH-000516,0.10004557983672513
ACH-000517,0.10790207248772044
ACH-000518,-0.11761567502281013
ACH-000520,0.10088743259230837
ACH-000521,-0.0106603341141241
ACH-000522,-0.06414139568517327
ACH-000524,0.08378205893929877
ACH-000527,0.012761079006935228
ACH-000528,0.01992096644350697
ACH-000537,-0.029275900836909063
ACH-000541,0.09967285961953236
ACH-000542,0.022686560125851216
ACH-000544,-0.08330872048992151
ACH-000545,-0.09406741716094688
ACH-000547,-0.12141456645022722
ACH-000548,-0.004629991061738117
ACH-000549,-0.03085863710849367
ACH-000550,-0.08967157361683956
ACH-000552,-0.008827269621959994
ACH-000556,-0.06489513651418931
ACH-000557,-0.0550624211167844
ACH-000569,-0.2875471999056213
ACH-000570,0.02394300605575757
ACH-000571,0.04155277015714444
ACH-000573,-0.11774730979795747
ACH-000576,0.1762246596241675
ACH-000579,-0.2064738426636313
ACH-000580,-0.29555096510138745
ACH-000584,0.06455412575814884
ACH-000585,-0.0026125722699657486
ACH-000588,0.08155643726795803
ACH-000589,-0.0284434167865172
ACH-000591,0.1790564616398014
ACH-000593,0.09641766183687607
ACH-000600,0.12200923398276148
ACH-000601,-0.09157150360796476
ACH-000605,0.061537696082046386
ACH-000606,-0.07007030067464774
ACH-000608,-0.03373733716229816
ACH-000614,-0.06918478680444043
ACH-000616,-0.2369567984332437
ACH-000618,-0.18372295331297656
ACH-000619,0.02042697233258082
ACH-000620,0.018027593603246843
ACH-000621,0.04916991691137877
ACH-000622,0.045209995227728415
ACH-000623,0.03078519826407125
ACH-000624,0.01792067402056791
ACH-000627,0.012858913118129707
ACH-000630,-0.003168692553869793
ACH-000631,0.036266115839041095
ACH-000632,0.0848307407941286
ACH-000633,0.00969098241236506
ACH-000637,-0.04300013122836125
ACH-000638,-0.22055165868067125
ACH-000646,0.025384864447625652
ACH-000647,-0.07077849153984163
ACH-000648,0.04973059181376549
ACH-000649,0.09726680042600327
ACH-000651,0.032463584679954416
ACH-000652,-0.11787746669111428
ACH-000653,-0.03148866388128499
ACH-000657,-0.039621026064221736
ACH-000658,0.04980073920802297
ACH-000661,-0.07321008307258296
ACH-000662,0.02740550903225229
ACH-000663,-0.04140542010807925
ACH-000665,-0.0036094452136392775
ACH-000671,-0.009667362666319906
ACH-000672,0.17513267428378088
ACH-000673,0.03986337181274266
ACH-000676,-0.06507466431363879
ACH-000677,-0.1130255914017903
ACH-000681,-0.06532153620783254
ACH-000683,0.05598627840959613
ACH-000684,-0.001236238889597055
ACH-000688,0.08869503464955879
ACH-000693,-0.017769665393177096
ACH-000694,0.11804368248827457
ACH-000695,-0.008940236513926501
ACH-000696,0.02871380210063885
ACH-000697,-0.03216634460136386
ACH-000699,-0.03147679552054567
ACH-000701,0.12129054135645224
ACH-000706,0.058022171088294335
ACH-000711,0.0572214254811402
ACH-000713,0.03908597723622767
ACH-000714,0.18298060776473105
ACH-000718,-0.09662304497526993
ACH-000720,0.06648649497234238
ACH-000721,-0.021867086481003717
ACH-000724,0.00488717960178622
ACH-000725,-0.10091020585871736
ACH-000732,0.0571004094900961
ACH-000734,-0.07783043520138552
ACH-000735,0.12321072126208114
ACH-000736,-0.008659803146299445
ACH-000738,0.023191365966997547
ACH-000746,0.052190059819244114
ACH-000747,0.11461158877381593
ACH-000748,-0.0674888024399388
ACH-000753,0.02284911177420912
ACH-000756,0.1076549148630966
ACH-000757,-0.14843346216339678
ACH-000758,-0.007986923329306622
ACH-000760,0.0033330360398549554
ACH-000762,-0.10203868726605526
ACH-000763,0.09589312042257862
ACH-000764,-0.2375758475937405
ACH-000765,0.029055358019807857
ACH-000766,0.0647707489523761
ACH-000767,0.07591392259191643
ACH-000768,-0.052819342267954095
ACH-000769,-0.12295379656885833
ACH-000770,-0.0011588198130616267
ACH-000771,-0.040669417645021584
ACH-000773,-0.007598910055146556
ACH-000776,0.03128864579128232
ACH-000777,-0.09654603170288556
ACH-000778,-0.048435060728324486
ACH-000781,0.0643705071501528
ACH-000782,-0.01826363905277948
ACH-000783,-0.05184609809542516
ACH-000784,-0.003585802990148297
ACH-000785,-0.03772439979163917
ACH-000787,0.06646953962170837
ACH-000788,0.07783560576921399
ACH-000791,-0.051301632229096734
ACH-000792,-0.05624456866844965
ACH-000794,-0.004712756899043799
ACH-000796,0.1117824543005344
ACH-000798,0.12394494279341317
ACH-000799,-0.1910924865550578
ACH-000800,-0.03605111146472609
ACH-000802,-0.003689466878527811
ACH-000804,0.22582745767002066
ACH-000805,0.09932497135191068
ACH-000809,-0.059575901398566875
ACH-000810,0.22860360754869274
ACH-000811,0.0025455314097020698
ACH-000817,-0.06506677808881947
ACH-000819,-0.045190377773790286
ACH-000820,-0.07041120132217564
ACH-000821,-0.07351403848627609
ACH-000822,-0.029650608579308926
ACH-000823,-0.05825789101246327
ACH-000824,-0.056648072262381076
ACH-000827,0.03308588448334932
ACH-000829,0.161205645057897
ACH-000831,-0.008890315959743484
ACH-000832,-0.01751048501484231
ACH-000833,0.12908161149916972
ACH-000834,-0.04725367225698178
ACH-000835,-0.05319788938884832
ACH-000836,0.13422390232969508
ACH-000837,0.043490709637663265
ACH-000838,0.004975714551051445
ACH-000839,-0.014564493428874403
ACH-000840,-0.08107701366744872
ACH-000841,0.1575179559154889
ACH-000843,-0.10618504576291364
ACH-000846,-0.24946218544813226
ACH-000847,0.028234029265289545
ACH-000848,-0.03769892920874605
ACH-000849,0.06919954264881394
ACH-000851,0.08257545688211781
ACH-000855,-0.07301564171725905
ACH-000856,0.006769419839046509
ACH-000858,-0.017050966203007185
