,WARS2 (10352)
ACH-000004,-0.03513235195046505
ACH-000005,-0.010237807484820205
ACH-000007,-0.496876833977277
ACH-000009,-0.33237553092513256
ACH-000011,-0.09883038626217842
ACH-000012,-0.4403936431897808
ACH-000013,-0.17967869619032775
ACH-000014,-0.3542573711970559
ACH-000015,-0.3658169494203016
ACH-000017,-0.265899711345765
ACH-000018,-0.5163225127268614
ACH-000019,-0.37879127074757424
ACH-000021,-0.3031793853561277
ACH-000022,-0.5335756452853948
ACH-000025,-0.4890007350813428
ACH-000028,-0.3934379670596957
ACH-000030,-0.2615186184332314
ACH-000035,-0.3678253838813099
ACH-000036,-0.09177280256956777
ACH-000037,-0.2403026138376539
ACH-000039,-0.1042642350189637
ACH-000040,-0.16980918355883082
ACH-000041,-0.2630686230663004
ACH-000042,-0.20965030541363128
ACH-000045,-0.44568588402162224
ACH-000047,-0.28618707542586624
ACH-000052,-0.31604235755411386
ACH-000053,-0.18512197698317814
ACH-000054,-0.06423775624321844
ACH-000055,-0.23788351396978816
ACH-000060,-0.23784293907967466
ACH-000067,-0.27082320773645346
ACH-000070,-0.2093117173339364
ACH-000075,-0.4097379083888002
ACH-000078,-0.1605796845548458
ACH-000082,-0.18548428267672065
ACH-000085,-0.27946943541471364
ACH-000086,-0.5602317372671711
ACH-000087,-0.5350040836254011
ACH-000092,-0.3345321888683149
ACH-000095,-0.1152039871524747
ACH-000097,-0.13622445942076888
ACH-000098,-0.31048268133229595
ACH-000099,-0.3394017333080088
ACH-000108,-0.3303874983844088
ACH-000113,-0.39278504654488455
ACH-000116,-0.21410211509291285
ACH-000118,-0.4632685016999919
ACH-000120,-0.1998617921604965
ACH-000123,-0.4011498267431009
ACH-000127,-0.4981113093133726
ACH-000128,-0.3701361889963712
ACH-000132,-0.2646632813269923
ACH-000133,-0.3732358011683092
ACH-000137,-0.4022914369942507
ACH-000138,-0.1961349979026895
ACH-000142,-0.3113316810883147
ACH-000143,-0.3494550991408511
ACH-000146,-0.24745215030581386
ACH-000148,-0.5502661707446942
ACH-000150,-0.5803902073506166
ACH-000152,-0.2901942840773619
ACH-000153,-0.3422366473042425
ACH-000159,-0.37027566453704575
ACH-000160,-0.4591427186591808
ACH-000163,-0.21264453302445147
ACH-000167,-0.267885735077856
ACH-000168,0.033766857167724734
ACH-000169,-0.2670274338074673
ACH-000178,-0.2741132095682809
ACH-000183,-0.3299531652057076
ACH-000188,-0.3592336295179541
ACH-000189,-0.31060511060618184
ACH-000190,-0.4488234548620071
ACH-000198,-0.2387012416054773
ACH-000203,0.16092484886172634
ACH-000204,-0.4126500016072816
ACH-000206,-0.2846918703534055
ACH-000207,-0.4983126055121624
ACH-000208,-0.471154211758575
ACH-000210,-0.369146705937678
ACH-000211,-0.20788934985805452
ACH-000215,-0.38824491567150027
ACH-000221,-0.5807401770712365
ACH-000222,-0.21211392286275044
ACH-000223,-0.35033097174229466
ACH-000226,-0.19903864458458784
ACH-000227,-0.2256285566751909
ACH-000228,-0.19627467036636392
ACH-000231,-0.2753137380378441
ACH-000232,-0.0759820308434621
ACH-000233,-0.21448803200032826
ACH-000234,-0.3089995645779189
ACH-000235,-0.2888273608113482
ACH-000237,-0.1817936350728849
ACH-000238,-0.2718874189969872
ACH-000242,-0.14115177823974914
ACH-000243,-0.2295218143740647
ACH-000244,-0.11651703735677407
ACH-000246,-0.1962910407345379
ACH-000248,-0.18133358805347954
ACH-000250,-0.1609424373026511
ACH-000251,-0.2272695903119793
ACH-000252,-0.29181742034703045
ACH-000253,-0.23094126668668635
ACH-000255,-0.3097586936191392
ACH-000256,-0.20261319616668094
ACH-000257,-0.4520533979911355
ACH-000258,-0.15364892743359368
ACH-000259,-0.27162584674104423
ACH-000260,-0.36437700959911656
ACH-000261,-0.2090219905151648
ACH-000262,-0.31543166804943124
ACH-000263,-0.437705641693058
ACH-000264,-0.18081966683860956
ACH-000265,-0.34743917541526675
ACH-000266,-0.14816216391928694
ACH-000272,-0.2152297384530786
ACH-000274,-0.18276880537811008
ACH-000277,-0.29533566581552484
ACH-000278,-0.2255420266232245
ACH-000279,-0.21595418707972508
ACH-000280,-0.03905605186817593
ACH-000281,-0.21841528941061347
ACH-000288,-0.4793956993572098
ACH-000291,-0.30781574274043383
ACH-000293,-0.21518905456718268
ACH-000294,-0.21617296678457049
ACH-000295,-0.14231552894790964
ACH-000296,-0.24130397002169798
ACH-000302,-0.2870449848477524
ACH-000304,-0.3150920580561791
ACH-000307,-0.2757372562128548
ACH-000308,-0.2597853308043787
ACH-000310,-0.09408224173229436
ACH-000311,-0.3517569250462557
ACH-000312,-0.2534731283898786
ACH-000315,-0.20400941040240492
ACH-000316,-0.4134267835977792
ACH-000317,-0.6777434625398546
ACH-000318,-0.2431511024427502
ACH-000319,-0.10078368998191099
ACH-000320,-0.3637462692598897
ACH-000322,-0.4739527675350356
ACH-000323,-0.4482230850041277
ACH-000324,-0.060024118342639016
ACH-000329,-0.4513404087892495
ACH-000330,-0.20346272441083985
ACH-000331,-0.3292413047733688
ACH-000332,-0.15634714203685898
ACH-000334,-0.3993980411599717
ACH-000335,-0.5516505598537902
ACH-000336,-0.4432323711266373
ACH-000337,-0.13593520353004512
ACH-000338,-0.5380962077416509
ACH-000339,-0.15921436766170474
ACH-000341,-0.3693405959836697
ACH-000348,-0.27202578558436274
ACH-000350,-0.2234468230161574
ACH-000352,-0.2306525507936113
ACH-000356,-0.3069364212225543
ACH-000361,-0.2778967058994093
ACH-000362,-0.16855728864394334
ACH-000363,-0.2907452003449417
ACH-000364,-0.2556035499477053
ACH-000365,-0.3094550197621705
ACH-000366,-0.2890263327540114
ACH-000368,-0.3970112086512621
ACH-000374,-0.4033346670809446
ACH-000375,-0.3028211642364867
ACH-000376,-0.698907879870738
ACH-000381,-0.36003204975497644
ACH-000383,-0.2920099422543798
ACH-000387,-0.1664656160662893
ACH-000389,-0.10114890130175548
ACH-000390,-0.4235547037818792
ACH-000393,-0.3352415711699415
