,CYP2S1 (29785)
ACH-000004,-0.1155454970585684
ACH-000005,-0.13883986207620916
ACH-000007,-0.14383951216364765
ACH-000009,-0.18922054336364996
ACH-000011,-0.1754095265072613
ACH-000012,-0.13561898340521958
ACH-000013,-0.19743927442868603
ACH-000014,-0.16480236411238705
ACH-000015,-0.12937388877901893
ACH-000017,-0.16860708149877995
ACH-000018,-0.20466588923379925
ACH-000019,-0.3526254903941564
ACH-000021,-0.15087037513459406
ACH-000022,-0.043494700498712825
ACH-000025,0.017546873554242292
ACH-000028,-0.15492652939108473
ACH-000030,-0.17860448911848115
ACH-000035,-0.1796863227765693
ACH-000036,-0.20017124632707503
ACH-000037,-0.009172258115919648
ACH-000039,-0.14718047905409132
ACH-000040,-0.05994170217026504
ACH-000041,-0.1966261978073988
ACH-000042,-0.18211940124948967
ACH-000045,-0.12063787226894206
ACH-000047,-0.08818841915849973
ACH-000052,-0.007699781663838706
ACH-000053,-0.2363712476839803
ACH-000054,-0.21511268212683046
ACH-000055,-0.0378699218036519
ACH-000060,0.054170582564325685
ACH-000067,-0.018010675833346097
ACH-000070,-0.2515609333131729
ACH-000075,-0.2289267054146192
ACH-000078,-0.19727927850889868
ACH-000082,-0.13703533386816416
ACH-000085,-0.2630640053944163
ACH-000086,-0.14395209020614985
ACH-000087,-0.4172331211581908
ACH-000092,-0.12193882481710698
ACH-000095,-0.054982514509663925
ACH-000097,-0.21113011849564284
ACH-000098,-0.24383140068902145
ACH-000099,-0.1409350665658987
ACH-000108,-0.1680765872665996
ACH-000113,-0.06367833632102697
ACH-000116,-0.08065386033176547
ACH-000118,-0.18282943976536492
ACH-000120,-0.13869050427890794
ACH-000123,-0.10262648219003884
ACH-000127,-0.18534392992617746
ACH-000128,-0.05338056822321841
ACH-000132,-0.0988380923199617
ACH-000133,-0.11323732574648628
ACH-000137,-0.17898503980622704
ACH-000138,-0.17620611055348062
ACH-000142,-0.14909777160749746
ACH-000143,-0.01615844365505226
ACH-000146,-0.14176010641944
ACH-000148,-0.09415394723413698
ACH-000150,-0.17997510197936706
ACH-000152,-0.0737362015768968
ACH-000153,-0.2226805018705968
ACH-000159,-0.12863112353438969
ACH-000160,-0.15926963711519895
ACH-000163,-0.04603428182591683
ACH-000167,-0.0712510930430338
ACH-000168,-0.08589438471020781
ACH-000169,-0.11777877273718974
ACH-000178,-0.06872672749817646
ACH-000183,-0.2573500546106897
ACH-000188,-0.08968312973234044
ACH-000189,-0.13502119206946106
ACH-000190,-0.435485829179902
ACH-000198,-0.2381157002436988
ACH-000203,-0.39164317574304996
ACH-000204,-0.1755101000472889
ACH-000206,-0.1203999902074356
ACH-000207,-0.13778809170170728
ACH-000208,-0.04199174952738381
ACH-000210,-0.3674398992867112
ACH-000211,-0.13131501437277185
ACH-000215,-0.12106192325715028
ACH-000221,-0.1925170186184545
ACH-000222,-0.05710234277063591
ACH-000223,-0.041327748992612885
ACH-000226,-0.1454085990426992
ACH-000227,-0.10488340456278852
ACH-000228,-0.25602886702504835
ACH-000231,-0.10081619095907048
ACH-000232,-0.16676817750872047
ACH-000233,-0.2551967935467542
ACH-000234,-0.1730088207958512
ACH-000235,-0.20115025152596736
ACH-000237,-0.15202942080307344
ACH-000238,-0.12690204343911732
ACH-000242,0.04902744546251762
ACH-000243,-0.12869918115001036
ACH-000244,-0.19910541854356767
ACH-000246,-0.18511773540479184
ACH-000248,-0.3158592749167093
ACH-000250,-0.1337615975011476
ACH-000251,-0.12458340014015935
ACH-000252,-0.10248545386361188
ACH-000253,-0.1555059630036229
ACH-000255,-0.13197358909243725
ACH-000256,0.011720823385624114
ACH-000257,-0.017350448412064744
ACH-000258,-0.09369282578711473
ACH-000259,-0.11249600374103688
ACH-000260,-0.2096981309851296
ACH-000261,-0.22166271014174052
ACH-000262,-0.1886303904108213
ACH-000263,-0.3252677651881812
ACH-000264,-0.04491423182620537
ACH-000265,-0.22254395888898487
ACH-000266,-0.15569405527854452
ACH-000272,-0.04846119097622662
ACH-000274,-0.07723125013282671
ACH-000277,-0.07147200074283885
ACH-000278,-0.05848042026951534
ACH-000279,-0.10316987114791262
ACH-000280,-0.3344851373882333
ACH-000281,-0.15253016057001795
ACH-000288,-0.0378687779481228
ACH-000291,-0.15073967676259772
ACH-000293,-0.09226756746593384
ACH-000294,-0.19761381867491115
ACH-000295,-0.21773742810919972
ACH-000296,-0.1142694799013621
ACH-000302,-0.3638739818854013
ACH-000304,-0.005856593512537539
ACH-000307,-0.026241227167790426
ACH-000308,-0.19589197406886252
ACH-000310,-0.07741540261430818
ACH-000311,-0.10349140585535503
ACH-000312,-0.1431566483292463
ACH-000315,-0.32841193914373434
ACH-000316,0.10918179209569942
ACH-000317,0.0639607382980191
ACH-000318,-0.35153134223528576
ACH-000319,-0.18231432380536106
ACH-000320,-0.10376103746627373
ACH-000322,-0.14782588796674992
ACH-000323,-0.19621846196387374
ACH-000324,-0.08460913993805202
ACH-000329,-0.14886718168527305
ACH-000330,-0.22998230194132466
ACH-000331,0.022802294832760868
ACH-000332,-0.22614307056768634
ACH-000334,-0.17839812310938574
ACH-000335,-0.2126513954689896
ACH-000336,-0.07602050575556639
ACH-000337,-0.12680590521017468
ACH-000338,-0.12129810752423599
ACH-000339,-0.2561586450630323
ACH-000341,0.0018038259401158129
ACH-000348,-0.116091107704985
ACH-000350,-0.08180196014663346
ACH-000352,-0.044018629812725946
ACH-000356,-0.08003964500045739
ACH-000361,-0.08952521426653719
ACH-000362,-0.22242601909663126
ACH-000363,-0.06289914789324214
ACH-000364,-0.14784740372837088
ACH-000365,-0.21180106880759889
ACH-000366,-0.23718312285387336
ACH-000368,-0.11255834471699362
ACH-000374,0.02956639848514085
ACH-000375,-0.3213095271406856
ACH-000376,0.0026895613512571692
ACH-000381,-0.240966669088728
ACH-000383,-0.07221006379173049
ACH-000387,-0.1926718543451224
ACH-000389,0.04789610288049355
ACH-000390,-0.21636043228679055
ACH-000393,-0.06748714631799971
ACH-000395,-0.3289383492969725
ACH-000396,-0.3736212986118528
ACH-000397,-0.08713771780908874
ACH-000401,0.006623295559543785
ACH-000402,-0.2958325486582452
ACH-000403,-0.09942267651123514
ACH-000404,0.08081878439474659
ACH-000406,-0.12057711858010227
ACH-000407,-0.12828621986248548
ACH-000408,-0.18919041214931687
ACH-000410,-0.14121943021557412
ACH-000411,-0.22932069283494436
ACH-000414,-0.08507285699012092
ACH-000415,-0.10362802992381563
ACH-000416,-0.16245399895458362
ACH-000420,-0.137649357193513
ACH-000421,-0.26956546451880226
ACH-000424,-0.2121753444411152
ACH-000425,-0.1866091705377864
ACH-000426,-0.2904722497442158
ACH-000427,-0.08305889303274801
ACH-000433,-0.12228644536019323
ACH-000435,-0.3235466883939863
ACH-000436,-0.23654504374346716
ACH-000444,-0.14627502028193864
ACH-000445,-0.11154879910965056
ACH-000448,-0.19868435936246895
ACH-000450,0.0517417290305014
ACH-000452,-0.07819984833875337
ACH-000454,-0.0762627542607867
ACH-000458,-0.1049047313662141
ACH-000459,-0.24070487159638596
ACH-000460,-0.1375624482846304
ACH-000461,-0.01658304352640669
ACH-000463,-0.09819192616419876
ACH-000464,-0.2887125934166265
ACH-000466,-0.2234308731976785
ACH-000467,-0.09171174063252456
ACH-000468,-0.23273699271513154
ACH-000469,-0.07228245876443637
ACH-000470,-0.02401686209261634
ACH-000471,-0.08387152785435671
ACH-000472,-0.18724061219371516
ACH-000473,-0.15290271877220654
ACH-000475,-0.16010073416144135
ACH-000476,-0.16069404733974516
ACH-000477,-0.19447574652021474
ACH-000479,-0.13920272284512744
ACH-000480,-0.07953661302059839
ACH-000481,-0.1285797533590578
ACH-000483,-0.15398291594549668
ACH-000484,-0.24506947646153426
ACH-000485,-0.08101100773480698
ACH-000486,-0.08169004135046422
ACH-000487,-0.2339153568739948
ACH-000488,-0.1109671737778046
ACH-000490,-0.14536082420626234
ACH-000491,-0.2464912429712374
ACH-000495,-0.07144860986497897
ACH-000496,-0.061591185354859426
ACH-000499,-0.18110246126297685
ACH-000500,-0.06813067479057038
ACH-000502,-0.16012782403676265
ACH-000503,-0.11365426925877525
ACH-000505,-0.24600455055436485
ACH-000507,-0.11046118820337976
ACH-000510,-0.3550225629139437
ACH-000511,-0.10820099539308108
ACH-000512,0.041887114309515305
ACH-000516,-0.14396493893173984
ACH-000517,-0.2603439549492786
ACH-000518,-0.12909108143330394
ACH-000520,0.013437171998062854
ACH-000521,-0.11647299528114115
ACH-000522,-0.13703767469804576
ACH-000524,-0.19242325755363676
