,NMD3 (51068)
ACH-000004,-0.95289799720985
ACH-000005,-0.8655040312734854
ACH-000007,-1.0479583921183953
ACH-000009,-1.037255207764619
ACH-000011,-0.8364800956851838
ACH-000012,-0.9698063230585008
ACH-000013,-0.7615345342212047
ACH-000014,-0.9143247002233856
ACH-000015,-1.0318764040280357
ACH-000017,-0.7052060984575871
ACH-000018,-1.0467703060598683
ACH-000019,-0.7008215114936364
ACH-000021,-1.1181877234151585
ACH-000022,-0.905790331501878
ACH-000025,-0.9191946098610418
ACH-000028,-0.9089494760791516
ACH-000030,-0.8132790567334965
ACH-000035,-1.0766709451104604
ACH-000036,-0.9566520606560859
ACH-000037,-1.27945059140043
ACH-000039,-0.7969218624638725
ACH-000040,-0.9574205139750784
ACH-000041,-1.0932527657581053
ACH-000042,-0.8971524724286887
ACH-000045,-0.8553739539515258
ACH-000047,-0.8709270362552533
ACH-000052,-1.2761353276550274
ACH-000053,-1.0509814974267075
ACH-000054,-0.8468839161613181
ACH-000055,-0.98330919429648
ACH-000060,-0.8770816742804083
ACH-000067,-1.07964359828738
ACH-000070,-0.7236323711756327
ACH-000075,-1.1190235350594546
ACH-000078,-1.0857340815157888
ACH-000082,-1.0077512817386336
ACH-000085,-0.9835089125778692
ACH-000086,-1.0884208432247422
ACH-000087,-0.9878574218822164
ACH-000092,-0.8924444928198053
ACH-000095,-0.9990202882624004
ACH-000097,-0.9907914114885368
ACH-000098,-0.8876132333793801
ACH-000099,-1.1613604703485845
ACH-000108,-1.033388167809608
ACH-000113,-0.6672532935994805
ACH-000116,-0.7760578886174441
ACH-000118,-0.9113948608630552
ACH-000120,-1.033164957417004
ACH-000123,-0.8972668304517567
ACH-000127,-1.1834367966224724
ACH-000128,-1.0146616621010591
ACH-000132,-0.7317199302246519
ACH-000133,-0.9748601293704448
ACH-000137,-1.0116753681924064
ACH-000138,-0.9048378037843016
ACH-000142,-0.90986377321927
ACH-000143,-0.950704765943764
ACH-000146,-0.949331306800172
ACH-000148,-0.98505399049577
ACH-000150,-1.0032043733516556
ACH-000152,-1.1386617187124541
ACH-000153,-0.8793955983184153
ACH-000159,-0.9733639965925608
ACH-000160,-1.0045253211996887
ACH-000163,-1.0071094413961237
ACH-000167,-1.1092180141412924
ACH-000168,-0.8150313321812963
ACH-000169,-1.0753538967772258
ACH-000178,-0.958101896017556
ACH-000183,-0.9941220330658852
ACH-000188,-0.7142752124053122
ACH-000189,-0.9887281155734576
ACH-000190,-1.066920975132151
ACH-000198,-0.7992009173014623
ACH-000203,-1.246085130576674
ACH-000204,-0.8150489395852529
ACH-000206,-1.002253128393455
ACH-000207,-0.7972462678593962
ACH-000208,-0.7641609913285464
ACH-000210,-1.068415812342113
ACH-000211,-0.8138645067698022
ACH-000215,-1.0075286952917355
ACH-000221,-1.1909328774336696
ACH-000222,-1.0184465954027984
ACH-000223,-0.8483768327512402
ACH-000226,-0.8692868466814321
ACH-000227,-0.6198890500658956
ACH-000228,-0.8247229382162541
ACH-000231,-1.1298229312665804
ACH-000232,-1.009176216142094
ACH-000233,-0.8790088132174616
ACH-000234,-0.9121203419255564
ACH-000235,-1.0134687994807758
ACH-000237,-1.0565196381297493
ACH-000238,-0.9532143134400896
ACH-000242,-0.950564695167038
ACH-000243,-0.8694674636164089
ACH-000244,-1.0617501349877572
ACH-000246,-1.012668350973343
ACH-000248,-0.8515028000186082
ACH-000250,-0.8430871141641237
ACH-000251,-0.9450656733209076
ACH-000252,-1.059546219747184
ACH-000253,-1.0565932151254716
ACH-000255,-1.009488326204652
ACH-000256,-0.8453117227403415
