,AXL (558)
ACH-000004,-0.11364578050189494
ACH-000005,-0.15291350143627394
ACH-000007,-0.13164862288233675
ACH-000009,-0.118138216974849
ACH-000011,0.09564070112326464
ACH-000012,-0.029930740830251237
ACH-000013,-0.1325341316991947
ACH-000014,-0.2604296049437313
ACH-000015,-0.2012821207421185
ACH-000017,-0.028221197204672317
ACH-000018,-0.14952677671766545
ACH-000019,-0.05866453795315926
ACH-000021,-0.08709196862995049
ACH-000022,-0.04335433005257123
ACH-000025,-0.2464024468385124
ACH-000028,-0.08916392299612587
ACH-000030,-0.1909434208040004
ACH-000035,-0.1332090637357246
ACH-000036,-0.01712537272085101
ACH-000037,0.09079706628944301
ACH-000039,-0.11636639725693335
ACH-000040,-0.07924387852327762
ACH-000041,-0.09293985174228517
ACH-000042,-0.1563590805462398
ACH-000045,0.06786143182139512
ACH-000047,-0.010723974040827521
ACH-000052,-0.3256967174717375
ACH-000053,-0.10663908131850433
ACH-000054,-0.1168214647033573
ACH-000055,-0.04640049626429503
ACH-000060,-0.3463763127277337
ACH-000067,-0.029888665816763763
ACH-000070,0.05483884387498795
ACH-000075,-0.3458031081405342
ACH-000078,-0.13714761232466496
ACH-000082,-0.09093034416458873
ACH-000085,-0.13512642315557594
ACH-000086,-0.15727924381932715
ACH-000087,-0.3488371735818919
ACH-000092,-0.03610176453056879
ACH-000095,-0.05301927555363041
ACH-000097,-0.09846890781179918
ACH-000098,-0.28604967052185915
ACH-000099,0.03408456104277163
ACH-000108,-0.1329433078638712
ACH-000113,-0.10868417385549788
ACH-000116,0.03792232163610007
ACH-000118,-0.06989015728568017
ACH-000120,-0.1772990058347125
ACH-000123,-0.028731197181169173
ACH-000127,-0.07510706066891189
ACH-000128,-0.03281434076369754
ACH-000132,-0.23458900998385204
ACH-000133,-0.15409408601880495
ACH-000137,-0.2984455949909633
ACH-000138,-0.08798035088371342
ACH-000142,-0.15202156486808832
ACH-000143,-0.039448775092294816
ACH-000146,-0.046698183050544885
ACH-000148,0.03917050393432478
ACH-000150,-0.1172003249622222
ACH-000152,-0.08291761797015723
ACH-000153,-0.10341186064498016
ACH-000159,0.046913100376137364
ACH-000160,-0.12118070813639906
ACH-000163,-0.18660756963651415
ACH-000167,0.12166065359026094
ACH-000168,-0.15860198417403498
ACH-000169,-0.0337650148038231
ACH-000178,-0.22356829133986394
ACH-000183,0.012856528526642048
ACH-000188,-0.027486891939278262
ACH-000189,-0.2706108875703076
ACH-000190,-0.2703888143792849
ACH-000198,-0.17994356991219254
ACH-000203,0.3002220464998694
ACH-000204,-0.020068407466332736
ACH-000206,-0.09072283669099564
ACH-000207,-0.17907252045254782
ACH-000208,-0.15724482174133558
ACH-000210,-0.295584165282203
ACH-000211,-0.08483095912311968
ACH-000215,-0.045027710973843615
ACH-000221,-0.21088786633498527
ACH-000222,-0.002791220692349016
ACH-000223,-0.06133659905731038
ACH-000226,-0.03432723983375402
ACH-000227,-0.003462022538468107
ACH-000228,-0.07434856718033009
ACH-000231,-0.02835428610128128
ACH-000232,-0.385022881369199
ACH-000233,-0.11093065286246866
ACH-000234,-0.03686533622357428
ACH-000235,-0.1280510473726633
ACH-000237,-0.13315027984711378
ACH-000238,-0.031193308177545218
ACH-000242,0.01441559878612277
ACH-000243,-0.015174922496854438
ACH-000244,0.014561311890544075
ACH-000246,-0.09889429705512147
ACH-000248,-0.20302657372632044
ACH-000250,-0.1062396697913021
ACH-000251,-0.2585911588428339
ACH-000252,-0.13165021179517858
ACH-000253,-0.061614302072786474
ACH-000255,-0.21695502347285814
ACH-000256,-0.08291690019591118
ACH-000257,0.020360211370778574
ACH-000258,0.00724035398731868
ACH-000259,0.037936391152058484
ACH-000260,-0.1153088986128211
ACH-000261,-0.19941396322802127
ACH-000262,-0.1910701008878808
ACH-000263,-0.09446076349045657
ACH-000264,-0.05760394870341795
ACH-000265,-0.16460826087718666
ACH-000266,-0.13409729643647927
ACH-000272,0.015250029558413113
ACH-000274,-0.033755217524372785
ACH-000277,-0.025717963477440414
ACH-000278,-0.12215248991267508
ACH-000279,-0.041667885179476144
ACH-000280,-0.14267934813645194
ACH-000281,-0.0781715813355079
ACH-000288,-0.1089640330255879
ACH-000291,0.019882530188409814
ACH-000293,-0.035656761671713964
ACH-000294,0.0018031178995691227
ACH-000295,0.012010795602091359
ACH-000296,-0.1214922477202537
ACH-000302,-0.12524351598236938
ACH-000304,-0.15024694638246294
ACH-000307,0.03542476865438975
ACH-000308,-0.14872631512159826
ACH-000310,-0.009339463290333696
ACH-000311,-0.08359861971232782
ACH-000312,-0.0958138444225871
ACH-000315,0.14359038334423213
ACH-000316,-0.02508793318900056
ACH-000317,-0.000972678126252483
ACH-000318,-0.1693878921975893
ACH-000319,-0.2062579544769655
ACH-000320,0.01995781096558756
ACH-000322,-0.1842943262740881
ACH-000323,-0.08715809143877543
ACH-000324,-0.03167377803395568
ACH-000329,-0.13361534810897802
ACH-000330,0.05807109923184591
ACH-000331,0.027861734032291915
ACH-000332,-0.036104075844981716
ACH-000334,-0.05365433844308567
ACH-000335,-0.10920300631381713
ACH-000336,-0.05679150987769654
ACH-000337,-0.22480831535322046
ACH-000338,-0.05927392931015193
ACH-000339,-0.08193425409141797
ACH-000341,-0.1509730527036914
ACH-000348,-0.17581446820181462
ACH-000350,-0.08498282400762817
ACH-000352,-0.09785673261966088
ACH-000356,-0.03642564110435839
ACH-000361,-0.15912390148262304
ACH-000362,-0.1896201794775797
ACH-000363,0.06966018599184777
ACH-000364,-0.22402498546957267
ACH-000365,-0.11475672494989145
ACH-000366,-0.15479637984851502
ACH-000368,-0.09019219155539132
ACH-000374,0.17550013149306715
ACH-000375,-0.10700567968221172
ACH-000376,-0.04074506014717285
ACH-000381,0.08136298382571269
ACH-000383,-0.07119238233014304
ACH-000387,-0.013017959263205795
ACH-000389,-0.008929542377047992
ACH-000390,0.05234436580782946
ACH-000393,-0.12069181559891295
ACH-000395,-0.32640180567542976
ACH-000396,-0.079986367990525
ACH-000397,-0.1836284294849219
ACH-000401,0.017648896198976444
ACH-000402,-0.1490389256574929
ACH-000403,-0.08240667030643106
ACH-000404,-0.2601118348898199
