,RASEF (158158)
ACH-000004,-0.10696291647968396
ACH-000005,-0.33734635635446514
ACH-000007,-0.33363903763522723
ACH-000009,-0.19583973986564301
ACH-000011,-0.16394108892412254
ACH-000012,-0.1088507326710026
ACH-000013,-0.18367738947459766
ACH-000014,-0.09471444990186384
ACH-000015,-0.13529194335011893
ACH-000017,-0.14393903458428553
ACH-000018,0.16989535064004205
ACH-000019,-0.1090346816612992
ACH-000021,-0.13447510226988088
ACH-000022,-0.005580091854800471
ACH-000025,-0.1535623884399992
ACH-000028,-0.19441880968738454
ACH-000030,-0.11737684055215705
ACH-000035,-0.20066200927730451
ACH-000036,-0.13547796334775494
ACH-000037,-0.12674069129552099
ACH-000039,-0.1282495625967296
ACH-000040,0.09368331118576936
ACH-000041,-0.1744329086919394
ACH-000042,-0.04671644361625738
ACH-000045,0.013499128188729812
ACH-000047,-0.10145843502804376
ACH-000052,-0.08773560438561241
ACH-000053,-0.10450013767496964
ACH-000054,-0.102402199511483
ACH-000055,0.2164779340528289
ACH-000060,0.08698705961586595
ACH-000067,0.01748145132898702
ACH-000070,-0.14653631180441146
ACH-000075,-0.14905126822322648
ACH-000078,-0.11359889381542294
ACH-000082,-0.16207081948662985
ACH-000085,-0.18459222165892808
ACH-000086,-0.15900296507182232
ACH-000087,-0.0031818074704633987
ACH-000092,-0.0964992456821682
ACH-000095,-0.02848496184699431
ACH-000097,-0.03412381520137279
ACH-000098,-0.13960729981147982
ACH-000099,-0.13293479285887816
ACH-000108,-0.07967624047337761
ACH-000113,-0.09319582236223084
ACH-000116,0.03671959796891119
ACH-000118,-0.07790302548816598
ACH-000120,-0.16734334344184262
ACH-000123,-0.04641252069873899
ACH-000127,-0.19982160661301315
ACH-000128,-0.1784060053376829
ACH-000132,-0.15618855793663125
ACH-000133,-0.16363032635557348
ACH-000137,-0.28748297277423296
ACH-000138,-0.14625249641952187
ACH-000142,-0.04884625931227903
ACH-000143,0.014008724389546423
ACH-000146,0.0005312194403306804
ACH-000148,-0.15380007863726206
ACH-000150,0.10757819838496316
ACH-000152,-0.08409852128233918
ACH-000153,-0.05686364555901685
ACH-000159,0.007227671785775864
ACH-000160,-0.16986412631369666
ACH-000163,-0.24663636901981595
ACH-000167,-0.33631292885794506
ACH-000168,0.01014938391010585
ACH-000169,-0.07354784332704342
ACH-000178,-0.017310546956278608
ACH-000183,-0.14298656268682985
ACH-000188,-0.08209322253599706
ACH-000189,0.1294777418124119
ACH-000190,-0.19976307060578985
ACH-000198,-0.008817264994390424
ACH-000203,-0.15116962166489575
ACH-000204,0.08532446406211075
ACH-000206,-0.14732771794829572
ACH-000207,-0.19621625769295856
ACH-000208,-0.12482668958312508
ACH-000210,-0.16492557890730467
ACH-000211,-0.03786900232873367
ACH-000215,-0.22023446752331732
ACH-000221,-0.01497134251517782
ACH-000222,-0.2694972965399053
ACH-000223,-0.13574887252951118
ACH-000226,-0.26211299519822623
ACH-000227,-0.16852834284183196
ACH-000228,-0.1309558500660081
ACH-000231,-0.030766397330673538
ACH-000232,-0.160629412414309
ACH-000233,-0.14538704998290328
ACH-000234,-0.17651818728634308
ACH-000235,-0.08763525762067409
ACH-000237,-0.13535313243462924
ACH-000238,-0.09062471568223576
ACH-000242,-0.05503203229984063
ACH-000243,-0.06644271387783764
ACH-000244,-0.2574474932898705
ACH-000246,0.004238467192984497
ACH-000248,-0.3919809818399319
ACH-000250,-0.03752307675443172
ACH-000251,-0.4148422542936789
ACH-000252,-0.05456950376603345
ACH-000253,-0.1704943816565085
ACH-000255,-0.10341212138039327
ACH-000256,0.11407888951634786
ACH-000257,-0.12058300907972175
ACH-000258,0.08660318356464121
ACH-000259,-0.1802234513154276
ACH-000260,-0.08527337301259133
ACH-000261,-0.07673721963443306
ACH-000262,-0.01971856742519176
ACH-000263,0.043180541544740825
ACH-000264,-0.14001400512812426
ACH-000265,-0.12388736561931568
ACH-000266,-0.08732513853942322
ACH-000272,-0.08853891248004774
ACH-000274,-0.05338961119860063
ACH-000277,-0.239135780869336
ACH-000278,-0.2919902069136633
ACH-000279,-0.06847674972718877
ACH-000280,-0.0675022720289372
ACH-000281,0.028304257419762256
ACH-000288,0.039149484661851634
ACH-000291,-0.07894006008008705
ACH-000293,-0.14345724589846645
ACH-000294,0.08630696077640775
ACH-000295,-0.3029399654200724
ACH-000296,0.02905549002590638
ACH-000302,-0.05253471035675477
ACH-000304,-0.09235052998447994
ACH-000307,-0.1381163244647649
ACH-000308,-0.06432252193333304
ACH-000310,-0.20891644637826884
ACH-000311,-0.1191101129322078
ACH-000312,-0.14088556500336472
ACH-000315,0.16918916068036602
ACH-000316,-0.08427472432988208
ACH-000317,-0.22448650434894624
ACH-000318,-0.1836526570648413
ACH-000319,-0.106444292036883
ACH-000320,-0.0645431131054502
ACH-000322,-0.006371863580498619
ACH-000323,-0.3932560255869159
ACH-000324,-0.21935318777551613
ACH-000329,-0.09238539789342708
ACH-000330,-0.2592461711733923
ACH-000331,-0.016692234540680653
ACH-000332,-0.03683424049365841
ACH-000334,0.16152605296508568
ACH-000335,-0.12044050541795792
ACH-000336,-0.12883142005139636
ACH-000337,-0.13818433416483009
ACH-000338,-0.1853739499007334
ACH-000339,-0.12397142834466073
ACH-000341,-0.045172695609353414
ACH-000348,-0.1125012819108492
ACH-000350,-0.008602303384332655
ACH-000352,0.016930807007483444
ACH-000356,-0.052917352813721716
ACH-000361,-0.14573296136243266
ACH-000362,0.028582380483557056
ACH-000363,-0.08280229017548729
ACH-000364,-0.3125615694612707
ACH-000365,-0.060949885735785934
ACH-000366,-0.12286486187893488
ACH-000368,-0.12572283380579768
ACH-000374,-0.10977294173747902
ACH-000375,-0.025218529075404426
ACH-000376,-0.21838889174095785
ACH-000381,-0.1276762286452111
ACH-000383,-0.018049973875127436
ACH-000387,-0.0062786241890712725
ACH-000389,-0.007919901345769005
ACH-000390,-0.17125558270328378
ACH-000393,-0.07123559913822251
ACH-000395,-0.29498327922635337
ACH-000396,-0.3541611853215251
ACH-000397,-0.1564101174828562
ACH-000401,0.044583012238993885
ACH-000402,-0.28496704359484376
ACH-000403,-0.04567859239831215
ACH-000404,0.002039468292385864
ACH-000406,-0.08506911202576421
ACH-000407,-0.23267906460348295
ACH-000408,-0.1641473856762644
ACH-000410,-0.21242902844844685
ACH-000411,-0.20482972063450688
ACH-000414,-0.01598130009085829
ACH-000415,-0.06431975668250736
ACH-000416,0.002067658047938143
ACH-000420,-0.050434892530775335
ACH-000421,0.03409003967865401
ACH-000424,0.056253836789636316
ACH-000425,-0.08312034453045274
ACH-000426,-0.15166040997479685
ACH-000427,-0.06452316336095558
ACH-000433,-0.0435292061286287
ACH-000435,-0.7304627449981382
ACH-000436,-0.11926172029280042
ACH-000444,-0.2491266029999629
ACH-000445,0.051062662622540174
ACH-000448,-0.04434228981642311
ACH-000450,-0.03139108270756795
ACH-000452,-0.0642216721349828
ACH-000454,-0.1791149546972302
ACH-000458,-0.05186201481219465
ACH-000459,0.1997589093421361
ACH-000460,-0.08403777339321633
ACH-000461,-0.1192727913137234
ACH-000463,-0.19732396576230704
ACH-000464,-0.016748046315387097
ACH-000466,-0.05753730020131645
ACH-000467,-0.1530831267870674
