,PLA2G2F (64600)
ACH-000004,0.06176479254473485
ACH-000005,-0.1376637379426097
ACH-000007,-0.07493482438308494
ACH-000009,-0.07319343808208781
ACH-000011,-0.024584461377020892
ACH-000012,-0.06584169593569293
ACH-000013,-0.09763082291261756
ACH-000014,-0.2580362437466389
ACH-000015,-0.13864342457432774
ACH-000017,-0.018835560653212825
ACH-000018,-0.16177659451014326
ACH-000019,-0.2799570261794946
ACH-000021,-0.05648972301939534
ACH-000022,-0.1691159706445102
ACH-000025,-0.08451317373064972
ACH-000028,-0.02869898064731665
ACH-000030,-0.034528897822117016
ACH-000035,-0.17502307740332346
ACH-000036,-0.10976576117812932
ACH-000037,-0.03080916117659511
ACH-000039,0.09748963962213436
ACH-000040,-0.05037734342367313
ACH-000041,-0.13729884208387405
ACH-000042,-0.1073389148153844
ACH-000045,0.0698498950875515
ACH-000047,-0.11521567479741132
ACH-000052,-0.14458189781439734
ACH-000053,-0.048905246292668215
ACH-000054,-0.016054539479726588
ACH-000055,-0.20118458838937509
ACH-000060,-0.017750527800609997
ACH-000067,-0.01929029566500554
ACH-000070,-0.11708252765046255
ACH-000075,-0.1352296334245044
ACH-000078,-0.01189196415287198
ACH-000082,-0.13441397705249428
ACH-000085,-0.23978511765540686
ACH-000086,-0.09904270447546376
ACH-000087,-0.006136768026215843
ACH-000092,-0.06536211245089794
ACH-000095,-0.04098558857206034
ACH-000097,-0.15348470148766327
ACH-000098,-0.027431268649430098
ACH-000099,-0.14828972718977054
ACH-000108,-0.17443925277728248
ACH-000113,-0.1615066764034223
ACH-000116,-0.05665701437831476
ACH-000118,-0.04585676209971655
ACH-000120,-0.0009204612136447394
ACH-000123,-0.18384091511681305
ACH-000127,-0.05959979167986253
ACH-000128,-0.2202051601302042
ACH-000132,-0.06802187727636125
ACH-000133,0.01240169768614338
ACH-000137,-0.034258215113721936
ACH-000138,-0.12481470270054347
ACH-000142,-0.02885523486391028
ACH-000143,-0.14124935105763964
ACH-000146,-0.0946845955012538
ACH-000148,-0.022565014889245415
ACH-000150,-0.34048377406319724
ACH-000152,-0.16798679670779473
ACH-000153,0.00864229940820614
ACH-000159,-0.09968205102364497
ACH-000160,-0.13917059633651346
ACH-000163,-0.041051590160284736
ACH-000167,0.05601640366798735
ACH-000168,-0.11326704684805805
ACH-000169,-0.10923930283292496
ACH-000178,0.007718795745637181
ACH-000183,-0.13593196683470085
ACH-000188,-0.15115278481920735
