,TRIM48 (79097)
ACH-000004,-0.06288630585206106
ACH-000005,-0.1012177816515501
ACH-000007,-0.2722192607197492
ACH-000009,-0.15991499224175665
ACH-000011,-0.3389147820888521
ACH-000012,-0.18329619650934906
ACH-000013,-0.2318365594917885
ACH-000014,-0.05146835031125503
ACH-000015,-0.03982505381100535
ACH-000017,-0.2350863282615337
ACH-000018,-0.3116535669468873
ACH-000019,-0.17422703265126332
ACH-000021,-0.27171422918089466
ACH-000022,-0.17907958842358201
ACH-000025,-0.05046407836405732
ACH-000028,-0.03314111081222427
ACH-000030,-0.20646349492939725
ACH-000035,-0.11283273441321448
ACH-000036,-0.17201674762085045
ACH-000037,-0.26227064957133583
ACH-000039,-0.2154583342738416
ACH-000040,-0.027259565009513355
ACH-000041,-0.23621895069502186
ACH-000042,-0.11750853933428057
ACH-000045,-0.2627122182607181
ACH-000047,-0.2521541578194049
ACH-000052,-0.15338775210805936
ACH-000053,-0.11711991462545256
ACH-000054,-0.2724340453322912
ACH-000055,-0.4793893178770578
ACH-000060,-0.1537268162007959
ACH-000067,-0.08600334141116807
ACH-000070,-0.29025492183890794
ACH-000075,-0.541907725319147
ACH-000078,-0.11190143408197216
ACH-000082,-0.22856294063385635
ACH-000085,-0.06062803487706939
ACH-000086,-0.3906584414070986
ACH-000087,-0.2427200182226433
ACH-000092,-0.10155048793529277
ACH-000095,-0.2840093560060609
ACH-000097,-0.2718071160444253
ACH-000098,0.0
ACH-000099,-0.18870666659366545
ACH-000108,-0.357143486052877
ACH-000113,-0.2339164419419663
ACH-000116,-0.2344241261195986
ACH-000118,-0.25599933059402313
ACH-000120,-0.2651674490350779
ACH-000123,-0.2857993198564762
ACH-000127,-0.2121495185113853
ACH-000128,-0.05587239727618433
ACH-000132,-0.22207896344857628
ACH-000133,-0.10925170536711806
ACH-000137,-0.1645572492044599
ACH-000138,-0.2494353059307671
ACH-000142,-0.21956343307081308
ACH-000143,-0.11413217053659215
ACH-000146,-0.18950583337626972
ACH-000148,-0.20882416654300606
ACH-000150,-0.09085323188354598
ACH-000152,-0.18140999634421304
ACH-000153,-0.2334014033383357
ACH-000159,-0.2063832215354722
ACH-000160,-0.07398740282630413
ACH-000163,-0.05096190393722405
ACH-000167,-0.26178038713708296
ACH-000168,-0.1899760450632597
ACH-000169,-0.14781269292702098
ACH-000178,-0.15210290783309022
ACH-000183,-0.4570857865980825
ACH-000188,-0.36221853757378863
ACH-000189,-0.3862611757274277
ACH-000190,-0.3347779850921886
ACH-000198,-0.2805374672327691
ACH-000203,-0.023762369819122244
ACH-000204,-0.3071944319628725
ACH-000206,-0.43339048418726506
ACH-000207,-0.2728256371844192
ACH-000208,0.05613788870313044
ACH-000210,-0.36161534928366174
ACH-000211,-0.20927933630811435
ACH-000215,-0.11269943453447187
ACH-000221,-0.32940144710321856
ACH-000222,-0.2323860002761565
ACH-000223,-0.1709473973866097
ACH-000226,-0.1420353144807015
ACH-000227,-0.1863104466161085
ACH-000228,-0.2740206746712285
ACH-000231,-0.288773121070671
ACH-000232,-0.2120349150835252
ACH-000233,-0.2118569502802013
ACH-000234,-0.15702550661525225
ACH-000235,-0.18733834942033667
ACH-000237,-0.3234641981161577
ACH-000238,-0.1737016388303052
ACH-000242,-0.2558431486606971
ACH-000243,-0.08076242378709689
ACH-000244,-0.3683851431909225
ACH-000246,-0.2765448599558291
ACH-000248,-0.1510542458011716
ACH-000250,-0.2304749734808384
ACH-000251,-0.13538405773242998
ACH-000252,-0.22365780386522016
ACH-000253,-0.10553269727962918
ACH-000255,-0.14476075052481654
ACH-000256,-0.4168530228900431
ACH-000257,-0.2941645665810087
ACH-000258,0.1266880766193329
ACH-000259,-0.10422101106580048
ACH-000260,-0.18127768934526275
ACH-000261,-0.2212619587828434
ACH-000262,-0.18319277363338435
ACH-000263,-0.28343065746388546
ACH-000264,-0.057872779935435034
ACH-000265,-0.21218577744329148
ACH-000266,-0.19166234306335794
ACH-000272,-0.03149434433911358
ACH-000274,-0.12981738915372978
ACH-000277,-0.1460578602079354
ACH-000278,-0.15105296838804333
ACH-000279,-0.3158896951868342
ACH-000280,-0.14905141256362825
ACH-000281,-0.26703167192138666
ACH-000288,-0.17010153597176134
ACH-000291,-0.17571707800526307
ACH-000293,-0.21813657225955504
ACH-000294,-0.4037941718744192
ACH-000295,-0.3813376355449334
ACH-000296,-0.3793878677695988
ACH-000302,-0.0937811503869041
ACH-000304,-0.12943702328192835
ACH-000307,-0.016177084543920892
ACH-000308,-0.3295607285314414
ACH-000310,-0.11095073829034033
ACH-000311,-0.1884742451723508
ACH-000312,-0.16062783565590824
ACH-000315,-0.4379720932795305
ACH-000316,-0.3872832992126557
ACH-000317,-0.3585249728660926
ACH-000318,-0.34978046113676303
ACH-000319,-0.23765864429544545
ACH-000320,-0.19277341148769428
ACH-000322,-0.08045362681532263
ACH-000323,-0.05344264633297198
ACH-000324,-0.29700829861426364
ACH-000329,-0.06431493223825904
ACH-000330,-0.2682933815582833
ACH-000331,-0.19172756031114915
ACH-000332,-0.1739384153999971
ACH-000334,-0.3263718560772436
ACH-000335,-0.19552403459597772
ACH-000336,-0.03448194540780145
ACH-000337,-0.37829800919588813
ACH-000338,-0.4265800801201757
ACH-000339,-0.1367263317959384
ACH-000341,-0.1985017700687988
ACH-000348,-0.03984899922169485
ACH-000350,-0.14866754565652932
ACH-000352,-0.2498888518016657
ACH-000356,-0.4324442769350045
ACH-000361,-0.2368300912073004
ACH-000362,-0.35332468661719746
ACH-000363,-0.08164718037825494
ACH-000364,-0.3577300556962733
ACH-000365,-0.16522411890769162
ACH-000366,-0.3051845058661776
ACH-000368,-0.2993051074685653
ACH-000374,-0.31913658128124794
ACH-000375,-0.2623042688457437
ACH-000376,-0.2554286763039361
ACH-000381,-0.0966043709060494
ACH-000383,-0.2648243959349767
ACH-000387,-0.021791211508338727
ACH-000389,-0.1475553080035396
ACH-000390,-0.06315191434629412
ACH-000393,-0.2521658869489256
ACH-000395,-0.18916141622732946
ACH-000396,0.2666145460933155
ACH-000397,-0.30723500138881576
ACH-000401,-0.13897241191042387
ACH-000402,-0.20082113181263908
ACH-000403,-0.12487201667281367
ACH-000404,-0.10549697858937852
ACH-000406,-0.19580929938630964
ACH-000407,-0.25133688099661844
ACH-000408,-0.3748990606263951
ACH-000410,-0.322888156519312
ACH-000411,-0.2908954933435865
ACH-000414,-0.06547290466052236
ACH-000415,-0.25658699591679146
ACH-000416,-0.03290996920925725
ACH-000420,-0.3341501594741781
ACH-000421,-0.160845633836616
ACH-000424,-0.1197825278653062
ACH-000425,-0.16578140467918764
ACH-000426,-0.10731468873128948
ACH-000427,-0.20861147901750185
ACH-000433,-0.35050663960396605
ACH-000435,-0.4394498951499204
ACH-000436,-0.2873939615535133
ACH-000444,-0.128965168105523
