,ANKS6 (203286)
ACH-000004,-0.16080884447550742
ACH-000005,-0.4033359552350592
ACH-000007,-0.4982813896423374
ACH-000009,-0.3911075086253111
ACH-000011,-0.20693876936397604
ACH-000012,-0.3947310807500283
ACH-000013,-0.3812297581312413
ACH-000014,-0.5412647511951556
ACH-000015,-0.31312714322392377
ACH-000017,-0.3178451367078343
ACH-000018,-0.3651018185627216
ACH-000019,-0.4091131112480048
ACH-000021,-0.4670585665430768
ACH-000022,-0.2379032104899352
ACH-000025,-0.3358981478472388
ACH-000028,-0.3589281012904141
ACH-000030,-0.3951214821613261
ACH-000035,-0.2747813460079174
ACH-000036,-0.4130438413434431
ACH-000037,-0.5002419382667258
ACH-000039,-0.11509000147734752
ACH-000040,-0.4546696228277357
ACH-000041,-0.2956985359205229
ACH-000042,-0.3924169105052501
ACH-000045,-0.07744912065656534
ACH-000047,-0.448405860567398
ACH-000052,-0.2833515799703105
ACH-000053,-0.2837138734287936
ACH-000054,-0.3795789986146972
ACH-000055,-0.2840021182919112
ACH-000060,-0.2736705515511241
ACH-000067,-0.623662297148265
ACH-000070,-0.4612667469016855
ACH-000075,-0.4458890127681738
ACH-000078,-0.4082534164617869
ACH-000082,-0.4652205947733139
ACH-000085,-0.35948083791869784
ACH-000086,-0.3865919621701739
ACH-000087,-0.4920677339721316
ACH-000092,-0.3054404708981918
ACH-000095,-0.29117060498389896
ACH-000097,-0.5492487129689653
ACH-000098,-0.3503309442605357
ACH-000099,-0.3856439889673465
ACH-000108,-0.13749647124217285
ACH-000113,-0.2007885883367491
ACH-000116,-0.45793762201432203
ACH-000118,-0.3654135467467117
ACH-000120,-0.014641666706195109
ACH-000123,-0.4535500815968955
ACH-000127,-0.3575351031224827
ACH-000128,-0.4916841952143995
ACH-000132,-0.4554806641433994
ACH-000133,-0.509664892695035
ACH-000137,-0.4597135752312754
ACH-000138,-0.20826262114600072
ACH-000142,-0.27739406865984395
ACH-000143,-0.3640828844426455
ACH-000146,-0.1851716648672584
ACH-000148,-0.4800375377524786
ACH-000150,-0.1096954332657388
ACH-000152,-0.4585636918954497
ACH-000153,-0.19944724172140388
ACH-000159,-0.3395050456847534
ACH-000160,-0.31183886736377586
ACH-000163,-0.3781523168611716
ACH-000167,-0.012470824502589616
ACH-000168,-0.6393738507305787
ACH-000169,-0.3481340679360626
ACH-000178,-0.42853575143044026
ACH-000183,-0.15392614299803886
ACH-000188,-0.4580390646203351
ACH-000189,-0.3441004007459563
ACH-000190,-0.4114463075682654
ACH-000198,-0.3288946293855212
ACH-000203,0.045798741156358486
ACH-000204,-0.39033128000225104
ACH-000206,-0.2353523148242743
ACH-000207,-0.3300193255292989
ACH-000208,-0.41024776456768974
ACH-000210,-0.4905892175718651
ACH-000211,-0.5080535031674736
ACH-000215,-0.41665274882551545
ACH-000221,-0.4006055084489326
ACH-000222,-0.2398729880410579
ACH-000223,-0.36569018459898095
ACH-000226,-0.4371363629935303
ACH-000227,-0.5827184094827609
ACH-000228,-0.27104159440303466
ACH-000231,-0.3839332421439455
ACH-000232,-0.44801370890512654
ACH-000233,-0.2068502425093477
ACH-000234,-0.22491509335898424
ACH-000235,-0.34073855742952397
ACH-000237,-0.405455664198228
ACH-000238,-0.4448464877550523
ACH-000242,-0.2293663100312437
ACH-000243,-0.3406041731948494
ACH-000244,-0.4374471137527159
ACH-000246,-0.3968203698401986
ACH-000248,-0.2792267194146058
ACH-000250,-0.3246862739946685
ACH-000251,-0.0928261346633468
ACH-000252,-0.6181610605139043
ACH-000253,-0.3785029261646857
ACH-000255,-0.3824767012482549
ACH-000256,-0.2262340981640531
ACH-000257,-0.29206432534939264
ACH-000258,-0.8439316097855478
ACH-000259,-0.32332542590772706
ACH-000260,-0.4310980238940496
ACH-000261,-0.38812170664324
ACH-000262,-0.30958189915472073
ACH-000263,-0.22036631713992474
ACH-000264,-0.5152342803614632
ACH-000265,-0.5044582741698685
ACH-000266,-0.2675422829006137
ACH-000272,-0.3622645798197284
ACH-000274,-0.3087004698150333
ACH-000277,-0.4369448926443211
ACH-000278,-0.4607496123911621
ACH-000279,-0.302781192981769
ACH-000280,-0.3744670213542388
ACH-000281,-0.2318734507716285
ACH-000288,-0.21568591576061533
ACH-000291,-0.48863082973902894
ACH-000293,-0.6263412126969885
ACH-000294,-0.2564278189059652
ACH-000295,-0.4674425675069058
ACH-000296,-0.34530653473739553
ACH-000302,-0.3004917688574834
ACH-000304,-0.5492655856155707
ACH-000307,-0.2766367934044709
ACH-000308,-0.3773571035904748
ACH-000310,-0.3663443093199168
ACH-000311,-0.2629582193344754
ACH-000312,-0.2676648596299012
ACH-000315,-0.20929732601045173
ACH-000316,-0.32142932566025345
ACH-000317,-0.3505938484356225
ACH-000318,-0.4087513324351052
ACH-000319,-0.3034744775474927
ACH-000320,-0.3831825905733709
ACH-000322,-0.4997286023211037
ACH-000323,-0.4207388715378408
ACH-000324,-0.3955419319616373
ACH-000329,-0.3212178513882439
ACH-000330,-0.2662171056702935
ACH-000331,-0.3325658867028158
