,RPL22L1 (200916)
ACH-000004,-0.2729763189187252
ACH-000005,-0.4894508409529004
ACH-000007,-0.2268469966198577
ACH-000009,-0.33643469922237146
ACH-000011,-0.16330996371671672
ACH-000012,-0.09389688258128008
ACH-000013,-0.1825410553861156
ACH-000014,-0.3202597148925727
ACH-000015,-0.10249053698065648
ACH-000017,-0.3838995527770381
ACH-000018,-0.06588126602886049
ACH-000019,-0.17947702109063465
ACH-000021,-0.2789956918532285
ACH-000022,-0.27553298333340176
ACH-000025,-0.4358941074459519
ACH-000028,-0.181328164632669
ACH-000030,-0.33287423604161626
ACH-000035,-0.2302062395825662
ACH-000036,-0.4960398571792731
ACH-000037,-0.284258350968489
ACH-000039,-0.1536683113009675
ACH-000040,-0.2409520643161437
ACH-000041,-0.15967899517411327
ACH-000042,-0.2873590793400608
ACH-000045,-0.06133428473871728
ACH-000047,-0.2021475955057724
ACH-000052,-0.10943410334409603
ACH-000053,-0.25713447783397464
ACH-000054,-0.4789427485053411
ACH-000055,-0.1742025843721837
ACH-000060,-0.4580677833607911
ACH-000067,-0.5177678450657887
ACH-000070,-0.33111997921849423
ACH-000075,-0.3243202883837535
ACH-000078,-0.17539855554699466
ACH-000082,-0.27847749893151624
ACH-000085,-0.3583528421229801
ACH-000086,-0.3313401971091671
ACH-000087,-0.2145262362204813
ACH-000092,-0.33571450145759074
ACH-000095,-0.6685119528599897
ACH-000097,-0.2994661269498846
ACH-000098,-0.29240253739930394
ACH-000099,-0.4065477965190769
ACH-000108,-0.2789462464326597
ACH-000113,-0.4414260797430484
ACH-000116,-0.3082358818327979
ACH-000118,-0.2427817372819497
ACH-000120,-0.033647577022479634
ACH-000123,-0.15595304413259767
ACH-000127,-0.4584633923167533
ACH-000128,-0.4007478642440779
ACH-000132,-0.3629934188703008
ACH-000133,-0.3910824618659484
ACH-000137,-0.19729079973893912
ACH-000138,-0.32918654285920457
ACH-000142,-0.21937415152217185
ACH-000143,-0.22049247439862094
ACH-000146,-0.2818667677680159
ACH-000148,-0.4167011979447541
ACH-000150,-0.2179859599425293
ACH-000152,-0.2754089431190065
ACH-000153,-0.44008337408680215
ACH-000159,-0.3116343300898131
ACH-000160,-0.27579033036427925
ACH-000163,-0.44600282257895263
ACH-000167,-0.1918523134971325
ACH-000168,-0.3079198321608839
ACH-000169,-0.3393426879074449
ACH-000178,-0.3633432569318704
ACH-000183,-0.2352170351321669
ACH-000188,-0.2595145406524734
ACH-000189,-0.28278429289300444
ACH-000190,-0.5011129101452194
ACH-000198,-0.16390274531842985
ACH-000203,0.039832313427551516
ACH-000204,-0.4921771424042857
ACH-000206,-0.10738775220376244
ACH-000207,-0.35871165010677114
ACH-000208,-0.7180052194136343
ACH-000210,-0.3134029124872101
ACH-000211,-0.30655818908738897
ACH-000215,-0.3999399166774742
ACH-000221,-0.1464338813380082
ACH-000222,-0.5010559253250437
ACH-000223,-0.2941075062640833
ACH-000226,-0.08105530150807844
ACH-000227,-0.36433881495538173
ACH-000228,-0.25619320287543457
ACH-000231,-0.5171396184326902
ACH-000232,-0.3445767733953701
ACH-000233,-0.2851121302578364
ACH-000234,-0.4516893586403823
ACH-000235,-0.28375064215569057
ACH-000237,-0.3750780396492756
ACH-000238,-0.061919034219719005
ACH-000242,-0.4887743835924863
ACH-000243,-0.3232926483502189
ACH-000244,-0.5907685159648112
ACH-000246,-0.4408366087870584
ACH-000248,-0.21395564338849452
ACH-000250,-0.33887258359742833
ACH-000251,-0.4277735347284616
ACH-000252,-0.1324103533369323
ACH-000253,-0.4531431996644048
ACH-000255,-0.3285540634849744
ACH-000256,-0.3058122681058027
ACH-000257,-0.3454948127425735
ACH-000258,-0.1821967314309216
ACH-000259,-0.4295813133990837
ACH-000260,-0.33851158464418224
ACH-000261,-0.3796816497308256
ACH-000262,-0.3931893722953969
ACH-000263,-0.4835972401349342
ACH-000264,-0.3772684538138519
ACH-000265,-0.17266658479069966
ACH-000266,-0.3383216450540153
ACH-000272,-0.4187483999404607
ACH-000274,-0.4420323117234023
ACH-000277,-0.3725045595855151
ACH-000278,-0.2758878701457232
ACH-000279,-0.31157937926939755
ACH-000280,-0.10229976950456568
ACH-000281,0.04180925980906176
ACH-000288,-0.3092985058510889
ACH-000291,-0.3060983586914115
ACH-000293,-0.22578111440455986
ACH-000294,-0.15230509464738207
ACH-000295,-0.322175214281149
ACH-000296,-0.5429614182764578
ACH-000302,-0.3333386857671886
ACH-000304,-0.4235844484380767
ACH-000307,-0.2515063362878822
ACH-000308,-0.2374080047181373
ACH-000310,-0.5297307782895464
ACH-000311,-0.2219512503337876
ACH-000312,-0.3870477010281509
ACH-000315,-0.13371592874872984
ACH-000316,-0.31193714207679124
ACH-000317,-0.21177702302326085
ACH-000318,-0.25434397777437656
ACH-000319,-0.41021398831327377
ACH-000320,-0.2313166779561876
ACH-000322,-0.2197887897551116
ACH-000323,-0.6807684288577561
ACH-000324,-0.2512795019894717
ACH-000329,-0.31641523219906337
ACH-000330,-0.12295563626109385
ACH-000331,-0.32081218521013216
ACH-000332,-0.34500708618736725
ACH-000334,-0.3128193069668125
ACH-000335,-0.12402764959083146
ACH-000336,-0.18021409607345293
ACH-000337,-0.3250312495525358
ACH-000338,-0.2622377772535661
ACH-000339,-0.20535156475921912
ACH-000341,-0.3759336982661067
ACH-000348,-0.3210143254103377
ACH-000350,-0.17070183888236184
ACH-000352,-0.4137910194714357
ACH-000356,-0.4154371816297897
ACH-000361,-0.3050404496812888
ACH-000362,-0.1660633220287737
ACH-000363,-0.21617911091313413
ACH-000364,-0.3189722138020604
ACH-000365,-0.2937858456568778
ACH-000366,-0.3647957113491957
ACH-000368,-0.3830087855725763
ACH-000374,-0.39361817212952827
ACH-000375,-0.524967328134463
ACH-000376,-0.3144809350969399
ACH-000381,-0.2602245389164273
ACH-000383,-0.3827027007088276
ACH-000387,-0.21409382750049594
ACH-000389,-0.2783088114791702
ACH-000390,-0.4414140300813714
ACH-000393,-0.4222224759722352
ACH-000395,-0.14014635485586865
ACH-000396,-0.4063698683248675
ACH-000397,-0.3013029550243541
ACH-000401,-0.3831066927363588
ACH-000402,-0.08303314795687063
ACH-000403,-0.15713540048811336
ACH-000404,-0.19285806787252305
ACH-000406,-0.21664511558206498
ACH-000407,-0.44652799939564375
ACH-000408,-0.09378667741920788
ACH-000410,-0.3174868343281038
ACH-000411,-0.7271905700898826
ACH-000414,-0.3620831905791371
ACH-000415,-0.3110778230183741
ACH-000416,-0.21699241418113174
ACH-000420,-0.3969756472571815
ACH-000421,-0.2636860761270137
ACH-000424,-0.4442038580724514
ACH-000425,-0.4712379550891799
