,LIPM (340654)
ACH-000004,-0.24463443195596965
ACH-000005,-0.03044445191485661
ACH-000007,-0.3811904375160303
ACH-000009,-0.2666167385615477
ACH-000011,-0.2702661421440161
ACH-000012,-0.266606818535432
ACH-000013,-0.1318796552609325
ACH-000014,-0.17303758795993907
ACH-000015,-0.2956784391339568
ACH-000017,-0.16175351473217175
ACH-000018,-0.24831237407190845
ACH-000019,-0.33419556990904065
ACH-000021,-0.1546920510632339
ACH-000022,-0.2265658585110519
ACH-000025,-0.3927008106220519
ACH-000028,-0.2567979846190951
ACH-000030,-0.26037020204127703
ACH-000035,-0.22881571514275656
ACH-000036,-0.2496466449298635
ACH-000037,-0.32300095433510523
ACH-000039,-0.39393653382071614
ACH-000040,-0.2977782740948233
ACH-000041,-0.3675092846563506
ACH-000042,-0.27661041970198674
ACH-000045,-0.3261512019297517
ACH-000047,-0.22882281421153494
ACH-000052,-0.3185007732973281
ACH-000053,-0.295220945306
ACH-000054,-0.3549940638323854
ACH-000055,-0.3259557541633181
ACH-000060,-0.38054292691336855
ACH-000067,-0.27801473425922524
ACH-000070,-0.40148624563952495
ACH-000075,-0.2053336394546748
ACH-000078,-0.18144887695267625
ACH-000082,-0.2626693009313209
ACH-000085,-0.3218658645448547
ACH-000086,-0.233062736655895
ACH-000087,-0.4518591564502949
ACH-000092,-0.15494509691908648
ACH-000095,-0.27672205669047995
ACH-000097,-0.19888219431883405
ACH-000098,-0.2388554959285861
ACH-000099,-0.24106766152157055
ACH-000108,-0.17117557071662878
ACH-000113,-0.2070913169939798
ACH-000116,-0.2455773911698463
ACH-000118,-0.2172994401063177
ACH-000120,-0.0916607467690295
ACH-000123,-0.29561605962639304
ACH-000127,-0.32552859993585304
ACH-000128,-0.1292500534874627
ACH-000132,-0.209488292260213
ACH-000133,-0.3010181421336302
ACH-000137,-0.2125274591041036
ACH-000138,-0.09387519937601424
ACH-000142,-0.1680301143123649
ACH-000143,-0.2244852773595733
ACH-000146,-0.17356524968196796
ACH-000148,-0.30165191862671786
ACH-000150,-0.20686572845823215
ACH-000152,-0.22096974603247824
ACH-000153,-0.4568080749973237
ACH-000159,-0.2044758675285668
ACH-000160,-0.15914044480655493
ACH-000163,-0.22331623012871504
ACH-000167,-0.3647802135859201
ACH-000168,-0.1054927255104578
ACH-000169,-0.34059487561413354
ACH-000178,-0.1624543799974262
ACH-000183,-0.2007974887969784
ACH-000188,-0.16202217385034812
ACH-000189,-0.12445872310302007
ACH-000190,-0.2025647454376072
ACH-000198,-0.2495164919418809
ACH-000203,-0.37388915123140937
ACH-000204,-0.2712558787064597
ACH-000206,-0.21937769494908926
ACH-000207,-0.3921306042551273
ACH-000208,-0.0222068256459209
ACH-000210,-0.29699436749082314
ACH-000211,-0.30135830971247546
ACH-000215,-0.2419314073469289
ACH-000221,-0.0779973713245095
ACH-000222,-0.02762654306959331
ACH-000223,-0.19208423848862075
ACH-000226,-0.1947514111349287
ACH-000227,-0.3858207611253288
ACH-000228,-0.32151386757521866
ACH-000231,-0.36319450103069617
ACH-000232,-0.2849734204278467
ACH-000233,-0.191443285951486
ACH-000234,-0.18067301984481907
ACH-000235,-0.22406704188848775
ACH-000237,-0.21727142368614466
ACH-000238,-0.1904934903659258
ACH-000242,-0.3932721511288633
ACH-000243,-0.1986432862670958
ACH-000244,-0.09628277119869967
ACH-000246,-0.2266024709113876
ACH-000248,-0.2624926616193323
ACH-000250,-0.27468067265308266
ACH-000251,-0.3811102509509369
ACH-000252,-0.2621560900516535
ACH-000253,-0.22831566773596945
ACH-000255,-0.3739707462774202
ACH-000256,-0.1299461656259057
ACH-000257,-0.439842947487998
ACH-000258,-0.24264662516440935
ACH-000259,-0.2673779010883079
ACH-000260,-0.24951570423121056
