,OAT (4942)
ACH-000004,-0.1553934904765925
ACH-000005,-0.6089241082189475
ACH-000007,-0.19666582128406196
ACH-000009,-0.101071580912461
ACH-000011,-0.12488946201988392
ACH-000012,-0.2488952394285923
ACH-000013,-0.17219578597559473
ACH-000014,-0.15536602624138954
ACH-000015,-0.1860820982110341
ACH-000017,-0.2295666039414767
ACH-000018,-0.319978551854817
ACH-000019,-0.08871778737694216
ACH-000021,-0.20603579847242195
ACH-000022,-0.4388058321333719
ACH-000025,-0.3426153723634197
ACH-000028,-0.1202996588399596
ACH-000030,-0.1489774457835498
ACH-000035,-0.1600645697136291
ACH-000036,-0.3068317151834867
ACH-000037,-0.21417434824693904
ACH-000039,-0.21089780178886694
ACH-000040,-0.15094146120950674
ACH-000041,-0.3880222176743023
ACH-000042,-0.38533131315346414
ACH-000045,-0.30160873943068256
ACH-000047,0.021015553809772054
ACH-000052,-0.08276087707756467
ACH-000053,-0.22179033248505586
ACH-000054,-0.1167605049991597
ACH-000055,0.042546946784514136
ACH-000060,-0.2284202107776808
ACH-000067,-0.2737179410612457
ACH-000070,-0.09213179690525833
ACH-000075,-0.2423930123960349
ACH-000078,-0.3909674286280722
ACH-000082,-0.3007470345331341
ACH-000085,-0.1737535145836845
ACH-000086,-0.1863227428270341
ACH-000087,-0.3024049386756025
ACH-000092,-0.16427721153800948
ACH-000095,-0.2451342965434982
ACH-000097,-0.1377873144510011
ACH-000098,-0.2901879962085271
ACH-000099,-0.2910333065866612
ACH-000108,-0.16076648533422586
ACH-000113,-0.12834735910648765
ACH-000116,-0.1243860340170651
ACH-000118,-0.048359544408503034
ACH-000120,-0.3452788071931309
ACH-000123,-0.30737163822550795
ACH-000127,-0.2695948216288313
ACH-000128,-0.14233357088841464
ACH-000132,-0.17076970263034444
ACH-000133,-0.232034215164114
ACH-000137,-0.13026942851535275
ACH-000138,-0.18549891131811966
ACH-000142,-0.298270709374887
ACH-000143,-0.38416725245505257
ACH-000146,-0.30534606123811536
ACH-000148,-0.3607633468588234
ACH-000150,-0.2818253369234308
ACH-000152,-0.13951646302199353
ACH-000153,-0.0983273015288585
ACH-000159,-0.25778583415718337
ACH-000160,0.08532057071590192
ACH-000163,-0.3766628158894585
ACH-000167,0.134501541052438
ACH-000168,-0.3137000242450526
ACH-000169,-0.406540196967675
ACH-000178,-0.1637855651442358
ACH-000183,-0.08269126466892203
ACH-000188,-0.1654822108964665
ACH-000189,-0.08951549461602475
ACH-000190,0.12736034867881502
ACH-000198,-0.42655877032692796
ACH-000203,-0.11008860376374928
ACH-000204,-0.29738442661526365
ACH-000206,-0.3641296564311608
ACH-000207,-0.2736474916057679
ACH-000208,-0.1001499681113808
ACH-000210,0.002518423086842456
ACH-000211,-0.2323652085364737
ACH-000215,-0.18363067769090935
ACH-000221,-0.1428096977126374
ACH-000222,-0.019098977494398647
ACH-000223,-0.32160863972869314
ACH-000226,-0.17904895881365052
ACH-000227,-0.34408614027553164
ACH-000228,-0.3378040994245993
ACH-000231,-0.2520877532629814
ACH-000232,-0.1629649922168269
ACH-000233,-0.2541088942981658
ACH-000234,-0.26802868425300275
ACH-000235,-0.18640194848060085
ACH-000237,-0.1879424139444611
ACH-000238,-0.09020613549747246
ACH-000242,-0.336198380477361
ACH-000243,-0.11534554552679785
