,NT5C3A (51251)
ACH-000004,-0.16868950718027675
ACH-000005,0.05572757509554079
ACH-000007,-0.2398972635174656
ACH-000009,-0.2161435133066149
ACH-000011,-0.10547366097220738
ACH-000012,-0.08675920196893569
ACH-000013,-0.1011267083870878
ACH-000014,-0.3457029867951849
ACH-000015,-0.0603711423781809
ACH-000017,-0.1543544323773086
ACH-000018,0.014590022183615518
ACH-000019,-0.10983539949521287
ACH-000021,-0.15033485671539326
ACH-000022,-0.2878825320912504
ACH-000025,-0.1344905522947857
ACH-000028,-0.1002269759245146
ACH-000030,-0.1017131837334186
ACH-000035,-0.2848438923880233
ACH-000036,-0.24429010478253
ACH-000037,-0.25429191371320164
ACH-000039,-0.13838762557364362
ACH-000040,-0.15679452420072135
ACH-000041,-0.2085308260037762
ACH-000042,-0.296007399372666
ACH-000045,-0.14238703135603242
ACH-000047,-0.1732478025242962
ACH-000052,-0.2984870458717521
ACH-000053,-0.11407967977205938
ACH-000054,-0.2371683953207233
ACH-000055,-0.2714084127638562
ACH-000060,-0.2358792802228685
ACH-000067,-0.0907090924982047
ACH-000070,-0.2157209462688001
ACH-000075,-0.2445237922714302
ACH-000078,-0.36874399330699176
ACH-000082,-0.2255248091381858
ACH-000085,-0.058598329587977435
ACH-000086,-0.01844141129775137
ACH-000087,-0.24652879475345876
ACH-000092,-0.1007009742650992
ACH-000095,-0.3340730367308178
ACH-000097,-0.2533798236960754
ACH-000098,-0.1659176320912057
ACH-000099,-0.22855263854365865
ACH-000108,-0.20840837727950606
ACH-000113,-0.18269779596212748
ACH-000116,-0.2503751703457475
ACH-000118,-0.10207860184233017
ACH-000120,-0.12098504937521436
ACH-000123,-0.10278594160028474
ACH-000127,-0.13600536728467574
ACH-000128,-0.19344499834645346
ACH-000132,-0.12577671905150242
ACH-000133,-0.17356173535262745
ACH-000137,-0.1921110660030188
ACH-000138,-0.2847074119654843
ACH-000142,-0.10980641172267963
ACH-000143,-0.2390434436672809
ACH-000146,-0.13615949301027586
ACH-000148,-0.19643769697485733
ACH-000150,0.011659347702540285
ACH-000152,-0.09894688505868096
ACH-000153,-0.09164321078149852
ACH-000159,-0.11498440055420145
ACH-000160,-0.08754486879770311
ACH-000163,-0.22671828750533896
ACH-000167,0.6037540963484294
ACH-000168,0.05718852992966709
ACH-000169,-0.17732756778806352
ACH-000178,-0.11736464685785065
ACH-000183,-0.09952477331851396
ACH-000188,-0.07792536562826881
ACH-000189,-0.13699354222513258
ACH-000190,-0.31020725341931576
ACH-000198,-0.1968728731976694
ACH-000203,-0.3076705775445941
ACH-000204,-0.2463523323748086
ACH-000206,-0.1180010868894757
ACH-000207,-0.2307981742294762
ACH-000208,-0.1937611876750204
ACH-000210,-0.4490407395852186
ACH-000211,-0.14423879642697765
ACH-000215,-0.14064494151289578
ACH-000221,-0.3054436875532605
ACH-000222,-0.07719284010301451
ACH-000223,-0.17210632496392345
ACH-000226,-0.2261837522477461
ACH-000227,-0.05852571254135986
ACH-000228,-0.2444485557571159
ACH-000231,-0.2338273074122748
ACH-000232,-0.04296910145497728
ACH-000233,-0.2108708929216029
ACH-000234,-0.19085963222210314
ACH-000235,-0.1381125160440688
ACH-000237,-0.2827276448066792
ACH-000238,-0.11573026503035284
ACH-000242,0.0359950818291477
ACH-000243,-0.1292804699955692
ACH-000244,-0.260892034607695
ACH-000246,-0.2751765841565237
ACH-000248,-0.06505964302366726
ACH-000250,-0.15318197220740767
ACH-000251,-0.14846715026553986
ACH-000252,-0.029906667567650338
ACH-000253,-0.1891964633568697
ACH-000255,0.05767899201900618
ACH-000256,-0.23190767453889424
ACH-000257,-0.012483674262800924
ACH-000258,-0.2403183735345347
ACH-000259,-0.3291932258115445
ACH-000260,-0.13524615882484728
ACH-000261,-0.1120738253975066
ACH-000262,-0.35071401347237496
ACH-000263,-0.21398636489390271
ACH-000264,-0.1526985936687579
ACH-000265,-0.1365648902708633
ACH-000266,-0.2053633173095924
ACH-000272,-0.15939367337676194
ACH-000274,-0.15063206584944738
ACH-000277,-0.1781566092999027
ACH-000278,-0.11614928850011495
ACH-000279,-0.1430443222771487
ACH-000280,-0.17120368080737358
ACH-000281,-0.21515811668582036
ACH-000288,-0.10262954048569588
ACH-000291,-0.10311851334639473
ACH-000293,-0.1905606335501422
ACH-000294,-0.11367253913248958
ACH-000295,-0.21283735682632512
ACH-000296,-0.017752604614100775
ACH-000302,-0.1235769079741755
ACH-000304,-0.3520527284527637
ACH-000307,-0.2776541092240354
ACH-000308,-0.1719058633560017
ACH-000310,-0.23086738587542416
ACH-000311,-0.017157792493584473
ACH-000312,-0.2106048661594413
ACH-000315,-0.18525297175078545
ACH-000316,-0.1519074355756233
ACH-000317,-0.22363855188784626
ACH-000318,-0.24014819114696606
ACH-000319,-0.08496854709844925
ACH-000320,-0.16800216209360486
ACH-000322,-0.1820151413927372
ACH-000323,-0.0746567509725189
ACH-000324,-0.11497756332397728
ACH-000329,-0.2085087603851402
ACH-000330,-0.22492734836686312
ACH-000331,-0.2135588809577173
ACH-000332,-0.21688364784320655
ACH-000334,-0.19545607629360706
ACH-000335,-0.2413939638243347
ACH-000336,-0.13498113535280287
ACH-000337,-0.1047203577623868
ACH-000338,0.01224461077040314
ACH-000339,-0.16878528620007668
ACH-000341,-0.1559087846418015
ACH-000348,-0.16434726719633144
ACH-000350,-0.23933350146559684
ACH-000352,-0.16113126433128114
ACH-000356,-0.005886708637999488
ACH-000361,-0.08518645152529898
ACH-000362,-0.09856999718725423
ACH-000363,-0.22946986029314126
ACH-000364,-0.2843243339771604
ACH-000365,-0.17633567276221876
ACH-000366,-0.18593655798250067
ACH-000368,-0.036628155378552345
ACH-000374,-0.16585976944104086
ACH-000375,0.0020731119429254164
ACH-000376,-0.24312402682583045
ACH-000381,-0.11593155108992967
ACH-000383,-0.156885110205858
ACH-000387,-0.12573922963870085
ACH-000389,-0.5089705486996908
ACH-000390,-0.1686738618029528
ACH-000393,-0.1217355616185639
ACH-000395,-0.4160995772131639
ACH-000396,-0.24574109308024905
ACH-000397,-0.024931720755956104
ACH-000401,-0.2946351476110752
ACH-000402,-0.1265442659274745
ACH-000403,-0.18749358172016067
ACH-000404,0.049372377755467885
ACH-000406,-0.13810334600780924
ACH-000407,-0.10672267140632158
ACH-000408,-0.24388144877379264
ACH-000410,-0.09115378696080163
ACH-000411,-0.06925502062531999
ACH-000414,-0.13506727941633084
ACH-000415,-0.07421394349618197
ACH-000416,-0.1993319214424894
ACH-000420,-0.3839228037857159
ACH-000421,-0.19238622774817585
ACH-000424,-0.040486100232476264
ACH-000425,-0.1668092004983995
ACH-000426,-0.016475182568274203
ACH-000427,-0.11718803157248675
ACH-000433,-0.06938787558865472
ACH-000435,0.04268395155643013
ACH-000436,-0.15899338483060718
ACH-000444,-0.22927353551038385
ACH-000445,-0.005802655435181417
ACH-000448,-0.21326473181863406
ACH-000450,-0.17898944964062413
ACH-000452,-0.2923821212015134
ACH-000454,-0.12427699705869735
ACH-000458,-0.16380290873802053
ACH-000459,-0.09682992594111522
ACH-000460,-0.10456599598034086
ACH-000461,-0.11213461295322624
ACH-000463,-0.2793595563359608
ACH-000464,-0.08000696674324889
ACH-000466,-0.14288154525157212
ACH-000467,-0.1797188457364887
ACH-000468,-0.11964289777475562
ACH-000469,-0.27538354358752576
ACH-000470,-0.07644212896070804
ACH-000471,-0.18808522406257056
ACH-000472,-0.14382759942961404
ACH-000473,-0.15663685151099566
ACH-000475,-0.22145225936467305
ACH-000476,-0.3724866150781222
ACH-000477,-0.010080891812169951
ACH-000479,-0.18820464097289774
ACH-000480,-0.09369969881500197
ACH-000481,-0.2148435718519346
ACH-000483,-0.10581491884877467
ACH-000484,-0.21862274866618145
ACH-000485,-0.13875594605081618
ACH-000486,-0.1808454726009864
ACH-000487,-0.04352391874208627
ACH-000488,-0.10952358801779773
ACH-000490,-0.2968811976564595
ACH-000491,-0.39361275114151184
ACH-000495,-0.11197493380243473
ACH-000496,-0.2927681986879206
ACH-000499,0.17546572141162353
ACH-000500,0.19938450889670428
ACH-000502,-0.11884359315700715
ACH-000503,-0.3155454664703635
ACH-000505,-0.1329058527842268
ACH-000507,-0.2284268320790573
ACH-000510,-0.1329585291006674
ACH-000511,-0.1468961496285526
ACH-000512,-0.08132047999404085
ACH-000516,-0.07426887112070517
ACH-000517,-0.14509131728032146
