,BUB1B (701)
ACH-000004,-1.3798798923749989
ACH-000005,-1.2361041730975462
ACH-000007,-1.0505596893550384
ACH-000009,-1.0360160075223614
ACH-000011,-0.9900629331559148
ACH-000012,-1.3605680419986776
ACH-000013,-1.1267209813380337
ACH-000014,-1.078095153135782
ACH-000015,-1.214560873308559
ACH-000017,-1.106693970574545
ACH-000018,-0.9723816620400908
ACH-000019,-1.331031949528909
ACH-000021,-1.314030392099447
ACH-000022,-1.1499756488376456
ACH-000025,-1.0966667200626192
ACH-000028,-1.0709650960061952
ACH-000030,-1.1103960401024364
ACH-000035,-1.267227952481081
ACH-000036,-1.1728032104639632
ACH-000037,-0.4057460189578551
ACH-000039,-1.2818918802033772
ACH-000040,-1.0596630723541085
ACH-000041,-1.2846069575918866
ACH-000042,-1.049836818386727
ACH-000045,-0.9748062686047952
ACH-000047,-1.2699586064724675
ACH-000052,-1.2861131605526706
ACH-000053,-1.2446752846437064
ACH-000054,-1.0445853960712592
ACH-000055,-1.2126043303637797
ACH-000060,-0.9183599476630128
ACH-000067,-0.8812345629619842
ACH-000070,-0.5642743787204366
ACH-000075,-1.3272354718856003
ACH-000078,-1.1179034732424262
ACH-000082,-1.0535507059705127
ACH-000085,-1.2713641163671798
ACH-000086,-1.151617164293076
ACH-000087,-1.3425093785858553
ACH-000092,-1.053419314445267
ACH-000095,-1.1088736460417845
ACH-000097,-1.0095656715558359
ACH-000098,-0.7484645135739617
ACH-000099,-0.9736553554288571
ACH-000108,-1.205067341563415
ACH-000113,-1.0651678341714903
ACH-000116,-1.3425855188774916
ACH-000118,-1.1088090040178014
ACH-000120,-1.037938847356897
ACH-000123,-1.0639371578811267
ACH-000127,-1.1947208362185
ACH-000128,-1.4359570158720014
ACH-000132,-1.3766765680283777
ACH-000133,-1.046801703566851
ACH-000137,-1.3855485741039264
ACH-000138,-1.0229259661818133
ACH-000142,-1.0245886039875054
ACH-000143,-0.8609658216736267
ACH-000146,-1.4534293292628324
ACH-000148,-1.2717057889466001
ACH-000150,-0.994384443248182
