,SPDL1 (54908)
ACH-000004,-0.8075497891167164
ACH-000005,-0.4616176426550875
ACH-000007,-0.7812564718468733
ACH-000009,-0.7215772032929353
ACH-000011,-0.5144852011944699
ACH-000012,-0.7510001215428622
ACH-000013,-0.6443456609673573
ACH-000014,-0.5792455953229164
ACH-000015,-0.7488506543818293
ACH-000017,-0.5029234253585141
ACH-000018,-0.6810418081026548
ACH-000019,-0.5744065503593647
ACH-000021,-0.4764599059111703
ACH-000022,-0.823311622360655
ACH-000025,-0.6024761085768127
ACH-000028,-0.6834987351358128
ACH-000030,-0.6565188049770615
ACH-000035,-0.7681606925161887
ACH-000036,-0.583732772896927
ACH-000037,-0.6759516085298196
ACH-000039,-0.516702031510873
ACH-000040,-0.7503431970479422
ACH-000041,-0.685223119296465
ACH-000042,-0.5021674880949071
ACH-000045,-0.5902528700993924
ACH-000047,-0.7539924673051942
ACH-000052,-0.7514939596996053
ACH-000053,-0.8713194685712826
ACH-000054,-0.728058032539876
ACH-000055,-0.7346253740389868
ACH-000060,-0.7146984746169083
ACH-000067,-0.5889597279335692
ACH-000070,-0.7399810820154035
ACH-000075,-0.7366665640649823
ACH-000078,-0.8288996447040806
ACH-000082,-0.7724284490049226
ACH-000085,-0.6995401619134671
ACH-000086,-0.6537428044843652
ACH-000087,-0.8311249340085053
ACH-000092,-0.8009177863953955
ACH-000095,-0.7324438640765522
ACH-000097,-0.758170285780812
ACH-000098,-0.6281675090125335
ACH-000099,-0.6012398030250659
ACH-000108,-0.6417485058905286
ACH-000113,-0.7458705042353395
ACH-000116,-0.7357075217842419
ACH-000118,-0.5901513661968013
ACH-000120,-0.7745108853927767
ACH-000123,-0.6071652897765574
ACH-000127,-0.6368532340189303
ACH-000128,-0.633246623657506
ACH-000132,-0.4347072360289115
ACH-000133,-0.4670253110827236
ACH-000137,-0.7034079740816808
ACH-000138,-0.601248247741534
ACH-000142,-0.5255775284194477
ACH-000143,-0.6925607644371712
