,TNKS2 (80351)
ACH-000004,-0.052526586555542806
ACH-000005,-0.05935374921654605
ACH-000007,0.047301697811311716
ACH-000009,-0.1750064837085233
ACH-000011,-0.14956883544643754
ACH-000012,-0.024754043451384544
ACH-000013,-0.0832609726030205
ACH-000014,-0.07760985249937352
ACH-000015,0.020076545379357887
ACH-000017,-0.08988314289516929
ACH-000018,-0.05341453209791329
ACH-000019,0.07779282492789706
ACH-000021,0.08778354005116787
ACH-000022,-0.054915237133140435
ACH-000025,-0.26080811365338796
ACH-000028,0.010465875634189957
ACH-000030,-0.10741897736491236
ACH-000035,-0.17490191668907482
ACH-000036,0.001641772933316598
ACH-000037,0.14392535768470807
ACH-000039,0.08503212434891164
ACH-000040,-0.13496707048256795
ACH-000041,-0.0771993430209886
ACH-000042,-0.12989884644058708
ACH-000045,-0.06644089266966027
ACH-000047,-0.09685571719820912
ACH-000052,-0.062076201882381325
ACH-000053,0.054017970124866165
ACH-000054,-0.015042721118793496
ACH-000055,-0.06067718088207389
ACH-000060,-0.4232160259328141
ACH-000067,-0.19260145816329224
ACH-000070,0.02400445188014672
ACH-000075,0.014891004060334525
ACH-000078,-0.041779925219733234
ACH-000082,-0.018963467960212376
ACH-000085,0.1174920908708321
ACH-000086,-0.09942573713707904
ACH-000087,-0.08483218452296491
ACH-000092,0.05664247752124104
ACH-000095,-0.03724904470735549
ACH-000097,0.03305320331862941
ACH-000098,0.0045872478032091615
ACH-000099,-0.04343329742593655
ACH-000108,0.1196181734491612
ACH-000113,-0.04469729839574142
ACH-000116,-0.04636654886333195
ACH-000118,0.006582038069897803
ACH-000120,-0.02491950570470637
ACH-000123,-0.04712514086707078
ACH-000127,-0.07839046909921316
ACH-000128,0.012708039950384215
ACH-000132,0.02779853003001239
ACH-000133,-0.09925600631660204
ACH-000137,-0.013285092803595373
ACH-000138,-0.08689281630962949
ACH-000142,-0.08263907764275602
ACH-000143,-0.10161935745335746
ACH-000146,0.011966265534832682
ACH-000148,-0.02204183767514875
ACH-000150,-0.13757030875030926
ACH-000152,-0.1078654345587969
ACH-000153,0.11877890755026445
