,TAF1C (9013)
ACH-000004,-1.1609412107424528
ACH-000005,-1.0280052961184678
ACH-000007,-1.2073693191928363
ACH-000009,-0.8220877743948738
ACH-000011,-0.9609854101366954
ACH-000012,-0.9623001742481494
ACH-000013,-1.3558977013786078
ACH-000014,-1.190257461934569
ACH-000015,-1.1052303495138074
ACH-000017,-1.0775445138235342
ACH-000018,-1.0385326246649778
ACH-000019,-0.7608888684515236
ACH-000021,-0.996701636616082
ACH-000022,-1.0167248688437514
ACH-000025,-1.3538312993435928
ACH-000028,-0.7793323138043025
ACH-000030,-1.0674591141049312
ACH-000035,-1.1946376635812976
ACH-000036,-1.0574518378282085
ACH-000037,-1.450740471641899
ACH-000039,-1.1996501153756782
ACH-000040,-1.0878642826383815
ACH-000041,-1.2159772937240647
ACH-000042,-0.9793348618280848
ACH-000045,-1.1591989082971257
ACH-000047,-1.1087352236303003
ACH-000052,-0.9498030212370988
ACH-000053,-1.1917601688043549
ACH-000054,-1.1064349489424017
ACH-000055,-1.2691560464119442
ACH-000060,-1.341276877868177
ACH-000067,-1.0866284215549549
ACH-000070,-1.0922573455172664
ACH-000075,-1.2352686995915525
ACH-000078,-1.057586590136245
ACH-000082,-1.28467377648994
ACH-000085,-1.3035600753495509
ACH-000086,-0.9490459657169112
ACH-000087,-1.2445033156975909
ACH-000092,-1.1039926402192952
ACH-000095,-1.1614237986007798
ACH-000097,-1.0295696894271316
ACH-000098,-1.1461742528214895
ACH-000099,-0.8191870602026885
ACH-000108,-1.2037297587400868
ACH-000113,-1.1338000597945186
ACH-000116,-0.9497318896692089
ACH-000118,-1.1245188725752555
ACH-000120,-1.1205761378181804
ACH-000123,-1.086209656393455
ACH-000127,-0.8888225229098922
ACH-000128,-1.160707283707075
ACH-000132,-0.9532800388541326
ACH-000133,-1.0500319100935698
ACH-000137,-1.2340068230897172
ACH-000138,-0.9725782874759852
ACH-000142,-1.1231347030458272
ACH-000143,-1.1962452777847097
ACH-000146,-0.8256001423278608
ACH-000148,-1.0693063924523931
ACH-000150,-1.1274420272876693
ACH-000152,-1.1701891238496949
ACH-000153,-1.3818487666507648
ACH-000159,-1.1930231942976328
ACH-000160,-0.8441061015783536
ACH-000163,-1.0997030884457095
ACH-000167,-0.9118080730429516
ACH-000168,-1.2384821601400688
ACH-000169,-1.1430084900992552
ACH-000178,-0.983002158183336
ACH-000183,-1.009335400640885
