,DDX19A (55308)
ACH-000004,-0.5261982105894842
ACH-000005,-0.562927753216708
ACH-000007,-0.3167912110671782
ACH-000009,-0.6138787499373634
ACH-000011,-0.5742171180703937
ACH-000012,-0.6215345946469301
ACH-000013,-0.7709653642304509
ACH-000014,-0.5385535689698756
ACH-000015,-0.4458658199367007
ACH-000017,-0.7152338113509562
ACH-000018,-0.4732984834267444
ACH-000019,-0.4890328399494673
ACH-000021,-0.4382787598784597
ACH-000022,-0.495524687131511
ACH-000025,-0.5765380151667895
ACH-000028,-0.4165843595708379
ACH-000030,-0.460275106005835
ACH-000035,-0.5387984483727203
ACH-000036,-0.42284974853784
ACH-000037,-0.8123059451582881
ACH-000039,-0.7762487816197675
ACH-000040,-0.4496578378745568
ACH-000041,-0.5055903372637165
ACH-000042,-0.495687521147768
ACH-000045,-0.493001593235915
ACH-000047,-0.5598751360308659
ACH-000052,-0.6245660070504383
ACH-000053,-0.457442916397641
ACH-000054,-0.5575253391100125
ACH-000055,-0.6519617167763806
ACH-000060,-0.3911400283110244
ACH-000067,-0.5366599147322818
ACH-000070,-0.45662724064212
ACH-000075,-0.5330960601408743
ACH-000078,-0.4934675578768551
ACH-000082,-0.6176805245889531
ACH-000085,-0.5563516620274972
ACH-000086,-0.5335096287862562
ACH-000087,-0.8984275756188859
ACH-000092,-0.5269876910753579
ACH-000095,-0.7240787071081177
ACH-000097,-0.5816719651031486
ACH-000098,-0.6137513509579303
ACH-000099,-0.4554621960468192
ACH-000108,-0.523427589444189
ACH-000113,-0.3701360287176086
ACH-000116,-0.7700182432893403
ACH-000118,-0.4082892390346092
ACH-000120,-0.4847604931620354
ACH-000123,-0.6698780626045527
ACH-000127,-0.3767535164411412
ACH-000128,-0.5666123966309642
ACH-000132,-0.5259021347072051
ACH-000133,-0.8331731442925137
ACH-000137,-0.4451732477594378
ACH-000138,-0.3484394331749993
ACH-000142,-0.6585360640585304
ACH-000143,-0.5070526318379822
ACH-000146,-0.6116929622760859
ACH-000148,-0.5076878206387276
ACH-000150,-0.6444102464127872
ACH-000152,-0.6753268453549117
ACH-000153,-0.4382991878919574
ACH-000159,-0.4822264561472179
ACH-000160,-0.6288014540394385
ACH-000163,-0.4891253962994939
ACH-000167,-0.9374220862069196
ACH-000168,-0.43266117374775
ACH-000169,-0.6711351287612068
ACH-000178,-0.4909456823224518
ACH-000183,-0.4375043102247149
ACH-000188,-0.4012228985712543
ACH-000189,-0.5175059581424118
ACH-000190,-0.3564303868785815
ACH-000198,-0.4795894301323229
ACH-000203,-0.6544680827479581
ACH-000204,-0.5768578970259052
ACH-000206,-0.2280669463299102
ACH-000207,-0.6407005641036889
ACH-000208,-0.5256998030454734
ACH-000210,0.041520321488799423
ACH-000211,-0.6378104068624411
ACH-000215,-0.4805024931693422
ACH-000221,-0.5667787568827567
ACH-000222,-0.6193431845709086
ACH-000223,-0.4559704693576221
ACH-000226,-0.41767958109529424
ACH-000227,-0.5580072741473538
ACH-000228,-0.6267849325698271
ACH-000231,-0.6818617985023289
ACH-000232,-0.3238649492127452
ACH-000233,-0.4739732630922786
ACH-000234,-0.6038166494691255
ACH-000235,-0.4961108348874259
ACH-000237,-0.6060311270582395
ACH-000238,-0.5645970314623366
ACH-000242,-0.4464570769229017
ACH-000243,-0.4906660373687144
ACH-000244,-0.502451570569576
ACH-000246,-0.4137774419948393
ACH-000248,-0.858977712091864
ACH-000250,-0.5969961324267757
ACH-000251,-0.2909159394224459
ACH-000252,-0.4422493237874656
ACH-000253,-0.5774316765636206
ACH-000255,-0.5890930223767759
ACH-000256,-0.4673895070563127
ACH-000257,-0.5726301824704219
ACH-000258,-0.4373982694854096
ACH-000259,-0.4189202415655476
ACH-000260,-0.6273899504999879
ACH-000261,-0.5333002929956385
ACH-000262,-0.9107862718028136
ACH-000263,-0.4169965187458558
ACH-000264,-0.5377143619415935
ACH-000265,-0.5022342963960593
ACH-000266,-0.4753598812520524
ACH-000272,-0.38252165375553226
ACH-000274,-0.4599576363910899
ACH-000277,-0.44390163026742296
ACH-000278,-0.87465712066853
ACH-000279,-0.559207003296556
ACH-000280,-0.6582500235168327
ACH-000281,-0.5461791534618271
ACH-000288,-0.5262966142137068
ACH-000291,-0.7082837262199422
ACH-000293,-0.3646023792754712
ACH-000294,-0.4901344815844976
ACH-000295,-0.6314181952028113
ACH-000296,-0.6743040405808163
ACH-000302,-0.4782288971847782
ACH-000304,-0.5334806951807315
ACH-000307,-0.4940213961317477
ACH-000308,-0.5125975386874722
ACH-000310,-0.6650062991619591
ACH-000311,-0.4622055644783378
ACH-000312,-0.31160576176388705
ACH-000315,-0.4485156792186185
ACH-000316,-0.6910635232005634
ACH-000317,-0.4556351808310539
ACH-000318,-0.4713402712342203
ACH-000319,-0.5701783266522987
ACH-000320,-0.4826365112061866
ACH-000322,-0.5249233128832097
ACH-000323,-0.4980015894087389
ACH-000324,-0.504820104842468
ACH-000329,-0.5541750436658469
ACH-000330,-0.7203065354231579
ACH-000331,-0.4838178786138554
ACH-000332,-0.4222605701540608
ACH-000334,-0.4542851573124882
ACH-000335,-0.3238743512698352
ACH-000336,-0.6629557336707694
ACH-000337,-0.5865249580798718
ACH-000338,-0.8283871630188084
ACH-000339,-0.5839263930283939
ACH-000341,-0.6126812610853004
ACH-000348,-0.5491306091756598
ACH-000350,-0.5677851683282951
ACH-000352,-0.4400792217487508
ACH-000356,-0.6070525695665125
ACH-000361,-0.6801341539109235
ACH-000362,-0.5135948510344311
ACH-000363,-0.4297772101146632
ACH-000364,-0.1882922440157982
ACH-000365,-0.4616547991799762
ACH-000366,-0.4797036742623214
ACH-000368,-0.7795299929943721
ACH-000374,-0.7647628706154252
ACH-000375,-0.7083583906051755
ACH-000376,-0.35027693657761977
ACH-000381,-0.6382134983069474
ACH-000383,-0.4918418222606233
ACH-000387,-0.4032044083979745
ACH-000389,-0.6686784629115764
ACH-000390,-0.4432549613050787
ACH-000393,-0.5120443878872878
ACH-000395,-0.7341540637918005
ACH-000396,-0.4753897303809465
ACH-000397,-0.38017299899481904
ACH-000401,-0.5079294606138918
ACH-000402,-0.4296411531656035
ACH-000403,-0.5099364668909699
ACH-000404,-0.15049842508962133
ACH-000406,-1.0927319765325672
ACH-000407,-0.4114928296367269
ACH-000408,-0.6344804093410826
ACH-000410,-0.5039614470785653
ACH-000411,-0.3541498844910009
ACH-000414,-0.3921306317080201
ACH-000415,-0.7515887756069598
ACH-000416,-0.40258951661591
ACH-000420,-0.4607909099230539
ACH-000421,-0.5215851680250443
ACH-000424,-0.6417493248975955
ACH-000425,-0.4428179782372799
ACH-000426,-0.4572744023490035
ACH-000427,-0.500227520906609
ACH-000433,-0.6177864747673999
ACH-000435,-0.7789917945752309
ACH-000436,-0.7230779630974675
ACH-000444,-0.4866327969443981
ACH-000445,-0.3341875083718455
ACH-000448,-0.5611251562902844
ACH-000450,-0.5765783949404755
ACH-000452,-0.5251925525507001
ACH-000454,-0.4756074050434451
ACH-000458,-1.0005060815419928
ACH-000459,-0.7364519439323854
ACH-000460,-0.6351657475480599
ACH-000461,-0.4562572054325075
ACH-000463,-0.6527915195749586
ACH-000464,-0.4389936775524595
ACH-000466,-0.5452001126836235
ACH-000467,-0.6196518564844832
ACH-000468,-0.5090676750840092
ACH-000469,-0.6079368249183922
ACH-000470,-0.6026266136971246
ACH-000471,-0.4838215411523139
ACH-000472,-0.4092703042081653
ACH-000473,-0.3712178463669121
ACH-000475,-0.3840095214076523
ACH-000476,-0.5187112208416113
ACH-000477,-0.5907813880447684
ACH-000479,-0.5453022335834441
ACH-000480,-0.4720897432857424
ACH-000481,-0.5722358788166333
ACH-000483,-0.6345763007939162
ACH-000484,-0.7571190896272932
ACH-000485,-0.4005898176083228
ACH-000486,-0.4116986856170367
ACH-000487,-0.4472363966756907
ACH-000488,-0.7306839830592092
ACH-000490,-0.5161266030130505
ACH-000491,-0.4049594780832205
ACH-000495,-0.6309060105705894
ACH-000496,-0.4436247076088427
ACH-000499,-0.6460806254876252
ACH-000500,-0.7296411461325071
ACH-000502,-0.4758333375463661
ACH-000503,-0.4678286708102401
ACH-000505,-0.4718286634120309
ACH-000507,-0.7353514168199835
ACH-000510,-0.7210100468267855
ACH-000511,-0.6235235956514676
ACH-000512,-0.6510266227578627
ACH-000516,-0.6291825680174814
ACH-000517,-0.6264110640439444
ACH-000518,-0.6391423754910631
ACH-000520,-0.6074347426974431
ACH-000521,-0.424278619825125
ACH-000522,-0.535754638363872
ACH-000524,-0.6087959983093858
ACH-000527,-0.5024331435494848
ACH-000528,-0.4844087319284073
ACH-000537,-0.578905021488672
ACH-000541,-0.4917270479722824
ACH-000542,-0.5166010306371289
ACH-000544,-1.001482176781028
ACH-000545,-0.4925069505295826
ACH-000547,-0.5340751880818031
ACH-000548,-0.6151817507095735
ACH-000549,-0.4694724544386714
ACH-000550,-0.576017977549035
ACH-000552,-0.429920402153636
ACH-000556,-0.4495936553798422
ACH-000557,-0.5346303520199159
ACH-000569,-0.8378314351532147
ACH-000570,-0.823699113775398
ACH-000571,-0.5638732491557584
ACH-000573,-0.5225397933354147
ACH-000576,-0.6541047632966344
ACH-000579,-0.5329643403617553
ACH-000580,-0.4675162559660361
