,SLC2A4RG (56731)
ACH-000004,0.0031418527453947946
ACH-000005,-0.0783846561955044
ACH-000007,0.20083979329530266
ACH-000009,-0.16474852309753488
ACH-000011,0.0315698674642965
ACH-000012,0.06575610671441218
ACH-000013,0.03539444524516037
ACH-000014,-0.01214596980160541
ACH-000015,0.12202484142459552
ACH-000017,-0.18062936755298184
ACH-000018,0.09892132694927294
ACH-000019,-0.052913116181904966
ACH-000021,0.028192623217747632
ACH-000022,0.01336390980222698
ACH-000025,0.12628111043326398
ACH-000028,-0.09243114473180317
ACH-000030,-0.036542409893028004
ACH-000035,0.03854482496790507
ACH-000036,0.019178244455282312
ACH-000037,-0.00459079194269388
ACH-000039,0.16539085753855676
ACH-000040,0.08716656108253645
ACH-000041,0.04430161330032857
ACH-000042,-0.020068083957271603
ACH-000045,-0.06871514121654625
ACH-000047,-0.09925631920967652
ACH-000052,0.04063192092846751
ACH-000053,0.08034039473171531
ACH-000054,-0.08683733913123008
ACH-000055,0.0008341356017104262
ACH-000060,0.08609056741005773
ACH-000067,0.027583851500604974
ACH-000070,0.053354569977312735
ACH-000075,0.05196378833091768
ACH-000078,-0.2477435473542849
ACH-000082,0.022208654316150562
ACH-000085,0.06937111238525538
ACH-000086,0.06583693083419473
ACH-000087,0.001999559552102752
ACH-000092,0.05857525472364769
ACH-000095,0.05194943411734325
ACH-000097,-0.08344855876146984
ACH-000098,0.21875830359302065
ACH-000099,-0.2437421080715761
ACH-000108,-0.1397449030572574
ACH-000113,-0.03811153374316993
ACH-000116,0.1285030627452513
ACH-000118,0.04518894943305519
ACH-000120,-0.16103013630774116
ACH-000123,0.0823583408532959
ACH-000127,-0.02067015410995233
ACH-000128,-0.004374093719120414
ACH-000132,-0.07044346433434667
ACH-000133,-0.0647689614645118
ACH-000137,0.1464025295294309
ACH-000138,0.08399705437074734
ACH-000142,0.008492999836278712
ACH-000143,0.02943241164954393
ACH-000146,0.21515731823270348
ACH-000148,0.06301236955211223
ACH-000150,0.07321044098435954
ACH-000152,0.1434227838226689
ACH-000153,-0.03370444547721678
ACH-000159,0.024056473221161983
ACH-000160,-0.09815015341254678
ACH-000163,0.1829243002891104
ACH-000167,0.2930919066700277
ACH-000168,0.10314596492034303
ACH-000169,-0.005886099194943267
ACH-000178,-0.06332210708552256
ACH-000183,-0.052003162327668384
ACH-000188,-0.025046449310178125
ACH-000189,0.06377505006234407
ACH-000190,0.1703879464192891
ACH-000198,-0.0022234007863313862
ACH-000203,-0.15459437625092629
ACH-000204,-0.2035402607716907
ACH-000206,0.11944055707913885
ACH-000207,-0.08784596446692444
ACH-000208,-0.2653670863406719
ACH-000210,-0.2257586284934079
ACH-000211,-0.009653684263210078
ACH-000215,0.08509187048423568
ACH-000221,-0.06256666777589798
ACH-000222,0.2154323726935821
ACH-000223,-0.1529103788345324
ACH-000226,0.007118824916942355
ACH-000227,0.09139584294102797
ACH-000228,-0.21763514605066986
ACH-000231,-0.009327324235450764
ACH-000232,0.031961167500043484
ACH-000233,0.0045125042430719815
ACH-000234,-0.0980861370506497
ACH-000235,-0.02453111948503129
ACH-000237,0.005530990127178935
ACH-000238,0.0051396618033435326
ACH-000242,0.10782779576169617
ACH-000243,-0.004554466997610093
ACH-000244,-0.024021307147201847
ACH-000246,-0.020218397561627143
ACH-000248,-0.006280700324964107
ACH-000250,-0.026352048676687726
ACH-000251,-0.07685595862493981
ACH-000252,-0.2422443666874105
ACH-000253,0.02900862414288195
ACH-000255,0.14782114211238193
ACH-000256,-0.2429639174761304
ACH-000257,0.06589377920638025
ACH-000258,-0.09526650399232796
ACH-000259,-0.12037790154530607
ACH-000260,-0.06733608462971008
ACH-000261,0.06583765321640549
ACH-000262,0.012365247986781434
ACH-000263,-0.013222209683437323
ACH-000264,0.02148756316896332
ACH-000265,0.08338125935570155
ACH-000266,0.02231400078698023
ACH-000272,-0.0695707577150485
ACH-000274,0.013315200297758659
ACH-000277,-0.5113357461984502
ACH-000278,-0.05821851396637932
ACH-000279,0.13479428294625134
ACH-000280,0.05341567505589533
ACH-000281,-0.027692708355427392
ACH-000288,-0.0178068985988775
ACH-000291,-0.09546635105369013
ACH-000293,0.14937376500315966
ACH-000294,-0.03131762168040453
ACH-000295,0.05451948471652269
ACH-000296,-0.10732425083701536
ACH-000302,0.06871374242178405
ACH-000304,-0.06747809005102694
