,PACRG (135138)
ACH-000004,0.24088251119088575
ACH-000005,0.30378096150670497
ACH-000007,0.1929446440930914
ACH-000009,0.17228359352943695
ACH-000011,0.034436399230484534
ACH-000012,0.05340055404808982
ACH-000013,0.1460821343688947
ACH-000014,0.2023816612055615
ACH-000015,0.14655490414640218
ACH-000017,0.04799438362612514
ACH-000018,0.28839204676642943
ACH-000019,0.08508314329226888
ACH-000021,0.14412385428260185
ACH-000022,0.04829247590873896
ACH-000025,0.2181372373120941
ACH-000028,0.16246118909833454
ACH-000030,0.2525023901455745
ACH-000035,0.15232984882096512
ACH-000036,0.15207009689762635
ACH-000037,0.13234874559783616
ACH-000039,-0.03536249574549198
ACH-000040,0.12967680006773147
ACH-000041,0.19368844210760786
ACH-000042,0.13594406283490362
ACH-000045,0.26710603612787864
ACH-000047,0.1924597179467727
ACH-000052,0.12022581129281755
ACH-000053,0.2414732196138561
ACH-000054,0.12265046769295232
ACH-000055,0.03718926072955955
ACH-000060,0.20037527530420876
ACH-000067,0.05554758919652605
ACH-000070,-0.011631233206576042
ACH-000075,0.13308165766314906
ACH-000078,0.12262897576149018
ACH-000082,0.1342038244160139
ACH-000085,0.2549000623391418
ACH-000086,0.2306373364327296
ACH-000087,0.15883879879232224
ACH-000092,0.1557486648173136
ACH-000095,0.1866846424992814
ACH-000097,0.15294261627929975
ACH-000098,0.14771705115705358
ACH-000099,0.17540224750970912
ACH-000108,0.1896784594018508
ACH-000113,0.09160231109017714
ACH-000116,0.12323012233128525
ACH-000118,0.19834829603150944
ACH-000120,0.08583080970343036
ACH-000123,0.1262947653679305
ACH-000127,0.18324319443818265
ACH-000128,0.15930357915473609
ACH-000132,0.23413191977303066
ACH-000133,0.13486758916506894
ACH-000137,0.16098831498027802
ACH-000138,0.27610553777756897
ACH-000142,0.06467433935074579
ACH-000143,0.22977752440990745
ACH-000146,0.18846115711253605
ACH-000148,0.24127973231626124
ACH-000150,0.20550654352119335
ACH-000152,0.20969743105296088
ACH-000153,0.3915557073346091
ACH-000159,0.1377818254107603
ACH-000160,0.11861944083199565
ACH-000163,0.2260038495210517
ACH-000167,0.2279657676113145
ACH-000168,0.16258488893900264
ACH-000169,0.1591334771109433
ACH-000178,0.3122914369458279
ACH-000183,0.06808966795099426
ACH-000188,0.19187524851751997
ACH-000189,0.19453754239135165
ACH-000190,0.18823155564274813
ACH-000198,0.13054205824061807
ACH-000203,0.2477282113430743
ACH-000204,-0.19651567302477385
ACH-000206,0.3021494668383619
ACH-000207,0.0616071290303758
ACH-000208,0.43027935725892624
ACH-000210,0.31648406717126715
ACH-000211,0.08527252803690594
ACH-000215,0.17819061238259012
ACH-000221,0.14309923373192915
ACH-000222,0.21235919756533367
