,MAFA (389692)
ACH-000004,0.3008531823579459
ACH-000005,-0.5371347073981235
ACH-000007,-0.06047501719729419
ACH-000009,-0.08585265439182993
ACH-000011,-0.1659836730714325
ACH-000012,-0.12752712589617402
ACH-000013,0.04595425080895788
ACH-000014,0.046133834095518265
ACH-000015,0.07157429183935872
ACH-000017,-0.010325448294152424
ACH-000018,-0.0511145061071457
ACH-000019,0.17889128763891834
ACH-000021,-0.0071503345298685106
ACH-000022,-0.06266233137124809
ACH-000025,0.03833466225588187
ACH-000028,0.011829928220643908
ACH-000030,0.012678339408973616
ACH-000035,-0.047858121603719606
ACH-000036,-0.030054851939314155
ACH-000037,0.013151536550740778
ACH-000039,-0.2479269024823231
ACH-000040,0.12708962902873044
ACH-000041,0.025238635404615243
ACH-000042,-0.11151818049827543
ACH-000045,0.07551779555932836
ACH-000047,0.028264447716475318
ACH-000052,0.020661369223723282
ACH-000053,-0.09314891059375068
ACH-000054,-0.025451445715772576
ACH-000055,-0.006533255026247462
ACH-000060,-0.16747303856621015
ACH-000067,-0.04912910835957892
ACH-000070,0.02329181236695281
ACH-000075,-0.005388522420625125
ACH-000078,-0.0326362229361331
ACH-000082,-0.01604957808809205
ACH-000085,-0.11227615755183218
ACH-000086,0.04773885843079288
ACH-000087,-0.012310690893316677
ACH-000092,0.010139077701704495
ACH-000095,-0.061423254569998025
ACH-000097,-0.12872134605577334
ACH-000098,0.018750991293881608
ACH-000099,-0.0151616336966487
ACH-000108,-0.01968391937898491
ACH-000113,-0.034540237907432984
ACH-000116,-0.035521063764862776
ACH-000118,-0.04142985910096286
ACH-000120,-0.12777088298300587
ACH-000123,-0.048701621917855285
ACH-000127,0.033804774352323576
ACH-000128,-0.08091748749602162
ACH-000132,0.046212567636745326
ACH-000133,-0.033303920569703445
ACH-000137,0.05989104675920996
ACH-000138,-0.07273487620492823
ACH-000142,0.00026207787730916075
ACH-000143,0.036103341544769484
ACH-000146,0.004884392359729524
ACH-000148,-0.04499186090737752
ACH-000150,-0.23627635588391144
ACH-000152,0.05549093902027881
ACH-000153,-0.11584390936545046
ACH-000159,-0.09772410609268263
ACH-000160,0.05814032973236865
ACH-000163,-0.22227061776087245
ACH-000167,-0.07629975506548696
ACH-000168,0.11055659854699944
ACH-000169,-0.03695272061618322
ACH-000178,-0.06256134931117055
ACH-000183,0.07766298448835672
ACH-000188,0.01913081021585467
ACH-000189,-0.09118701524290213
ACH-000190,-0.10569641546313284
ACH-000198,0.04229903869540881
ACH-000203,0.042762591653154255
