,BSCL2 (26580)
ACH-000004,-0.06719979199183809
ACH-000005,-0.12750321182313348
ACH-000007,-0.2585439665026083
ACH-000009,-0.20440269784621654
ACH-000011,-0.1860360372554362
ACH-000012,-0.17976204421654784
ACH-000013,-0.16052092308543342
ACH-000014,0.14086659331809895
ACH-000015,-0.1186131545006501
ACH-000017,-0.1887297389066979
ACH-000018,-0.3590891249968781
ACH-000019,-0.12792732457738232
ACH-000021,-0.22123978745281095
ACH-000022,-0.10726828109203566
ACH-000025,-0.32680703400715244
ACH-000028,-0.198648243758606
ACH-000030,-0.2585679393073401
ACH-000035,-0.19484730551639154
ACH-000036,-0.13493918908494207
ACH-000037,-0.2380236155169431
ACH-000039,-0.3670671240242531
ACH-000040,-0.35277604990375616
ACH-000041,-0.25797421684559835
ACH-000042,-0.2807380299513999
ACH-000045,-0.2287970080687147
ACH-000047,-0.19109196023837
ACH-000052,-0.2467955082694894
ACH-000053,-0.1970652802933108
ACH-000054,-0.15773255655135027
ACH-000055,-0.3786201058869255
ACH-000060,-0.1399105358351605
ACH-000067,-0.16653009262464066
ACH-000070,-0.055399600081773887
ACH-000075,-0.19233105632882164
ACH-000078,-0.3061124037484298
ACH-000082,-0.32901586909530245
ACH-000085,-0.8149757675606168
ACH-000086,-0.3535168574296053
ACH-000087,-0.1148199509695442
ACH-000092,-0.2406723545722383
ACH-000095,-0.14071335790675252
ACH-000097,-0.020697041948562717
ACH-000098,-0.1858258078906289
ACH-000099,-0.10929245907439476
ACH-000108,-0.13203479352597447
ACH-000113,-0.12806614319784804
ACH-000116,-0.3987126403807128
ACH-000118,-0.541059010723227
ACH-000120,-0.15464855191316138
ACH-000123,-0.3158662353175835
ACH-000127,-0.28319752711382745
ACH-000128,-0.14737541309467372
ACH-000132,-0.2910254726239451
ACH-000133,-0.35930178017846925
ACH-000137,-0.23417322594547094
ACH-000138,-0.20774709208403014
ACH-000142,-0.12412321063228285
ACH-000143,-0.6291014288691161
ACH-000146,-0.21372080923508235
ACH-000148,-0.1439890372478277
ACH-000150,-0.4135177098006651
