,SCMH1 (22955)
ACH-000004,0.01431377079970399
ACH-000005,-0.3693066892893926
ACH-000007,0.02130388431717884
ACH-000009,-0.057872454638021514
ACH-000011,-0.00597578582631354
ACH-000012,-0.14052041576728455
ACH-000013,-0.18114240244139093
ACH-000014,-0.17436444901861248
ACH-000015,-0.1276742350452312
ACH-000017,-0.094037504401709
ACH-000018,0.02234721641598428
ACH-000019,-0.1852521953597296
ACH-000021,-0.07666014243823684
ACH-000022,-0.1275675895626449
ACH-000025,-0.1478268435545568
ACH-000028,-0.04250021633791965
ACH-000030,-0.07923000101305562
ACH-000035,-0.1685734038793498
ACH-000036,-0.09251691849554784
ACH-000037,-0.12142351580001184
ACH-000039,-0.031021857395744937
ACH-000040,0.006628115151184363
ACH-000041,-0.04383014597234123
ACH-000042,-0.07606714019498173
ACH-000045,0.06175630129807722
ACH-000047,-0.07669335276108896
ACH-000052,0.06109444214732376
ACH-000053,-0.15037162642763052
ACH-000054,-0.04194136170599688
ACH-000055,-0.16648599704762582
ACH-000060,-0.12676334562848815
ACH-000067,-0.11847118607225872
ACH-000070,-0.24044053416147199
ACH-000075,-0.03408310364568905
ACH-000078,-0.16460511880905354
ACH-000082,-0.07016525925619847
ACH-000085,-0.03150751033162178
ACH-000086,-0.3235993453892393
ACH-000087,-0.06671295352255152
ACH-000092,-0.1519679679805808
ACH-000095,-0.14959668638207008
ACH-000097,-0.10103831737891092
ACH-000098,-0.1679107581656488
ACH-000099,-0.06412039479354126
ACH-000108,-0.12802668122326574
ACH-000113,-0.06562507799100624
ACH-000116,-0.1043257995921032
ACH-000118,-0.10233479755609408
ACH-000120,-0.17788698207934198
ACH-000123,-0.08415690892525615
ACH-000127,-0.10465459395295088
ACH-000128,0.07205913999996078
ACH-000132,-0.08698625690247026
ACH-000133,-0.04014797555211277
ACH-000137,-0.2216751957323258
ACH-000138,-0.04068788227750672
ACH-000142,-0.2190235661068215
ACH-000143,-0.2437651605060071
ACH-000146,-0.2071291756630145
ACH-000148,-0.16933461857909388
ACH-000150,-0.17774516674028915
ACH-000152,-0.10898422505459182
ACH-000153,-0.014184672261187069
ACH-000159,-0.1273315315215849
ACH-000160,-0.06889190548044961
ACH-000163,-0.04280234966201473
ACH-000167,-0.3143995789166394
ACH-000168,-0.09184385531242666
ACH-000169,-0.12626131637332785
ACH-000178,-0.02071148196503535
ACH-000183,-0.12288063180410973
ACH-000188,-0.3593325963084717
ACH-000189,-0.14703088774316697
ACH-000190,-0.1766415271414769
ACH-000198,-0.16223523727528713
ACH-000203,-0.478232092428966
ACH-000204,-0.0758947503115311
ACH-000206,-0.05054377234494332
ACH-000207,-0.12333333833260535
ACH-000208,-0.4299323947939976
ACH-000210,0.024504800093161763
ACH-000211,-0.014058979973141098
ACH-000215,-0.09653285842350208
ACH-000221,-0.05897537921132207
ACH-000222,-0.14839291746562197
ACH-000223,-0.1218301514994712
ACH-000226,-0.17235356116760334
ACH-000227,-0.2514132217464888
ACH-000228,-0.27787793654454057
ACH-000231,-0.07010801377138864
ACH-000232,-0.0668334794076138
ACH-000233,-0.00607501445422726
ACH-000234,0.02687866723451117
ACH-000235,-0.049284751337246115
ACH-000237,-0.11189161672799464
ACH-000238,-0.2411327351173578
ACH-000242,0.30740800043777544
