,BCL9L (283149)
ACH-000004,-0.2860097634338926
ACH-000005,-0.19657038771540986
ACH-000007,-0.6063917426073933
ACH-000009,-0.1810789111631417
ACH-000011,-0.04156304574923615
ACH-000012,-0.1082730086814749
ACH-000013,-0.2670432615530461
ACH-000014,-0.2651816791930089
ACH-000015,-0.3135259351232534
ACH-000017,-0.5266667428223066
ACH-000018,-0.3992023240055394
ACH-000019,-0.12795245186325704
ACH-000021,-0.12637144012919385
ACH-000022,-0.3098704621107645
ACH-000025,-0.1919013588212293
ACH-000028,-0.2969373706776209
ACH-000030,-0.24525811637896666
ACH-000035,-0.16182663417771972
ACH-000036,-0.2458474363454565
ACH-000037,-0.2205222353232212
ACH-000039,-0.2731119981858713
ACH-000040,0.0265721389858162
ACH-000041,-0.3992798965747429
ACH-000042,-0.11322448582506756
ACH-000045,-0.014144068802292438
ACH-000047,-0.059798419062211415
ACH-000052,-0.2731284993122867
ACH-000053,-0.17847044692045874
ACH-000054,-0.2617411135298945
ACH-000055,-0.343564100821206
ACH-000060,-0.1524793083485975
ACH-000067,-0.05828996420503784
ACH-000070,-0.10333726510699512
ACH-000075,-0.06077820293149446
ACH-000078,-0.4444696319016021
ACH-000082,-0.252154417920512
ACH-000085,-0.4178811447581893
ACH-000086,-0.2479264565684933
ACH-000087,-0.10646153223645063
ACH-000092,-0.18215575282236615
ACH-000095,-0.11956904503525945
ACH-000097,-0.6566485946647617
ACH-000098,0.11370760486640002
ACH-000099,-0.26141573060959084
ACH-000108,-0.2763580126384979
ACH-000113,-0.10756827021536916
ACH-000116,-0.4994230282083585
ACH-000118,-0.11860247603508102
ACH-000120,-0.3682351792563238
ACH-000123,-0.4706208421453938
ACH-000127,-0.21622207863882606
ACH-000128,-0.2993536480198062
ACH-000132,-0.13274601414241702
ACH-000133,-0.15175203724843533
ACH-000137,-0.08175847867673956
ACH-000138,-0.3457563919960127
ACH-000142,0.1052893019899229
ACH-000143,-0.16958146294942644
ACH-000146,-0.19795003517692875
ACH-000148,-0.23065026534940025
ACH-000150,-0.006492327067865061
ACH-000152,-0.29450896304878904
ACH-000153,-0.028481318273393112
ACH-000159,-0.12191744044129812
ACH-000160,-0.17395818714448402
