,WT1 (7490)
ACH-000004,0.08133760147460803
ACH-000005,0.2033202893581949
ACH-000007,-0.1279003296628672
ACH-000009,0.17624627774926965
ACH-000011,0.13657227124390786
ACH-000012,0.23247371624852545
ACH-000013,-0.6704152061382443
ACH-000014,0.07623688414888921
ACH-000015,0.14805304854936902
ACH-000017,0.1251920078585878
ACH-000018,0.13986289415374945
ACH-000019,0.015596145187603513
ACH-000021,0.021412756032094974
ACH-000022,0.08332262408830414
ACH-000025,0.21082315959463305
ACH-000028,0.038903938889931766
ACH-000030,0.038183123521020434
ACH-000035,0.031085804761838788
ACH-000036,0.2578889608455344
ACH-000037,0.20489328363431586
ACH-000039,0.2916954154340545
ACH-000040,0.10827390266159906
ACH-000041,0.01856885496523326
ACH-000042,0.010757364365389469
ACH-000045,0.7214218672669059
ACH-000047,0.08137887435409216
ACH-000052,0.2033170954152162
ACH-000053,0.1907518924203646
ACH-000054,0.19870016496035225
ACH-000055,0.24273603395711596
ACH-000060,0.028371426854814464
ACH-000067,0.1262316338758698
ACH-000070,-0.014211923471702241
ACH-000075,0.2379606749318321
ACH-000078,0.21847935829178144
ACH-000082,0.04959101925957637
ACH-000085,0.1605924106092773
ACH-000086,0.1869919093453008
ACH-000087,0.16452621864885966
ACH-000092,0.2165788693918476
ACH-000095,0.09265162945371452
ACH-000097,0.17755460636932074
ACH-000098,0.15320353362410868
ACH-000099,0.18068182014065207
ACH-000108,0.11189175599887356
ACH-000113,0.3585569365135812
ACH-000116,0.11396717981808498
ACH-000118,-0.001310674819483873
ACH-000120,-0.04332130820431475
ACH-000123,-0.7203699173299086
ACH-000127,0.19014586335670294
ACH-000128,0.2147240281042788
ACH-000132,0.18536952928059366
ACH-000133,0.19719649844224
ACH-000137,0.11305100491372545
ACH-000138,0.1963700879457324
ACH-000142,0.08341553940795905
ACH-000143,0.10742170422529104
ACH-000146,-0.007415473204429473
ACH-000148,0.18120636454977695
ACH-000150,0.1070900842368637
ACH-000152,0.19255545420337086
ACH-000153,0.26767302026955675
ACH-000159,0.13351766221911124
ACH-000160,0.20663166568350544
ACH-000163,0.2992252588818793
ACH-000167,0.39227254697720587
ACH-000168,0.588729338486634
ACH-000169,0.0825479172940525
ACH-000178,0.10258541138198614
ACH-000183,-0.08133837274168784
ACH-000188,0.055573986082990384
ACH-000189,0.06270240620795227
ACH-000190,0.19790911717962684
ACH-000198,0.6755959396483737
ACH-000203,0.14237482678754645
ACH-000204,0.3032582709479257
ACH-000206,0.1671295923662757
ACH-000207,0.05018873715966131
ACH-000208,0.032105381693318544
ACH-000210,0.2566873552334906
ACH-000211,0.19849127018700374
ACH-000215,0.003212056897776561
ACH-000221,-0.16541855427547428
ACH-000222,0.0906967919420922
ACH-000223,0.2437649949007325
ACH-000226,0.05760706004657989
ACH-000227,0.05460381444769183
ACH-000228,0.3087584574736025
ACH-000231,0.19823522709766805
ACH-000232,0.008287790092543094
ACH-000233,0.08568551621812508
ACH-000234,0.11344103972543315
ACH-000235,0.03698837335502648
ACH-000237,0.1882713482613999
ACH-000238,0.08574920481795
ACH-000242,0.1923603960955171
ACH-000243,0.11801634764604045
ACH-000244,0.16149320989149726
ACH-000246,0.12141794019094547
ACH-000248,0.42270517422743736
ACH-000250,0.09613922744031726
ACH-000251,0.2263568608717878
ACH-000252,0.2100948476492915
ACH-000253,0.2463096695745749
ACH-000255,0.3229645217911089
ACH-000256,-0.1978345493079887
ACH-000257,-0.0987519802644826
ACH-000258,0.14884986291417765
ACH-000259,0.13497117908722894
ACH-000260,0.06828754992131063
ACH-000261,0.09474036135282768
ACH-000262,0.455548635171628
ACH-000263,0.2123773419487268
ACH-000264,0.16815767007383128
ACH-000265,-0.06363223585630222
