,NRBF2 (29982)
ACH-000004,-0.26744613107415144
ACH-000005,-0.16884513793924905
ACH-000007,-0.06335076162657416
ACH-000009,-0.19646300270301212
ACH-000011,-0.2821051567364759
ACH-000012,-0.3020564170298645
ACH-000013,-0.2191190646010377
ACH-000014,-0.3652317117785908
ACH-000015,-0.26818498804420704
ACH-000017,-0.12190565098806228
ACH-000018,-0.1828789500787276
ACH-000019,-0.2368963229024899
ACH-000021,-0.09913828392988973
ACH-000022,-0.2137289968512037
ACH-000025,-0.31632507374734986
ACH-000028,-0.436364844127919
ACH-000030,-0.3738221784750109
ACH-000035,-0.34191928345367817
ACH-000036,-0.2301985756220949
ACH-000037,-0.20108771162528655
ACH-000039,-0.4215775959879435
ACH-000040,-0.22491005557613214
ACH-000041,-0.4139377718519332
ACH-000042,-0.3853605375180512
ACH-000045,-0.3160678033007651
ACH-000047,-0.23391220240611466
ACH-000052,-0.3341497989916348
ACH-000053,-0.2241586274546459
ACH-000054,-0.2092820036128464
ACH-000055,-0.459170932645555
ACH-000060,-0.3329911108491083
ACH-000067,-0.37185938818054665
ACH-000070,-0.1183993209877589
ACH-000075,-0.3886070215815868
ACH-000078,-0.3114033055396437
ACH-000082,-0.27785214644543826
ACH-000085,-0.2896621199901589
ACH-000086,-0.4502025298845678
ACH-000087,-0.16861874881270947
ACH-000092,-0.4122686684529296
ACH-000095,-0.27651879412979946
ACH-000097,-0.2698185849472491
ACH-000098,-0.3435722641393075
ACH-000099,-0.3006823286405064
ACH-000108,-0.3293035594289774
ACH-000113,-0.3370141986533898
ACH-000116,-0.17694391135410495
ACH-000118,-0.1915469162663096
ACH-000120,-0.4217460496076897
ACH-000123,-0.2088668742627924
ACH-000127,-0.24097328849149785
ACH-000128,-0.2563318928490104
ACH-000132,-0.5229275890239343
ACH-000133,-0.20402661009013984
ACH-000137,-0.3466459467074249
ACH-000138,-0.2552962088571357
ACH-000142,-0.19856370720184965
ACH-000143,-0.2099503387732088
ACH-000146,-0.20209072865991745
ACH-000148,-0.3069967171947107
ACH-000150,-0.1292311454481586
ACH-000152,-0.36850314436600334
ACH-000153,0.030928361287508706
ACH-000159,-0.3691401076027449
ACH-000160,-0.20169648688536027
ACH-000163,-0.2991748448791974
ACH-000167,-0.6781229881243585
ACH-000168,-0.22032849919413
ACH-000169,-0.3703021935026677
ACH-000178,-0.2830623385090613
ACH-000183,-0.3860794961805948
ACH-000188,-0.1512968663420817
ACH-000189,-0.3931804343475189
ACH-000190,-0.3933928515722048
ACH-000198,-0.3701631153388229
ACH-000203,-0.21558190340925826
ACH-000204,-0.29829464686532403
ACH-000206,-0.3918746956970856
ACH-000207,-0.3510626324648957
ACH-000208,-0.5333096179468533
